Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-20 13:40:56,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-05-20 13:44:02,2,0,1,1,1,1,5,0,0,0,0,0,03 Rachel Alfano,23 Natalie Bova,09 Sarah Hirannet
2024-05-20 13:46:32,3,1,1,0,0,1,3,1,1,0,0,1,,,
2024-05-20 13:50:01,4,1,2,1,1,1,10,0,0,0,0,0,09 Sarah Hirannet,01 Emily Shields,03 Rachel Alfano
2024-05-20 13:54:48,5,2,2,0,0,0,0,0,0,0,0,0,,,
2024-05-20 13:56:45,6,2,3,1,0,1,8,1,1,0,0,0,,,
2024-05-20 14:00:49,7,2,4,1,1,1,7,0,0,0,0,0,16 Grace Maroon,03 Rachel Alfano,20 Danielle Walsh
2024-05-20 14:02:54,8,3,4,0,0,0,0,0,0,0,0,0,,,
2024-05-20 14:04:40,9,3,5,1,0,1,8,1,0,1,0,0,,,
2024-05-20 14:07:48,10,3,6,1,1,2,10,1,1,0,1,0,20 Danielle Walsh,23 Natalie Bova,01 Emily Shields
2024-05-20 14:10:58,11,4,6,0,0,0,0,0,0,0,0,0,,,
2024-05-20 14:12:32,12,4,7,1,1,1,3,0,0,0,0,0,20 Danielle Walsh,23 Natalie Bova,03 Rachel Alfano
2024-05-20 14:14:33,13,5,7,0,0,0,0,0,0,0,0,0,,,
2024-05-20 14:18:30,14,5,8,1,1,1,13,0,0,0,0,0,20 Danielle Walsh,01 Emily Shields,10 Andrea DeSabato
2024-05-20 14:20:43,15,6,8,0,1,1,22,0,0,0,0,1,20 Danielle Walsh,23 Natalie Bova,09 Sarah Hirannet
2024-05-20 14:27:00,16,7,8,0,1,1,9,0,0,0,0,1,21 Linda Morse,11 Sara Liang,13 Kat Harper
2024-05-20 14:29:15,17,8,8,0,0,0,0,0,0,0,0,0,,,
2024-05-20 14:31:04,18,8,9,1,0,3,27,3,2,1,2,0,,,
2024-05-20 14:40:36,19,8,10,1,0,1,9,1,0,1,0,0,,,
2024-05-20 14:47:24,20,8,11,0,0,0,0,0,0,0,0,0,,,
2024-05-20 14:48:07,21,8,12,1,0,1,8,1,1,1,0,0,,,
2024-05-20 14:51:05,22,8,13,1,1,1,18,0,0,0,0,0,20 Danielle Walsh,23 Natalie Bova,21 Linda Morse
2024-05-20 14:54:16,23,9,13,0,0,0,0,0,0,0,0,0,,,
2024-05-20 14:55:20,24,9,14,1,1,1,3,0,0,0,0,0,22 Liz Hart,16 Grace Maroon,03 Rachel Alfano
2024-05-20 14:56:56,25,10,14,0,0,1,2,1,0,1,1,0,,,
2024-05-20 15:14:24,26,10,15,1,0,1,2,1,1,0,0,0,,,
2024-05-20 15:15:17,27,10,16,1,1,1,6,0,0,0,0,0,16 Grace Maroon,20 Danielle Walsh,23 Natalie Bova
2024-05-20 15:16:39,28,11,16,0,0,0,0,0,0,0,0,0,,,
2024-05-20 15:18:36,29,11,17,1,0,2,9,2,2,1,1,0,,,
2024-05-20 15:23:54,30,11,18,1,0,1,6,1,1,0,0,0,,,
2024-05-20 15:28:39,31,11,19,1,1,1,4,0,0,0,0,0,01 Emily Shields,22 Liz Hart,09 Sarah Hirannet
2024-05-20 15:30:17,32,12,19,0,0,0,0,0,0,0,0,0,,,
2024-05-20 15:32:02,33,12,20,1,1,2,24,1,1,0,0,1,20 Danielle Walsh,09 Sarah Hirannet,01 Emily Shields
2024-05-20 15:38:48,34,13,20,0,0,0,0,0,0,0,0,0,,,
2024-05-20 15:42:28,35,13,21,1,1,1,15,0,0,0,0,0,10 Andrea DeSabato,01 Emily Shields,09 Sarah Hirannet
2024-05-20 15:44:47,36,14,21,0,0,0,0,0,0,0,0,0,,,
2024-05-20 15:46:20,37,14,22,1,1,1,17,0,0,0,0,0,16 Grace Maroon,20 Danielle Walsh,10 Andrea DeSabato
2024-05-20 15:49:35,38,15,22,0,0,1,3,1,1,0,0,1,,,
