match,week,team,opponent,Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
PHL @ INDY,Week 1,INDY,PHL,4/6/25 20:50,2,82 Dickson (Riley Dickson),1,0,0,0,0.89772725,0.83721834
PHL @ INDY,Week 1,INDY,PHL,4/6/25 20:57,3,19 Gibbs (Melissa Gibbs),0,0,0,0,0.71416086,0.518648
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:04,4,32 Shani (Shani Rosenthal),0,0,0,0,0.8050699,0.82944834
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:28,9,18 LG (Laura Grencser),0,0,0,0,0.32255244,0.8333333
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:40,13,15 Squid (Sydney Loughran),0,0,0,0,0.6005245,0.6880342
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:46,13,NA,0,0,1,0,0.2701049,0.510878
PHL @ INDY,Week 1,INDY,PHL,4/6/25 22:42,20,09 Champ (Corinn Rains),0,0,0,0,0.61625874,0.47280496
PHL @ INDY,Week 1,INDY,PHL,4/6/25 22:44,20,09 Champ (Corinn Rains),0,0,0,0,0.65297204,0.27000776
PHL @ INDY,Week 1,INDY,PHL,4/6/25 22:54,22,18 LG (Laura Grencser),0,0,0,0,0.2596154,0.75174826
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 12:55,2,99 Veronica Kolegue-Spalaris,0,0,0,0,0.6344294,0.4810579
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 12:57,2,22 Liz Hart,0,0,0,0,0.1934236,0.5282345
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 13:06,3,00 Emilie Mohler,0,0,0,0,0.589942,0.23516798
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 13:11,4,99 Veronica Kolegue-Spalaris,0,0,0,0,0.3655706,0.6132952
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 13:34,6,15 Layne Dodge,0,0,0,0,0.22437137,0.38956398
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 13:41,8,22 Liz Hart,0,0,0,0,0.31914893,0.80343103
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 13:42,8,23 Natalie Bova,0,0,0,0,0.17601547,0.43531093
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 13:54,9,22 Liz Hart,0,0,0,0,0.76208895,0.5932809
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 14:03,12,00 Emilie Mohler,0,0,0,0,0.021276595,0.6976412
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 14:28,15,22 Liz Hart,0,0,0,0,0.95357835,0.72480345
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 14:57,20,23 Natalie Bova,0,0,0,0,0.82011604,0.6333095
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 15:04,21,09 Sarah Hirannet,0,0,0,0,0.6827853,0.39027876
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 15:06,21,19 Grace Maroon,0,0,0,0,0.14119923,0.3045032
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 15:07,22,10 Neena Kashyap,0,0,0,0,0.47001934,0.39742672
PHL @ INDY,Week 1,PHL,INDY,4/8/2025 15:13,23,23 Natalie Bova,0,0,0,0,0.23791103,0.5125089
RAL @ LA,Week 1,LA,RAL,2025-04-06 11:49:10,1,03 Chip Yen,0,0,0,0,0.8847222,0.46666664
RAL @ LA,Week 1,LA,RAL,2025-04-06 11:52:41,1,03 Chip Yen,0,0,0,0,0.4625,0.5191358
RAL @ LA,Week 1,LA,RAL,2025-04-06 11:53:43,1,25 Samantha Wool,0,0,0,0,0.2222222,0.5290123
RAL @ LA,Week 1,LA,RAL,2025-04-06 12:25:50,2,NA,1,0,0,0,0.65138894,0.9074074
RAL @ LA,Week 1,LA,RAL,2025-04-06 12:55:05,5,07 Jessica Martinez,0,0,0,0,0.6097222,0.22530863
RAL @ LA,Week 1,LA,RAL,2025-04-06 13:01:08,5,34 Amanda Ring,0,0,0,0,0.2375,0.43765432
RAL @ LA,Week 1,LA,RAL,2025-04-06 13:16:14,5,34 Amanda Ring,0,0,0,0,0.3,0.554321
RAL @ LA,Week 1,LA,RAL,2025-04-06 13:27:26,7,01 Maggie O'Connor,0,0,0,0,0.6069444,0.45987654
RAL @ LA,Week 1,LA,RAL,2025-04-06 14:41:38,11,03 Chip Yen,0,0,0,0,0.14166667,0.65802467
RAL @ LA,Week 1,LA,RAL,2025-04-06 14:42:57,11,50 Lilet Brooks,0,0,0,0,0.80833334,0.4617284
RAL @ LA,Week 1,LA,RAL,2025-04-06 14:45:44,12,24 Avalon Igawa,1,0,0,0,0.7236111,0.854321
RAL @ LA,Week 1,LA,RAL,2025-04-06 20:01:17,14,03 Chip Yen,0,0,0,0,0.6944445,0.5765432
RAL @ LA,Week 1,LA,RAL,2025-04-06 20:10:28,15,16 Karli Steiner,0,0,0,0,0.52916664,0.44629627
RAL @ LA,Week 1,LA,RAL,2025-04-06 20:11:23,15,24 Avalon Igawa,0,0,0,0,0.4847222,0.67037034
RAL @ LA,Week 1,LA,RAL,2025-04-07 22:00:40,17,05 Sharon Tseng,0,0,0,0,0.052777734,0.65802467
RAL @ LA,Week 1,RAL,LA,2025-04-05 22:37:47,1,24 Hannah Boettcher,0,0,0,0,0.5021834,0.45194176
RAL @ LA,Week 1,RAL,LA,2025-04-06 13:35:21,7,48 Natalie Baumgarten,0,0,0,0,0.72925454,0.20356473
RAL @ LA,Week 1,RAL,LA,2025-04-06 13:51:13,9,21 Julia Hoffmann,1,0,0,0,0.98945147,0.9065041
RAL @ LA,Week 1,RAL,LA,2025-04-06 13:55:52,10,43 Claire Hackl,0,0,0,0,0.8375527,0.5706692
RAL @ LA,Week 1,RAL,LA,2025-04-06 13:57:12,10,09 Jinny Riedel,0,0,0,0,0.9725738,0.3905566
RAL @ LA,Week 1,RAL,LA,2025-04-06 14:02:34,12,21 Julia Hoffmann,0,0,0,0,0.7320675,0.36866793
RAL @ LA,Week 1,RAL,LA,2025-04-06 14:05:36,12,06 Jenny Wei,0,0,0,0,0.4296765,0.5275172
RAL @ LA,Week 1,RAL,LA,2025-04-06 14:12:59,14,02 Claire Bidigare-Curtis,0,0,0,0,0.48734176,0.3017511
RAL @ LA,Week 1,RAL,LA,2025-04-06 18:47:09,16,06 Jenny Wei,0,0,0,0,0.4395218,0.8270794
RAL @ LA,Week 1,RAL,LA,2025-04-06 18:51:19,17,48 Natalie Baumgarten,0,0,0,0,0.36216596,0.8083177
RAL @ LA,Week 1,RAL,LA,2025-04-06 18:59:55,17,02 Claire Bidigare-Curtis,0,0,0,0,0.54360056,0.7945591
