match,week,team,opponent,Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
PHL @ INDY,Week 1,INDY,PHL,4/6/25 20:48,2,1,1,0,0.4729021,0.55749804,11 T-Lo (Tracey Lo),3,NA,NA,NA,11 T-Lo (Tracey Lo),NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 20:50,2,2,1,0,0.9047203,0.8045843,11 T-Lo (Tracey Lo),1,NA,NA,NA,11 T-Lo (Tracey Lo),NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 20:51,2,3,1,1,0.2561189,0.6818182,18 LG (Laura Grencser),15,11 T-Lo (Tracey Lo),18 LG (Laura Grencser),27 Eliza (Eliza Hutchins),NA,NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 20:58,3,1,0,0,0.77185315,0.5979021,07 Annie (Annie Melink),7,NA,NA,NA,40 Skittles (Claire Milton),NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:01,3,2,0,0,0.04632867,0.8411033,06 Risa (Risa Umeno),1,NA,NA,NA,06 Risa (Risa Umeno),NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:03,4,1,1,0,0.07080419,0.5808081,17 Duds (Kristin Dudley),5,NA,NA,NA,11 T-Lo (Tracey Lo),NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:04,4,2,1,0,0.8050699,0.82944834,32 Shani (Shani Rosenthal),2,NA,NA,NA,11 T-Lo (Tracey Lo),NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:06,4,3,1,1,0.1826923,0.63131315,18 LG (Laura Grencser),15,04 Mast (Rachel Mast),11 T-Lo (Tracey Lo),04 Mast (Rachel Mast),NA,NA,NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:12,6,1,1,0,0.5061189,0.66239315,18 LG (Laura Grencser),5,NA,NA,NA,NA,82 Dickson (Riley Dickson),NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:14,6,2,1,0,0.87674826,0.75174826,11 T-Lo (Tracey Lo),3,NA,NA,NA,NA,27 Eliza (Eliza Hutchins),NA
PHL @ INDY,Week 1,INDY,PHL,4/6/25 21:16,7,1,1,0,0.08304196,0.61499614,18 LG (Laura Grencser),4,NA,NA,NA,04 Mast (Rachel Mast),NA,NA
