match,week,home_away,team,possessions,player_stats,defensive_blocks,points,passes
ATX @ ATL,Week 1,away,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
ATX @ ATL,Week 1,home,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
PHL @ INDY,Week 1,away,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
PHL @ INDY,Week 1,home,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ LA,Week 1,away,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ LA,Week 1,home,LA,TRUE,TRUE,TRUE,TRUE,TRUE
ATX @ RAL,Week 10,away,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
ATX @ RAL,Week 10,home,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ NY,Week 10,away,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ NY,Week 10,home,NY,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ PHL,Week 10,away,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ PHL,Week 10,home,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
LA @ ATL,Week 10,away,LA,TRUE,TRUE,TRUE,TRUE,TRUE
LA @ ATL,Week 10,home,ATL,FALSE,FALSE,FALSE,FALSE,FALSE
MKE @ DC,Week 10,away,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ DC,Week 10,home,DC,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ MINN,Week 10,away,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ MINN,Week 10,home,MINN,FALSE,FALSE,FALSE,FALSE,FALSE
LA @ NASH,Week 2,away,LA,TRUE,TRUE,TRUE,TRUE,TRUE
LA @ NASH,Week 2,home,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ PHL,Week 2,away,NY,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ PHL,Week 2,home,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ DC,Week 3,away,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ DC,Week 3,home,DC,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ RAL,Week 3,away,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ RAL,Week 3,home,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ ATX,Week 3,away,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ ATX,Week 3,home,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ NY,Week 4,away,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ NY,Week 4,home,NY,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ LA,Week 5,away,DC,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ LA,Week 5,home,LA,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ ATX,Week 5,away,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ ATX,Week 5,home,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ MINN,Week 5,away,NY,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ MINN,Week 5,home,MINN,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ MKE,Week 5,away,NY,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ MKE,Week 5,home,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ NASH,Week 6,away,DC,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ NASH,Week 6,home,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
LA @ PHL,Week 6,away,LA,TRUE,TRUE,TRUE,TRUE,TRUE
LA @ PHL,Week 6,home,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ INDY,Week 6,away,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ INDY,Week 6,home,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ NY,Week 7,away,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ NY,Week 7,home,NY,TRUE,TRUE,TRUE,TRUE,TRUE
ATX @ LA,Week 7,away,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
ATX @ LA,Week 7,home,LA,TRUE,TRUE,TRUE,TRUE,TRUE
MINN @ INDY,Week 7,away,MINN,TRUE,TRUE,TRUE,TRUE,TRUE
MINN @ INDY,Week 7,home,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
MINN @ MKE,Week 7,away,MINN,TRUE,TRUE,TRUE,TRUE,TRUE
MINN @ MKE,Week 7,home,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ DC,Week 7,away,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ DC,Week 7,home,DC,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ ATL,Week 8,away,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ ATL,Week 8,home,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ ATX,Week 9,away,DC,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ ATX,Week 9,home,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
PHL @ MINN,Week 9,away,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
PHL @ MINN,Week 9,home,MINN,TRUE,TRUE,TRUE,TRUE,TRUE
PHL @ MKE,Week 9,away,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
PHL @ MKE,Week 9,home,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ NASH,Week 9,away,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ NASH,Week 9,home,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
