team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
PHL,00 Emilie Mohler,30,29,27,2,0,3,196.5918,7.281169556165185,-62.084500000000006,-2.2996218033844444,7,5,3,2,1,0,1
LA,00 Stephanie Pritchard,7,7,7,0,0,0,4.51822,0.6457308118857141,106.18364000000001,15.169382927997143,8,2,0,0,0,0,0
LA,01 Maggie O'Connor,43,42,31,1,1,5,276.09278,7.669175156211667,40.270140000000005,1.2991904900161293,8,3,12,5,0,2,2
RAL,02 Claire Bidigare-Curtis,14,13,14,2,1,1,44.066320000000005,3.672343084611667,33.41076,2.3862625489857145,11,5,0,0,1,0,1
LA,02 Iman Haq,7,7,7,0,0,1,11.78238,2.3563882612000002,24.60406,3.5144705818028577,2,3,0,1,0,0,0
LA,03 Chip Yen,9,8,9,4,1,0,22.711440000000003,2.8391435611075,67.42322000000001,7.490972091333334,8,3,0,0,0,0,0
PHL,03 Rachel Alfano,3,3,3,0,0,1,-9.61626,-4.809219678700001,27.99546,9.331712241,3,4,0,0,1,0,1
INDY,04 Mast (Rachel Mast),25,24,25,0,1,2,53.441900000000004,2.5450216748476193,143.17178,5.726965887012801,11,3,0,2,0,1,2
INDY,05 Lizzie (Lizzie Tilden),0,0,0,0,0,0,0,NA,0,NA,0,3,0,0,0,0,0
LA,05 Sharon Tseng,5,5,4,1,0,1,-22.011280000000003,-5.501943894715001,54.02172000000001,13.504773053000001,1,4,1,1,0,0,0
RAL,06 Jenny Wei,22,20,19,2,2,3,114.25736,6.72128051882353,121.91536,6.4168036588631585,11,4,3,2,1,3,1
INDY,06 Risa (Risa Umeno),4,4,2,0,0,1,2.14424,0.7150948285200002,-18.751160000000002,-9.373944470000001,0,5,2,1,0,0,0
INDY,07 Annie (Annie Melink),6,6,4,0,0,1,35.25962,7.0514427494000005,-31.157120000000003,-7.788299967450001,0,5,2,1,0,0,0
LA,07 Jessica Martinez,4,3,3,1,0,0,1.33468,0.66690055661,66.47144,22.155981556666667,1,4,1,0,0,0,1
