team,match,week,goals,break_goals,defensive_blocks,holds,clean_holds,pass_attempts,turnovers,completed_passess,completion_rate,hucks
ATL,ATL @ DC,Week 3,8,0,13,8,4,228,31,197,0.8640350877192983,7
ATL,ATL @ RAL,Week 3,16,1,10,15,11,246,26,220,0.8943089430894309,12
ATL,ATX @ ATL,Week 1,11,6,21,5,1,228,31,197,0.8640350877192983,7
ATX,ATX @ ATL,Week 1,9,4,7,5,1,306,35,271,0.8856209150326797,4
ATX,INDY @ ATX,Week 3,13,2,9,11,4,283,34,249,0.8798586572438163,6
DC,ATL @ DC,Week 3,19,10,9,9,3,398,20,378,0.949748743718593,7
DC,DC @ LA,Week 5,21,8,14,13,6,202,28,174,0.8613861386138614,3
INDY,INDY @ ATX,Week 3,15,3,13,12,6,171,34,137,0.8011695906432749,14
INDY,PHL @ INDY,Week 1,10,3,9,7,2,231,27,204,0.8831168831168831,4
LA,LA @ NASH,Week 2,14,9,11,5,3,178,25,153,0.8595505617977528,7
LA,RAL @ LA,Week 1,9,1,15,8,4,233,38,195,0.8369098712446352,5
MINN,NY @ MINN,Week 5,12,1,6,11,11,179,23,156,0.8715083798882681,0
NASH,LA @ NASH,Week 2,5,2,12,3,2,211,33,178,0.8436018957345972,5
NASH,NASH @ ATX,Week 5,4,1,16,3,1,284,43,241,0.8485915492957746,2
NY,NY @ PHL,Week 2,13,4,7,9,6,286,24,262,0.916083916083916,0
NY,RAL @ NY,Week 4,17,3,7,14,7,303,20,283,0.933993399339934,5
PHL,NY @ PHL,Week 2,12,4,4,8,2,211,25,186,0.8815165876777251,4
PHL,PHL @ INDY,Week 1,11,4,15,7,4,221,25,196,0.8868778280542986,1
RAL,ATL @ RAL,Week 3,23,6,14,17,13,302,21,281,0.9304635761589404,10
RAL,RAL @ LA,Week 1,12,4,11,8,2,177,37,140,0.7909604519774012,6
RAL,RAL @ NY,Week 4,16,2,9,14,10,209,20,189,0.9043062200956937,9
