Player #,Player Full Name,Pronouns
1,Charlie Hawkins,she/her
2,Marie Perivier,she/her
3,Dana Bidot,she/her
5,Megan Jarriel,she/her
6,Morgan Lally,she/her
9,Liv Ford,
10,Mia Griner,she/her
11,Quincy Booth,she/her
12,Emma Jaschke,she/her
14,Charlotte Doran,she/her
15,Elizabeth Mosquera Aguilar,
16,Ellie Thomson,she/her
17,"Christina ""Tuna"" Marsicano",she/her
18,"Eliana ""El"" Norton",they/she
22,Anna Gustafson,she/her
23,Caitlin Aycock,she/her
26,Chloë Greene,she/her
33,Paige Carver,
42,Martha Wilber,she/her
46,Dena Elimelech,she/her
57,Ximena Montaña,
92,Tori Taylor,she/her
7,Allison Murphy,she/her
8,Dani Ortiz,she/her
19,Elle Mayer,she/her
25,Katie Sanders,she/her
47,Kay Chiang,she/her
51,Lilli Gerber,she/her
Coach,Samantha Jones,she/her
Coach,Evelina Jones,she/her
Coach,Chris Goodson,he/him
Coach,Kylie Mink,she/her
