Player #,Player Full Name,Pronouns
2,Elizabeth Wu,She/her
4,Agatha Scales,She/her
5,Elise Franke,She/her
6,Christine Goh,She/her
7,Shiru Liu,
8,Mindy Radike,She/her
9,Summer Wilson,She/her
13,Olympia Walker,She/her
15,Emelia Marshall,She/her
16,Cristina Mussiett,She/her
18,Mithalee Thakkar,She/her
19,Ria Stevens,She/her
20,Sanja Royall,She/her
21,Claire Gust,
22,Tiffany Schumacher,She/her
24,Advika Basden,
27,Carly Atwell,She/her
32,Kate Weidmann,She/her
33,Madison Cannon,
43,Lauren Ma,She/her
69,Jaime Estes,She/her
81,Mackenzie Bailey,She/her
88,Maddy Easton,They/them
00,Maggie Rowell,She/her
10,Gaby Cuina,She/her
11,Allegra Donadio,She/her
12,Kara Morrison,She/her
25,Carmen Ly,
34,Carley Garrett,
44,Katia Krupa,She/her
26,Reshmi Patel,She/her
Coach,"Luis ""Primo"" Ramos",He/him
Coach,Michael Matthis,He/him
Coach,Elise Bjork Keeney,She/her
Coach,"Andrea ""Dre"" Esparza",She/her
