Player #,Player Full Name,Pronouns
0,Jordan Sorensen,She/Her
1,Ashleigh Jentilet,She/Her
2,Katina Russell,She/Her
3,Sami Smalling,She/Her
4,Ellen Mueller,She/Her
8,Kat Ritzmann,She/Her
9,Sydney Rehder,She/Her
10,Cara Tinson,She/Her
11,Tayara Romero Peña,She/Her
12,Emily Andre,she/her
13,Tyler Smith,NONE
15,Julia Harris,She/her
17,Katrina McGuire,she/her
18,Avery DeOcampo,She/They
19,Allie Wallace,She/Her
20,Kira Flores,She/Her
21,Jess Oh,She/Her
22,Juliette Warga,she/her
23,Madelyn Lander,she/her
27,Rita Feder,she/her
28,Jess Sourbeer,She/Her
30,Sesha McMinn,She/Her
31,Lily Johnson,she/her
32,Rebecca Driver,She/her
33,Amanda Murphy,She/Her
66,Jackie Wang,She/Her
72,Anne Saba,She/Her
73,Maya Kikuchi,she/her
77,Marika Korpinen,She/Her
81,Sumi Onoe,She/Her
99,Emily Kiver,She/Her
Coach,David Maniloff,He/Him
Coach,Layne Kyung,She/Her
Coach,John Agan,He/Him
Coach,Ty Aderhold,He/Him
