Player #,Player Full Name,Pronouns
2,Annie Phan,she/her
4,Margo Stanger,she/her
5,Rose Glinka,she/her
8,Catherine Chen,she/her
9,Lulu Nicks,she/her
11,Jasmine Childress,she/her
12,Sydney French,she/her
13,Cassie Doody,she/her
16,Kelly Kulig,she/her
17,Caitlin Duffner,she/her
18,Kylie Chesner,she/her
19,Emily Cohen,she/her
20,Madison Lang,she/her
21,Annie Shriver,she/her
22,Alex Ballinger,she/her
23,Allie Mueting,she/her
25,Anneke Vermaak,she/her
34,Mackenzie Carpenter,she/her
43,Emily Xu,she/her
44,Zasha Medina,she/her
50,Anna Thorn,she/they
52,Erynn Schroeder,they/them
72,Jacqueline Jarik,she/her
81,Rachael Kern,she/her
84,Sarah Lipscomb,she/her
87,Austin Prucha,she/her
91,Sadie Reding,she/her
99,Dana Demmert,she/her
00,Eileen Duffner,she/they
Coach,Caitlin Murphy,she/her
Coach,Katy Stanton,she/her
Coach,Nick Hwang,he/him
