Player #,Player Full Name,Pronouns
73,Abi Keuhn,she/her
24,Allegra Johnson McKee,she/her
31,Amber Heffernan,she/her
77,Anik Regan,she/her
20,Aria Kischner,she/her
6,Carly Eckstrom,she/her
4,Cassidy Kummrow,
28,Claire Lee,she/her
7,Danielle Simonelli,she/her
50,Ella Mullin,she/her
49,Elly Fireside-Ostergaard,she/they
26,Emma Peaslee,she/her
25,Eva Fischer,
15,Frankie Saraniti,she/her
1,Greta Friedrichs,they/them
8,Haley Challgren,she/her
10,Jane Koch,she/her
14,Jess Hendrickson,she/her
33,Julia Hill,she/her
30,Louise Beck,she/her
3,Makella Daley,she/her
32,Melissa LaFrance,she/her
98,Mia Beeman-Weber,they/them
22,Millie Wright,she/her
11,Rachel Johnson,she/her
44,Sarah Meckstroth,she/her
21,Sarah Mondschein,she/her
12,Shelby Meyer,she/her
19,Stellah Marienthal-LeGendre,she/her
2,Steph Wood,she/her
Coach,Donnie Wood,he/him
Coach,Genghis Philip,he/him
Coach,Maggie Peck,she/her
Coach,Robin Kunze,she/her
Coach,Eugenia Garza,she/her
