Player #,Player Full Name,Pronouns
17,Rachel Barr,She/her
15,Sylvia Brown,She/her
6,Rebecca Fagan,She/her
27,Katharine Gilbert,She/her
1,Anat Gross,She/her
20,Noel Holmes,She/her
80,Kelsea LeBeau,She/her
45,Anna Lee,She/her
28,Stacy Lu,She/her
33,Cate McAfee,She/her
3,Sara Mog,She/her
61,Madison Oakman,She/her
10,Mary Otten,She/her
19,Tori Radcliffe,She/her
24,Chandler Shelton,She/her
22,Savannah Sillivant,She/her
12,Holly Sillivant,She/her
23,Breanna Snipes,She/her
2,Melanie Thomas,She/her
65,Kali Wicklund,She/her
91,Claire Williams,She/her
18,Grace Robinson,She/her
26,Leah Shorb,She/her
4,Aasta Thurman,She/her
11,Adriana Oceguera,She/her
21,Elena Rubino,She/her
9,Abby Faulhaber,She/her
5,Alexandra Mitchell,She/her
8,Kendall Brown,She/her
Coach,Jared Trevor,He/him
Coach,Isaiah Mason,He/him
Coach,Collin Dabbieri,He/him
