Player #,Player Full Name,Pronouns
74,Sam Harris,they/them
88,Nikki Hair,she/her
66,Janine Hlavaty,she/her
7,Abby Hecko,she/her
9,Cassie Brown,she/her
24,Jolie Krebs,she/her
4,Marié Weverka,she/her
31,Eli Presberg,they/them
12,Casey Banta-Ryan,she/her
20,Yina Cartagena,she/her
3,Grace Conerly,she/her
2,Edi Lam,they/them
00,Genny De Jesus,she/her
21,Montana Roberts,she/her
10,Elise Freedman,she/her
87,Emma Chin,she/they
6,Audrey Parrott,she/her
11,Sadie Jezierski,she/her
40,Dorothy DiMascio-Donohue,she/her
19,Rani Shah,she/her
93,"Chris ""Spoon"" Nelson",she/her
53,Emma Piorier,she/her
26,Mari Malin,she/her
1,Zella Sahar,she/her
59,Bianca Champenois,she/her
5,Sydney Stelzer,she/her
18,Ashley Wright,she/her
13,Maggie Fan,she/her
15,Meta Leary,she/her
23,Jane Frankel,she/her
8,Sophia Wang,she/her
Coach,"Brittany ""BT"" Taylor",she/her
Coach,Rena Eleázar,she/her
Coach,Dmitry Suvorov,he/him
