Player #,Player Full Name,Pronouns
9,Sarah Hirannet,
15,Layne Dodge,
20,Abby Smith,
73,Chelsea Semper,
00,Emilie Mohler,
46,Graham Cunningham,
99,Veronica Kolegue-Spalaris,
13,Melinda Alvey,
36,Abby Thompson,
45,Zoe Costanza,
18,Erica Collin,
19,Grace Maroon,
11,Sara Liang,
16,Poppy Wagner,
6,Gwen Rauch,
33,Emily Heyman,
17,Allie Milligan,
44,Colleen Morton,
31,Phoebe Hulbert,
7,Fay Epstein,
4,Ana Harnage,
25,Sabrina Bonaci ,
10,Neena Kashyap,
22,Liz Hart,
3,Rachel Alfano,
34,Liv Steinberg,
28,Taylor Conroy,
21,Linda Morse,
2,Carolyn Normile ,
Coach,Nick Purifico,
Coach,Bobby Roos,
Coach,Steve Wherry,
Coach,David Baer,
