Player #,Player Full Name,Pronouns
59,Audrey Lyman,She/her
11,Brenna Murray,She/her
45,Caitlin Gross,She/her
2,Claire Bidigare-Curtis,She/her
43,Claire Hackl,She/her
28,Claire Revere,She/her
14,Ellen Yu,She/her
33,Emily Przykucki,She/her
8,Georgia Tse,She/her
24,Hannah Boettcher,She/her
4,Isabella Bevans,She/her
6,Jenny Wei,She/her
9,Jinny Riedel,She/her
21,Julia Hoffmann,She/her
22,Julia Zwierzynski,They/them
23,Lyla Stanland,She/her
3,Lyra Olson,She/her
88,Maddie Pletzke,She/her
27,Mary Rippe,She/her
42,Meg Duffy,She/her
13,Naomi Anderson,She/her
66,Natalie Wilson,She/her
48,Natalie Baumgarten,She/her
96,Sadie Cutler,She/her
16,Tania Proksch,She/her
10,Dayla Woller,She/her
15,Emma Cole,She/her
51,Grace Xiang,She/her
38,Jessica Wu,She/her
99,Macy Hudson,She/her
62,Sophia Thayer,She/her
19,Sydney Kelley,She/her
77,Anna Tortorici,She/they
17,Erica Birdsong,She/her
26,Justine Neville,She/her
18,Sarah McKee,She/her
Coach,Jenna Dahl,She/her
Coach,Brett Matzuka,He/him
Coach,Marc Rovner,He/him
