Weekend,Away Team,Home Team,Division,Notes,Home Weekend,Team,Blackout Weekends,Team
4/3 - 4/5,RAL,ATX,South,"First weekend no NY, IND","4/18, 5/3-4, 6/13-14",ATL,"5/17-18 , 5/30",ATL
4/3 - 4/5,PHL,NASH,Inter,MWK Away games front load,N/A,PHL,N/A,PHL
4/10-12,DC,RAL,South,Shippensburg (NY Home: 4/25 and 5/2),"4/18, 5/16, 6/6",NYGL,4/10-12,NYGL
4/10-12,INDY,MKE,North,Game of the week,"4/11, 4/25-26, 5/2",INDY,4/4-5,INDY
4/17-19,NASH,ATL,South,,"5/2-3, 5/16-17, 6/6-7",MINN,5/30-31,MINN
4/17-19,MINN,NYGL,North,,Later (weather reasons),MKE,N/A,MKE
4/17-19,MINN,PHL,North,,4/12-13,RAL,4/18-19,RAL
4/17-19,DC,ATX,South,,N/A,NASH,N/A,NASH
4/24-26,NYGL,DC,Inter,,"4/18, 5/9, 6/6",DC,5/2,DC
4/24-26,PHL,INDY,North,,N/A,ATX,5/16,ATX
4/24-26,MKE,MINN,North,,,,,
4/24-26,RAL,ATL,South,,,,,
5/1-3,ATX,NASH,South,,,,5/23-26,D1 Natties
5/8-10,MKE,PHL,North,,,,4/2-5,TEP
5/8-10,DC,ATL,South,,,,,
5/8-10,MKE,NYGL,North,,,,,
5/8-10,INDY,MINN,North,,,,,
5/8-10,NASH,RAL,South,,,,,
5/15-17,MINN,RAL,Inter,,,,,
5/15-17,PHL,NYGL,North,,,,,
5/15-17,ATL,NASH,South,,,,,
5/22-24,ATL,ATX,South,,,,,
5/22-24,INDY,MKE,North,,,,,
5/29-31,RAL,DC,South,,,,,
5/29-31,NYGL,INDY,North,,,,,
6/5-7,ATL,INDY,Inter,,,,,
6/5-7,NASH,DC,South,,,,,
6/5-7,ATX,MINN,Inter,,,,,
6/5-7,NYGL,PHL,North,,,,,
6/5-7,ATX,MKE,Inter,,,,,
