Week,Game Date,Time (all EST),Location,Away Team,Home Team
1,4/4/2026,6:00 PM,Texas School for the Deaf,Raleigh,Austin
1,,,,Philadelphia,Nashville
2,,,,DC,Raleigh
2,4/12/2026,2:00 PM,MSOE Viets Field,Indy,Milwaukee
3,4/18/2026,6:00 PM,Texas School for the Deaf,DC,Austin
3,,,,Nashville,Atlanta
3,,,,Minnesota,New York
3,,,,Minnesota,Philadelphia
4,,,,Raleigh,Atlanta
4,,,,New York,DC
4,4/25/2026,12:00 PM,"2801 W 86th St, Indianapolis, IN 46268",Philadelphia,Indy
4,,,,Milwaukee,Minnesota
5,,,,Austin,Nashville
6,,,,DC,Atlanta
6,,,,Indy,Minnesota
6,,,,Milwaukee,Philadelphia
6,,,,Milwaukee,New York
6,,,,Nashville,Raleigh
7,,,,Atlanta,Nashville
7,,,,Minnesota,Raleigh
7,,,,Philadelphia,New York
8,5/23/2026,8:00 PM,Texas School for the Deaf,Atlanta,Austin
8,5/22/2026,6:30 PM,Breese Stevens Field,Indy,Milwaukee
9,5/31/2026,12:00 PM,"2801 W 86th St, Indianapolis, IN 46268",New York,Indy
9,,,,Raleigh,DC
10,6/7/2026,12:00 PM,"2801 W 86th St, Indianapolis, IN 46268",Atlanta,Indy
10,,,,Austin,Minnesota
10,6/6/2026,6:00 PM,Hart Park,Austin,Milwaukee
10,,,,Nashville,DC
10,,,,New York,Philadelphia
