Number,Name,Trimmed Name,Assists,Goals,Ds,Turnovers,Team,Home/Away,Week,Opponent
87,Christina Marsicano,Christina Marsicano,,,1,1,Atlanta Soul,Home,4,MIN
87,Christina Marsicano,Christina Marsicano,,1,,1,Atlanta Soul,Away,6,IND
87,Christina Marsicano,Christina Marsicano,0,0,0,0,Atlanta Soul,Home,7,RAL
87,Christina Marsicano,Christina Marsicano,1,1,,,Atlanta Soul,Away,8,ATX
87,Christina Marsicano,Christina Marsicano,0,2,0,1,Atlanta Soul,Away,11,CBUS
87,Christina Marsicano,Christina Marsicano,0,1,5,0,Atlanta Soul,Home,10,NASH
2,Cori Bradham,Cori Bradham,,3,3,3,Atlanta Soul,Home,4,MIN
2,Cori Bradham,Cori Bradham,2,2,0,3,Atlanta Soul,Home,7,RAL
2,Cori Bradham,Cori Bradham,1,2,1,2,Atlanta Soul,Away,8,ATX
2,Cori Bradham,Cori Bradham,2,6,1,3,Atlanta Soul,Away,11,CBUS
2,Cori Bradham,Cori Bradham,2,2,1,3,Atlanta Soul,Home,10,NASH
3,Dana Bidot,Dana Bidot,1,1,1,,Atlanta Soul,Away,6,IND
3,Dana Bidot,Dana Bidot,0,3,0,0,Atlanta Soul,Home,7,RAL
3,Dana Bidot,Dana Bidot,,1,1,2,Atlanta Soul,Away,8,ATX
3,Dana Bidot,Dana Bidot,0,0,0,4,Atlanta Soul,Away,11,CBUS
3,Dana Bidot,Dana Bidot,0,2,0,0,Atlanta Soul,Home,10,NASH
8,Dani Ortiz,Dani Ortiz,,,,1,Atlanta Soul,Home,4,MIN
8,Dani Ortiz,Dani Ortiz,1,1,1,2,Atlanta Soul,Away,6,IND
8,Dani Ortiz,Dani Ortiz,0,0,0,1,Atlanta Soul,Home,7,RAL
8,Dani Ortiz,Dani Ortiz,,,,4,Atlanta Soul,Away,8,ATX
8,Dani Ortiz,Dani Ortiz,1,0,1,2,Atlanta Soul,Away,11,CBUS
8,Dani Ortiz,Dani Ortiz,0,1,1,3,Atlanta Soul,Home,10,NASH
22,Danni Cordes,Danni Cordes,,,1,2,Atlanta Soul,Home,4,MIN
22,Danni Cordes,Danni Cordes,1,,2,3,Atlanta Soul,Away,6,IND
22,Danni Cordes,Danni Cordes,0,0,0,4,Atlanta Soul,Home,7,RAL
22,Danni Cordes,Danni Cordes,,,2,,Atlanta Soul,Away,8,ATX
22,Danni Cordes,Danni Cordes,0,0,0,0,Atlanta Soul,Away,11,CBUS
22,Danni Cordes,Danni Cordes,0,0,0,0,Atlanta Soul,Home,10,NASH
19,Elle Mayer,Elle Mayer,,,,,Atlanta Soul,Home,4,MIN
19,Elle Mayer,Elle Mayer,1,0,0,0,Atlanta Soul,Away,11,CBUS
19,Elle Mayer,Elle Mayer,0,0,0,0,Atlanta Soul,Home,10,NASH
12,Emma Jaschke,Emma Jaschke,,,,,Atlanta Soul,Home,4,MIN
12,Emma Jaschke,Emma Jaschke,,,,2,Atlanta Soul,Away,6,IND
12,Emma Jaschke,Emma Jaschke,0,1,0,0,Atlanta Soul,Home,7,RAL
12,Emma Jaschke,Emma Jaschke,0,0,0,0,Atlanta Soul,Home,10,NASH
13,Emma Jones,Emma Jones,1,,1,2,Atlanta Soul,Home,4,MIN
13,Emma Jones,Emma Jones,3,1,,2,Atlanta Soul,Away,6,IND
13,Emma Jones,Emma Jones,1,,1,2,Atlanta Soul,Away,8,ATX
13,Emma Jones,Emma Jones,1,1,1,1,Atlanta Soul,Away,11,CBUS
13,Emma Jones,Emma Jones,2,1,2,1,Atlanta Soul,Home,10,NASH
25,Erin Goding,Erin Goding,,2,1,,Atlanta Soul,Home,4,MIN
25,Erin Goding,Erin Goding,,,1,2,Atlanta Soul,Away,6,IND
25,Erin Goding,Erin Goding,2,0,0,6,Atlanta Soul,Home,7,RAL
25,Erin Goding,Erin Goding,,1,,,Atlanta Soul,Away,8,ATX
25,Erin Goding,Erin Goding,0,1,1,0,Atlanta Soul,Home,10,NASH
52,Erynn Schroeder,Erynn Schroeder,2,1,3,5,Atlanta Soul,Home,4,MIN
52,Erynn Schroeder,Erynn Schroeder,1,1,,5,Atlanta Soul,Away,6,IND
52,Erynn Schroeder ,Erynn Schroeder,2,1,1,2,Atlanta Soul,Away,8,ATX
52,Erynn Schroeder,Erynn Schroeder,5,2,0,3,Atlanta Soul,Away,11,CBUS
52,Erynn Schroeder,Erynn Schroeder,5,1,0,1,Atlanta Soul,Home,10,NASH
9,Fiona Cashin,Fiona Cashin,,,,,Atlanta Soul,Home,4,MIN
9,Fiona Cashin,Fiona Cashin,0,3,0,1,Atlanta Soul,Home,7,RAL
9,Fiona Cashin,Fiona Cashin,,,,1,Atlanta Soul,Away,8,ATX
