team,goals,break_goals,defensive_blocks,holds,clean_holds,pass_attempts,turnovers,completed_passess,completion_rate,hucks
ATL,22,6,25,38,11,520,57,463,0.8903846153846153,10
ATX,15,7,12,11,5,296,21,275,0.9290540540540541,5
DC,39,28,29,14,4,426,50,376,0.8826291079812206,15
INDY,27,6,19,36,15,441,46,395,0.8956916099773242,6
MINN,16,2,5,18,8,197,25,172,0.8730964467005076,4
MKE,21,7,27,38,8,391,92,299,0.7647058823529411,16
NASH,18,3,21,39,7,520,67,453,0.8711538461538462,11
NY,38,17,24,32,13,538,57,481,0.8940520446096655,16
PHL,38,20,33,20,13,524,50,474,0.9045801526717557,6
RAL,5,1,16,19,3,242,40,202,0.8347107438016529,10
