team,goals,break_goals,defensive_blocks,holds,clean_holds,pass_attempts,turnovers,completed_passess,completion_rate,hucks
ATL,79,27,72,52,33,1309,137,1172,0.8953399541634836,42
ATX,71,27,58,44,18,1433,189,1244,0.8681088625261689,44
DC,138,71,82,67,36,1706,126,1580,0.9261430246189918,40
INDY,99,36,68,63,38,1357,157,1200,0.8843036109064112,56
LA,63,17,66,46,27,1297,190,1107,0.8535080956052429,39
MINN,64,16,58,48,29,979,178,801,0.8181818181818182,6
MKE,64,13,48,51,25,1044,182,862,0.8256704980842912,57
NASH,47,9,59,38,20,1496,211,1285,0.858957219251337,33
NY,92,29,54,63,42,1906,128,1778,0.9328436516264428,23
PHL,100,36,69,64,39,1565,146,1419,0.9067092651757188,18
RAL,94,29,75,65,42,1394,152,1242,0.890961262553802,39
