Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-27 16:22:32,2,1,36 Carolyn Normile,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,7.64067,7.4506683,-1.6933328,0.6527778,0.5962963,0.6875,0.52839506
2024-06-27 16:22:36,2,1,16 Margaret Walker,36 Carolyn Normile,0,0,0,0,0,0,0,0,0,0,0,11.392093,4.8767996,10.2954645,0.6875,0.52839506,0.47638893,0.48395061
2024-06-27 16:22:41,2,1,36 Carolyn Normile,16 Margaret Walker,0,0,0,0,0,0,0,0,1,0,0,10.654823,-3.7930722,-9.9567995,0.47638893,0.48395061,0.6805556,0.51851857
2024-06-27 16:22:45,2,1,16 Margaret Walker,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,1,12.327469,4.741337,-11.379201,0.6805556,0.51851857,0.91388893,0.47530866
2024-06-27 16:22:50,2,1,08 Kathryn Ritzman,16 Margaret Walker,0,0,0,0,0,0,0,0,0,1,0,11.041367,-0.13546593,11.040536,0.91388893,0.47530866,0.6875,0.47654322
2024-06-27 16:22:55,2,1,16 Margaret Walker,18 Caroline Tornquist,0,0,0,0,0,0,0,0,0,0,0,19.538452,8.873066,17.407465,0.6875,0.47654322,0.3305556,0.39567903
2024-06-27 16:23:02,2,1,18 Caroline Tornquist,37 Claire Trop,1,1,0,1,0,0,0,0,0,0,0,33.920883,33.528004,-5.1477323,0.3305556,0.39567903,0.43611112,0.09012346
2024-06-27 16:23:46,2,2,36 Carolyn Normile,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,0,12.234261,1.0159993,-12.192,0.18194446,0.35555556,0.43194446,0.3462963
2024-06-27 16:23:49,2,2,08 Kathryn Ritzman,18 Caroline Tornquist,0,0,0,0,0,0,0,0,0,0,0,14.109683,2.5061343,-13.885332,0.43194446,0.3462963,0.71666664,0.3234568
2024-06-27 16:23:55,2,2,18 Caroline Tornquist,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,0,9.275262,1.0837339,9.211732,0.71666664,0.3234568,0.5277778,0.31358024
2024-06-27 16:23:58,2,2,08 Kathryn Ritzman,36 Carolyn Normile,0,0,0,0,0,0,0,0,0,0,0,10.488172,4.3349295,9.5504,0.5277778,0.31358024,0.33194447,0.2740741
2024-06-27 16:24:03,2,2,36 Carolyn Normile,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,1,0,0,12.0728855,-1.4223971,-11.988801,0.33194447,0.2740741,0.5777778,0.28703704
2024-06-27 16:24:06,2,2,08 Kathryn Ritzman,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,13.515643,4.334934,-12.8015995,0.5777778,0.28703704,0.8402778,0.24753086
2024-06-27 16:24:21,2,2,16 Margaret Walker,23 Lisa Dang,1,1,0,0,0,0,0,0,0,0,0,9.133709,5.283199,7.4506674,0.8402778,0.24753086,0.6875,0.19938272
2024-06-27 16:24:47,2,3,36 Carolyn Normile,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,0,16.486496,10.634136,12.598401,0.65138894,0.57962966,0.3930556,0.48271605
2024-06-27 16:24:53,2,3,05 Marie Perivier,36 Carolyn Normile,0,0,0,0,0,0,0,0,1,0,0,6.5910487,-2.5061343,6.096,0.3930556,0.48271605,0.2680556,0.50555557
2024-06-27 16:25:01,2,3,36 Carolyn Normile,18 Caroline Tornquist,0,0,0,0,0,0,0,1,0,0,0,25.1866,5.1477346,-24.654932,0.2680556,0.50555557,0.7736111,0.45864198
2024-06-27 16:25:08,2,3,18 Caroline Tornquist,,1,1,0,1,0,0,0,0,0,0,1,34.97277,34.61173,-5.012267,0.7736111,0.45864198,0.8763889,0.14320989
2024-06-27 16:27:55,3,1,36 Carolyn Normile,18 Caroline Tornquist,0,0,0,0,0,0,0,0,0,0,0,15.571594,14.494929,-5.6896005,0.15,0.7555555,0.26666668,0.6234568
2024-06-27 16:28:01,3,1,18 Caroline Tornquist,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,0,10.979487,10.837333,1.7610685,0.26666668,0.6234568,0.23055553,0.52469134
2024-06-27 16:28:15,3,1,05 Marie Perivier,37 Claire Trop,1,0,1,0,0,0,0,0,0,0,0,18.186111,17.678396,-4.2672005,0.23055553,0.52469134,0.31805554,0.36358026
2024-06-27 16:29:04,3,2,36 Carolyn Normile,16 Margaret Walker,1,1,0,0,0,0,0,1,0,1,0,16.575994,1.9642674,-16.4592,0.1375,0.76666665,0.475,0.7487654
2024-06-27 16:30:01,3,3,16 Margaret Walker,36 Carolyn Normile,0,0,0,0,0,0,0,1,0,0,0,16.064371,0.60960156,16.052801,0.80694443,0.7685185,0.47777775,0.76296294
2024-06-27 16:30:06,3,3,36 Carolyn Normile,12 Clare Frantz,0,0,0,0,0,0,0,0,0,0,0,16.307425,8.873066,13.682134,0.47777775,0.76296294,0.1972222,0.68209875
2024-06-27 16:30:10,3,3,12 Clare Frantz,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,1,12.021664,11.514666,3.4544005,0.1972222,0.68209875,0.12638886,0.5771605
2024-06-27 16:30:17,3,3,37 Claire Trop,,1,1,0,0,0,0,0,0,0,1,0,11.742701,11.243731,-3.3866684,0.12638886,0.5771605,0.19583334,0.47469136
