Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
07 Kami Groom,16,"2,5,7,9,10,14,17,18,19,20,21,22,23,24,25,27,28",9,7,5,0,33,10,32,31,2,0,2,1,2,2,0,1,0,0,340.92,100.79,11.76,3.48,382.78,163.91,12.35,5.29
37 Claire Trop,16,"3,6,8,9,11,12,13,15,16,17,18,19,21,22,23,25,28",12,4,7,1,15,9,14,14,1,3,1,1,3,2,1,1,0,0,133.92,41.99,13.39,4.20,219.41,179.63,15.67,12.83
19 Allie Wallace,12,"2,5,7,9,10,12,16,18,21,23,25,27",7,5,3,0,19,7,19,16,3,0,0,0,2,1,1,1,0,0,190.28,58.59,11.19,3.45,216.11,69.22,13.51,4.33
05 Marie Perivier,11,"3,6,8,11,12,13,15,17,20,22,25,28",8,3,4,1,10,8,9,10,0,0,0,1,4,2,2,0,0,0,92.54,51.41,15.42,8.57,144.04,119.28,14.40,11.93
23 Lisa Dang,12,"3,6,8,10,11,12,14,15,17,18,22,23",8,4,4,0,18,11,18,11,7,0,0,0,2,2,0,0,0,0,187.70,95.64,12.51,6.38,125.02,9.75,11.37,0.89
01 Ashleigh Jentilet,11,"1,4,7,9,13,16,19,20,22,24,26,28",5,6,2,2,4,4,3,4,0,1,0,1,1,1,0,0,0,0,24.55,15.65,12.28,7.82,99.33,95.17,24.83,23.79
36 Carolyn Normile,11,"3,6,8,11,12,14,16,18,21,23,25,28",8,3,5,0,38,12,38,25,13,0,2,0,6,5,1,0,0,0,410.53,149.49,12.44,4.53,293.22,60.28,11.73,2.41
16 Margaret Walker,12,"3,6,8,11,12,13,15,17,19,20,23,25",10,2,6,1,38,12,37,29,9,3,1,1,4,3,1,1,0,0,528.39,282.99,16.01,8.58,343.03,43.69,11.83,1.51
33 Amanda Murphy,11,"1,7,9,11,13,16,17,19,20,22,24",6,5,3,1,3,2,1,3,0,0,0,2,0,0,0,0,0,0,12.61,-9.75,12.61,-9.75,50.95,49.58,16.98,16.53
08 Kathryn Ritzman,9,"6,8,14,15,18,21,24,25,27",5,4,3,0,11,6,11,11,0,0,0,0,2,1,1,2,0,0,124.77,24.18,12.48,2.42,147.73,46.33,13.43,4.21
22 Erin McCann,9,"1,4,7,9,13,16,20,24,26",4,5,1,2,3,2,3,3,0,0,0,0,2,1,1,1,0,0,23.56,15.44,11.78,7.72,35.76,21.67,11.92,7.22
18 Caroline Tornquist,9,"3,7,8,12,14,15,17,18,21",5,4,2,0,8,5,8,8,0,0,0,0,2,2,0,0,0,0,63.87,22.42,10.65,3.74,140.07,82.77,17.51,10.35
09 Annalise Peters,6,"1,4,14,21,24,26,28",2,4,2,1,17,7,17,14,3,2,1,0,2,2,0,0,0,0,201.39,125.31,14.38,8.95,145.16,42.13,10.37,3.01
21 Jess Oh,6,"1,4,9,16,20,26",4,2,1,1,7,4,7,6,1,0,0,0,0,0,0,0,0,0,77.58,43.76,11.08,6.25,77.78,31.83,12.96,5.31
26 Jessica Sourbeer,5,"1,4,13,19,26",2,3,2,2,7,3,7,2,5,0,0,0,2,1,1,0,0,0,85.14,40.23,14.19,6.71,19.90,2.64,9.95,1.32
42 Lisi Lohre,4,"1,4,23,26",2,2,2,1,4,3,3,4,0,1,1,1,0,0,0,0,0,0,21.49,18.97,10.74,9.48,47.74,38.95,11.94,9.74
06 Laureen Johnson,4,"2,5,14,27",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66 Jackie Wang,4,"2,5,7,10",2,2,0,0,9,2,9,8,1,0,0,0,3,2,1,0,0,0,82.47,22.49,11.78,3.21,81.43,25.20,10.18,3.15
46 Graham Cunningham,4,"2,5,10,27",2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.88,0.54,12.88,0.54,13.32,13.07,13.32,13.07
00 Emma Jones,3,"2,5,27",1,2,0,0,3,1,3,2,1,0,0,0,0,0,0,1,0,0,35.81,22.28,11.94,7.43,20.66,3.25,10.33,1.63
12 Clare Frantz,3,"3,6,11",3,0,2,0,3,3,2,3,0,0,1,1,0,0,0,0,0,0,23.33,22.83,11.67,11.41,51.26,25.81,17.09,8.60
15 Florence Brooks,2,"4,26",1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,14.65,13.95,14.65,13.95
13 Sami Smalling,2,"10,27",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.36,0.54,9.36,0.54,13.77,7.65,13.77,7.65
04 Ellen Mueller,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
