Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-06-27 16:19:44,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-06-27 16:20:52,2,0,1,1,0,3,18,3,3,0,1,1,,,
2024-06-27 16:26:42,3,0,2,1,0,4,9,4,3,1,0,3,,,
2024-06-27 16:31:08,4,0,3,1,1,2,4,1,0,1,1,0,09 Annalise Peters,01 Ashleigh Jentilet,15 Florence Brooks
2024-06-27 16:33:31,5,1,3,0,0,0,0,0,0,0,0,0,,,
2024-06-27 16:34:44,6,1,4,1,1,3,10,2,2,0,1,1,12 Clare Frantz,37 Claire Trop,05 Marie Perivier
2024-06-27 16:39:45,7,2,4,0,0,1,3,1,0,1,0,1,,,
2024-06-27 16:44:40,8,2,5,1,0,1,6,1,1,0,0,0,,,
2024-06-27 17:48:53,9,2,6,1,0,2,6,2,2,0,0,1,,,
2024-06-27 17:52:31,10,2,7,1,0,3,23,3,3,0,2,0,,,
2024-06-27 17:57:33,11,2,8,1,1,1,8,0,0,0,0,0,36 Carolyn Normile,37 Claire Trop,12 Clare Frantz
2024-06-27 17:59:48,12,3,8,0,0,4,17,4,3,1,0,4,,,
2024-06-27 18:06:17,13,3,9,0,1,1,1,0,0,0,0,1,,16 Margaret Walker,01 Ashleigh Jentilet
2024-06-27 18:31:49,14,4,9,0,0,1,2,1,1,0,0,1,,,
2024-06-27 18:34:13,15,4,10,1,0,1,8,1,0,1,0,0,,,
2024-06-27 18:37:56,16,4,11,1,0,1,14,1,1,0,0,0,,,
2024-06-27 18:42:01,17,4,12,1,1,2,9,1,0,1,1,0,16 Margaret Walker,37 Claire Trop,33 Amanda Murphy
2024-06-27 18:45:54,18,5,12,0,0,1,1,1,1,1,0,1,,,
2024-06-27 18:48:27,19,5,13,1,1,2,17,1,0,1,0,1,37 Claire Trop,16 Margaret Walker,33 Amanda Murphy
2024-06-27 18:52:37,20,6,13,1,0,2,8,2,2,0,0,1,,,
2024-06-28 10:36:59,21,6,14,1,1,3,22,2,2,0,0,2,36 Carolyn Normile,09 Annalise Peters,07 Kami Groom
2024-06-28 10:42:26,22,7,14,0,0,0,0,0,0,0,0,0,,,
2024-06-28 10:44:01,23,7,15,1,1,1,15,0,0,0,0,0,07 Kami Groom,42 Lisi Lohre,16 Margaret Walker
2024-06-28 10:47:25,24,8,15,0,0,0,0,0,0,0,0,0,,,
2024-06-28 10:58:59,25,8,16,1,1,4,23,3,2,1,1,2,07 Kami Groom,16 Margaret Walker,37 Claire Trop
2024-06-28 15:06:05,26,9,16,0,1,1,4,0,0,0,0,1,42 Lisi Lohre,09 Annalise Peters,42 Lisi Lohre
2024-06-28 15:07:55,27,10,16,0,0,1,13,1,1,0,1,0,,,
2024-06-28 15:11:51,28,10,17,1,0,1,2,1,0,1,0,0,,,
