Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-06-27 16:22:26,2,1,1,0,0.6527778,0.5962963,36 Carolyn Normile,7,,,,18 Caroline Tornquist,,
2024-06-27 16:23:39,2,2,1,0,0.18194446,0.35555556,36 Carolyn Normile,7,,,,16 Margaret Walker,,
2024-06-27 16:24:43,2,3,1,0,0.65138894,0.57962966,36 Carolyn Normile,4,,,,18 Caroline Tornquist,,
2024-06-27 16:27:50,3,1,1,0,0.15,0.7555555,36 Carolyn Normile,3,,,,,37 Claire Trop,
2024-06-27 16:28:52,3,2,1,0,0.1375,0.76666665,36 Carolyn Normile,1,,,,36 Carolyn Normile,,
2024-06-27 16:29:56,3,3,1,0,0.80694443,0.7685185,16 Margaret Walker,4,,,,37 Claire Trop,,
2024-06-27 16:30:48,3,4,1,0,0.3847222,0.77839506,23 Lisa Dang,1,,,,23 Lisa Dang,,
2024-06-27 16:32:24,4,1,1,0,0.8694445,0.5314815,09 Annalise Peters,2,,,,,22 Erin McCann,
2024-06-27 16:33:18,4,2,1,1,0.7777778,0.5740741,09 Annalise Peters,2,09 Annalise Peters,01 Ashleigh Jentilet,15 Florence Brooks,,,
2024-06-27 16:35:43,6,1,1,0,0.88055557,0.61975306,23 Lisa Dang,2,,,,36 Carolyn Normile,,
2024-06-27 16:36:35,6,2,1,0,0.7375,0.74506176,23 Lisa Dang,3,,,,16 Margaret Walker,,
2024-06-27 16:37:51,6,3,1,1,0.3680556,0.79135805,16 Margaret Walker,5,12 Clare Frantz,37 Claire Trop,05 Marie Perivier,,,
2024-06-27 16:43:46,7,1,0,0,0.175,0.7660494,66 Jackie Wang,3,,,,,66 Jackie Wang,
2024-06-27 17:48:00,8,1,1,0,0.14583333,0.73086417,36 Carolyn Normile,6,,,,08 Kathryn Ritzman,,
2024-06-27 17:49:58,9,1,1,0,0.7180556,0.6135802,26 Jessica Sourbeer,3,,,,26 Jessica Sourbeer,,
2024-06-27 17:50:40,9,2,1,0,0.5027778,0.6135802,26 Jessica Sourbeer,3,,,,22 Erin McCann,,
2024-06-27 17:53:35,10,1,1,0,0.13333334,0.7753086,23 Lisa Dang,6,,,,66 Jackie Wang,,
2024-06-27 17:54:54,10,2,1,0,0.35833332,0.6141975,07 Kami Groom,9,,,,07 Kami Groom,,
2024-06-27 17:56:24,10,3,1,0,0.75416666,0.7753086,19 Allie Wallace,8,,,,66 Jackie Wang,,
2024-06-27 17:58:54,11,1,1,1,0.41666666,0.57098764,16 Margaret Walker,8,36 Carolyn Normile,37 Claire Trop,12 Clare Frantz,,,
2024-06-27 18:01:23,12,1,0,0,0.14166667,0.77777773,36 Carolyn Normile,2,,,,01 Ashleigh Jentilet,,
2024-06-27 18:02:30,12,2,0,0,0.14305553,0.39259258,07 Kami Groom,6,,,,,36 Carolyn Normile,
2024-06-27 18:03:43,12,3,0,0,0.1222222,0.75740737,09 Annalise Peters,3,,,,09 Annalise Peters,,
2024-06-27 18:05:12,12,4,0,0,0.49722221,0.5654321,16 Margaret Walker,6,,,,05 Marie Perivier,,
2024-06-27 18:31:43,13,1,0,1,0.40694445,0.42469138,16 Margaret Walker,1,,16 Margaret Walker,01 Ashleigh Jentilet,,,
2024-06-27 18:33:30,14,1,0,0,0.25277773,0.7833333,36 Carolyn Normile,2,,,,09 Annalise Peters,,
2024-06-27 18:35:15,15,1,1,0,0.30972227,0.63024694,23 Lisa Dang,8,,,,,05 Marie Perivier,
2024-06-27 18:39:15,16,1,1,0,0.25138888,0.75123453,36 Carolyn Normile,14,,,,07 Kami Groom,,
2024-06-27 18:44:30,17,1,1,0,0.5083333,0.5345679,16 Margaret Walker,2,,,,,16 Margaret Walker,
2024-06-27 18:45:11,17,2,1,1,0.475,0.5580247,16 Margaret Walker,7,16 Margaret Walker,37 Claire Trop,33 Amanda Murphy,,,
2024-06-27 18:47:24,18,1,0,0,0.89861107,0.7919753,23 Lisa Dang,1,,,,23 Lisa Dang,08 Kathryn Ritzman,
2024-06-27 18:49:51,19,1,1,0,0.69305557,0.47469136,26 Jessica Sourbeer,2,,,,,26 Jessica Sourbeer,
2024-06-27 18:50:57,19,2,1,1,0.48611113,0.7660494,26 Jessica Sourbeer,15,37 Claire Trop,16 Margaret Walker,33 Amanda Murphy,,,
2024-06-28 10:34:53,20,1,1,0,0.59444445,0.5938272,21 Jess Oh,2,,,,05 Marie Perivier,,
2024-06-28 10:36:08,20,2,1,0,0.8638889,0.77469134,16 Margaret Walker,6,,,,16 Margaret Walker,,
2024-06-28 10:38:32,21,1,1,0,0.2472222,0.7611111,36 Carolyn Normile,6,,,,36 Carolyn Normile,,
2024-06-28 10:39:30,21,2,1,0,0.46527773,0.67777777,19 Allie Wallace,6,,,,36 Carolyn Normile,,
2024-06-28 10:41:43,21,3,1,1,0.5069444,0.6530864,19 Allie Wallace,10,36 Carolyn Normile,09 Annalise Peters,07 Kami Groom,,,
2024-06-28 10:45:28,23,1,1,1,0.22083333,0.8876543,36 Carolyn Normile,15,07 Kami Groom,42 Lisi Lohre,16 Margaret Walker,,,
2024-06-28 10:59:55,25,1,1,0,0.41111106,0.8703703,23 Lisa Dang,11,,,,,19 Allie Wallace,
2024-06-28 15:03:19,25,2,1,0,0.083333336,0.38950616,37 Claire Trop,1,,,,37 Claire Trop,,
2024-06-28 15:03:55,25,3,1,0,0.64166665,0.8851852,16 Margaret Walker,7,,,,36 Carolyn Normile,,
2024-06-28 15:04:59,25,4,1,1,0.1125,0.30555552,36 Carolyn Normile,4,07 Kami Groom,16 Margaret Walker,37 Claire Trop,,,
2024-06-28 15:07:32,26,1,0,1,0.66388893,0.39814818,26 Jessica Sourbeer,4,42 Lisi Lohre,09 Annalise Peters,42 Lisi Lohre,,,
2024-06-28 15:09:34,27,1,0,0,0.29583332,0.77839506,00 Emma Jones,13,,,,19 Allie Wallace,,
2024-06-28 15:13:35,28,1,1,0,0.39166668,0.58395064,36 Carolyn Normile,2,,,,,05 Marie Perivier,
