Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
7/1/2024 20:59,2,33 Valeria Cardenas,1,0,0,0,0.3540741,0.8412385
7/1/2024 21:03,3,08 Manuela Cardenas,0,0,0,0,0.9066667,0.6350461
7/1/2024 21:04,3,09 Cassandra Brown,0,1,0,0,0.74962956,0.15283266
7/1/2024 21:05,3,08 Manuela Cardenas,0,0,0,0,0.96740735,0.3919631
7/1/2024 21:08,4,96 Nina Finley,0,0,0,0,0.07259264,0.6640316
7/1/2024 21:16,8,09 Cassandra Brown,0,0,0,0,0.4740741,0.62582344
7/1/2024 21:19,9,21 Montana Roberts,0,0,0,0,0.01481486,0.58036894
7/1/2024 21:49,17,31 Eli Presberg,0,0,0,0,0.07259264,0.6054019
7/1/2024 21:52,18,96 Nina Finley,0,0,0,0,0.2948148,0.33926216
7/1/2024 21:57,20,96 Nina Finley,0,0,0,0,0.16888888,0.61396575
7/1/2024 22:02,21,19 Eastelle Ding,0,0,0,0,0.2459259,0.5836627
7/1/2024 22:09,25,62 Casey Banta-Ryan,0,0,0,0,0.6755555,0.6528327
7/1/2024 22:11,25,33 Valeria Cardenas,0,0,0,0,0.63555557,0.7944664
