Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-07-01 20:57:12,1,1,33 Valeria Cardenas,24 Jolie Krebs,0,0,0,0,0,1,0,0,0,1,1,20.044846,20.02283,0.9392392,0.96444446,0.5362319,0.9451851,0.35375494
2024-07-01 20:57:18,1,1,24 Jolie Krebs,02 Jolene Zheng,0,0,0,1,1,0,1,0,0,1,0,40.08655,36.142292,17.339733,0.9451851,0.35375494,0.5896296,0.024374167
2024-07-01 20:58:50,2,1,33 Valeria Cardenas,08 Manuela Cardenas,0,0,0,0,0,0,0,0,1,0,0,12.450477,-5.9996185,10.909581,0.76,0.8339921,0.5362963,0.8886693
2024-07-01 20:58:56,2,1,08 Manuela Cardenas,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,14.326844,2.6022472,14.088533,0.5362963,0.8886693,0.24740744,0.8649539
2024-07-01 20:59:00,2,1,33 Valeria Cardenas,31 Eli Presberg,0,0,0,0,0,0,0,0,0,0,0,16.485506,15.179758,-6.430153,0.24740744,0.8649539,0.37925932,0.726614
2024-07-01 20:59:03,2,1,31 Eli Presberg,62 Casey Banta-Ryan,0,0,0,0,0,0,0,0,0,0,0,18.983534,14.095494,-12.715801,0.37925932,0.726614,0.64,0.5981555
2024-07-01 20:59:06,2,1,62 Casey Banta-Ryan,09 Cassandra Brown,0,0,0,0,0,0,0,0,0,0,0,9.695281,9.107862,-3.3234513,0.64,0.5981555,0.7081482,0.5151515
2024-07-01 20:59:14,2,1,09 Cassandra Brown,33 Valeria Cardenas,1,1,0,0,0,0,0,0,0,0,0,8.634433,6.7224617,-5.4186664,0.7081482,0.5151515,0.8192593,0.45388672
2024-07-01 21:00:02,2,2,33 Valeria Cardenas,31 Eli Presberg,0,0,0,0,0,0,0,0,0,0,0,12.661897,12.360666,2.745459,0.3540741,0.8412385,0.29777777,0.72859025
2024-07-01 21:00:04,2,2,31 Eli Presberg,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,1,8.014833,3.469661,7.224888,0.29777777,0.72859025,0.14962965,0.6969697
2024-07-01 21:00:18,2,2,33 Valeria Cardenas,31 Eli Presberg,1,1,0,0,0,0,0,0,0,1,0,31.046913,28.696974,-11.84882,0.14962965,0.6969697,0.39259264,0.4354414
2024-07-01 21:01:41,2,3,20 Yina Cartagena,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,1,1,15.354817,15.179764,-2.3119657,0.042962987,0.8577075,0.09037042,0.71936756
2024-07-01 21:01:46,2,3,24 Jolie Krebs,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,1,1,25.432947,25.2996,-2.6009598,0.09037042,0.71936756,0.14370374,0.48880106
2024-07-01 21:01:49,2,3,00 Genny De Jesus,33 Valeria Cardenas,0,0,0,0,0,1,0,0,0,1,0,7.176964,3.8310812,-6.068907,0.14370374,0.48880106,0.26814818,0.45388672
2024-07-01 21:01:57,2,3,33 Valeria Cardenas,96 Nina Finley,0,0,0,1,1,0,0,0,0,0,1,37.16348,35.78087,10.042598,0.26814818,0.45388672,0.062222224,0.12779975
2024-07-01 21:03:35,3,1,31 Eli Presberg,08 Manuela Cardenas,0,0,0,0,0,0,0,1,0,1,0,15.453023,-2.529964,15.244514,0.8607407,0.6370224,0.54814816,0.66007906
2024-07-01 21:03:38,3,1,08 Manuela Cardenas,62 Casey Banta-Ryan,0,0,0,0,0,0,0,0,0,0,0,12.912555,5.1322045,11.848821,0.54814816,0.66007906,0.30518514,0.613307
2024-07-01 21:03:41,3,1,62 Casey Banta-Ryan,31 Eli Presberg,0,0,0,0,0,0,0,0,1,0,0,10.715663,-8.168159,-6.9358935,0.30518514,0.613307,0.44740736,0.68774706
2024-07-01 21:03:44,3,1,31 Eli Presberg,08 Manuela Cardenas,0,0,0,0,0,0,0,0,0,0,1,21.85204,16.264034,14.594275,0.44740736,0.68774706,0.14814812,0.5395257
2024-07-01 21:03:53,3,1,08 Manuela Cardenas,31 Eli Presberg,0,0,0,0,0,0,0,0,0,1,1,21.552917,21.540806,0.72248715,0.14814812,0.5395257,0.13333334,0.34321475
