Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Valeria Cardenas,19,"1,2,4,5,6,7,9,11,13,14,15,16,18,20,22,24,25,26,27",10,9,8,5,56,19,54,36,20,6,3,2,6,6,0,2,0,0,834.88,434.5,17.76,9.24,461.99,73.37,12.83,2.04
96 Nina Finley,17,"1,2,4,5,7,9,11,13,14,16,18,20,22,24,25,26,27",10,7,8,4,12,9,9,7,5,1,0,3,1,1,0,3,0,0,116.19,19.73,14.52,2.47,141.11,99.54,20.16,14.22
08 Manuela Cardenas,15,"3,4,6,8,10,11,12,15,16,17,19,20,21,23,25,28",1,14,1,6,23,9,23,22,1,1,4,0,3,2,1,2,0,0,288.15,74.74,13.72,3.56,313.29,57.1,14.24,2.6
00 Genny De Jesus,15,"1,2,5,7,9,11,13,14,15,18,19,21,22,24,27",9,6,8,3,9,8,8,9,0,0,2,1,0,0,0,0,0,0,86.07,40.77,12.3,5.82,147.53,61.59,16.39,6.84
24 Jolie Krebs,13,"1,2,5,7,9,13,14,15,18,22,24,26,27",10,3,8,3,19,13,17,19,0,3,3,2,3,2,1,0,0,0,250.66,161.85,16.71,10.79,314.3,182.95,16.54,9.63
20 Yina Cartagena,13,"1,2,5,7,9,13,14,15,18,22,24,26,27",10,3,8,3,34,13,33,29,5,2,1,1,3,3,0,0,0,0,480.45,238.83,16.01,7.96,435.45,161.34,15.02,5.56
66 Janine Hlavaty,12,"1,2,5,7,9,13,14,18,22,24,26,27",10,2,8,2,8,6,6,8,0,1,0,2,1,1,0,0,0,0,65.39,-4.05,13.08,-0.81,145.29,112.4,18.16,14.05
02 Jolene Zheng,12,"1,2,5,7,9,13,14,18,22,24,26,27",10,2,8,2,5,5,4,5,0,0,0,1,1,1,0,0,0,0,36.55,9.47,12.18,3.16,109.15,78.36,21.83,15.67
09 Cassandra Brown,10,"3,6,8,10,12,15,16,17,23,25,28",1,9,1,5,18,9,18,8,10,1,2,0,5,5,0,2,0,0,205.18,107.49,15.78,8.27,87.85,12.94,10.98,1.62
31 Eli Presberg,10,"3,6,8,10,12,15,17,19,21,23",1,9,1,4,17,8,16,14,3,1,0,1,4,4,0,1,0,0,236.38,112.26,19.7,9.35,209.66,86.38,14.98,6.17
88 Nikki Hair,10,"3,6,8,10,12,16,17,19,21,23",1,9,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.6,-4.05,8.6,-4.05,33.71,14.67,33.71,14.67
19 Eastelle Ding,10,"3,8,10,11,12,16,17,19,21,23",1,9,1,4,4,3,4,3,1,0,0,0,1,1,0,1,0,0,33.64,-7.95,11.21,-2.65,86.5,74.67,28.83,24.89
62 Casey Banta-Ryan,9,"3,6,8,10,12,16,17,23,25",1,8,1,4,5,4,4,5,0,0,0,1,0,0,0,1,0,0,42.04,-2.96,10.51,-0.74,91.2,66.86,18.24,13.37
26 Mariabelen Restrepo,6,"3,8,10,12,17,23,28",1,5,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.16,12.94,16.16,12.94
11 Emma Berrigan,6,"4,6,11,19,20,21,28",0,6,0,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,8.28,7.81,8.28,7.81,48.31,30.58,24.15,15.29
21 Montana Roberts,5,"4,11,19,20,21",0,5,0,1,2,2,2,2,0,0,0,0,1,1,0,1,0,0,18.61,-1.23,18.61,-1.23,32.5,2.89,16.25,1.45
18 Kylie Sterling,1,"25,28",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65 Anna Lieberman,2,"4,20",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05 Emily Wang,2,"4,20",0,2,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,28.9,-2.1,14.45,-1.05,36.3,18.5,18.15,9.25
97 Hannah Glick,1,"25,28",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 Kayla Seeger,1,"26,28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
