Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
7/1/2024 20:56,1,0,0,1,1,1,2,0,0,0,0,0,33 Valeria Cardenas,24 Jolie Krebs,02 Jolene Zheng
7/1/2024 20:57,2,1,0,0,1,3,13,2,2,0,1,2,00 Genny De Jesus,33 Valeria Cardenas,96 Nina Finley
7/1/2024 21:02,3,2,0,0,1,4,13,3,3,0,3,1,09 Cassandra Brown,08 Manuela Cardenas,26 Mariabelen Restrepo
7/1/2024 21:06,4,3,0,0,0,1,2,1,1,0,1,0,,,
7/1/2024 21:08,5,3,1,1,1,1,8,0,0,0,0,0,00 Genny De Jesus,20 Yina Cartagena,33 Valeria Cardenas
7/1/2024 21:09,6,4,1,0,0,2,10,2,2,0,0,2,,,
7/1/2024 21:13,7,4,2,1,1,2,9,1,1,0,0,1,33 Valeria Cardenas,24 Jolie Krebs,33 Valeria Cardenas
7/1/2024 21:15,8,5,2,0,1,1,2,0,0,0,1,0,09 Cassandra Brown,31 Eli Presberg,62 Casey Banta-Ryan
7/1/2024 21:17,9,6,2,0,1,2,15,1,1,0,1,1,24 Jolie Krebs,33 Valeria Cardenas,66 Janine Hlavaty
7/1/2024 21:21,10,7,2,0,1,3,18,2,2,0,0,3,08 Manuela Cardenas,09 Cassandra Brown,31 Eli Presberg
7/1/2024 21:27,11,8,2,0,0,0,0,0,0,0,0,0,,,
7/1/2024 21:28,12,8,3,1,0,5,20,5,4,1,1,4,,,
7/1/2024 21:35,13,9,3,1,0,1,4,1,1,0,0,0,,,
7/1/2024 21:37,14,9,4,1,1,2,14,1,1,0,0,1,33 Valeria Cardenas,24 Jolie Krebs,20 Yina Cartagena
7/1/2024 21:39,15,10,4,0,1,1,14,0,0,0,0,1,08 Manuela Cardenas,33 Valeria Cardenas,24 Jolie Krebs
7/1/2024 21:43,16,11,4,0,1,1,6,0,0,0,0,1,08 Manuela Cardenas,33 Valeria Cardenas,96 Nina Finley
7/1/2024 21:47,17,12,4,0,0,1,3,1,1,0,1,0,,,
7/1/2024 21:50,18,12,5,1,1,2,8,1,1,0,1,0,,96 Nina Finley,66 Janine Hlavaty
7/1/2024 21:53,19,13,5,0,0,1,6,1,1,0,0,1,,,
7/1/2024 21:56,20,13,6,0,1,2,8,1,1,0,1,1,08 Manuela Cardenas,33 Valeria Cardenas,11 Emma Berrigan
7/1/2024 22:00,21,14,6,0,0,1,1,1,1,0,1,0,,,
7/1/2024 22:03,22,14,7,1,1,1,6,0,0,0,0,0,24 Jolie Krebs,20 Yina Cartagena,96 Nina Finley
7/1/2024 22:05,23,15,7,0,0,0,0,0,0,0,0,0,,,
7/1/2024 22:07,24,15,8,1,1,1,5,0,0,0,0,0,24 Jolie Krebs,33 Valeria Cardenas,24 Jolie Krebs
7/1/2024 22:08,25,16,8,0,0,3,3,3,2,1,2,1,,,
7/1/2024 22:13,26,16,9,1,0,1,5,1,1,0,0,0,,,
7/1/2024 22:15,27,16,10,1,1,2,8,1,1,0,0,1,20 Yina Cartagena,66 Janine Hlavaty,00 Genny De Jesus
7/1/2024 22:18,28,17,10,0,0,0,0,0,0,0,0,1,,,
