Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
7/1/2024 20:57,1,1,1,1,0.96444446,0.5362319,33 Valeria Cardenas,2,33 Valeria Cardenas,24 Jolie Krebs,02 Jolene Zheng,,,
7/1/2024 20:58,2,1,0,0,0.76,0.8339921,33 Valeria Cardenas,6,,,,09 Cassandra Brown,,
7/1/2024 20:59,2,2,0,0,0.3540741,0.8412385,33 Valeria Cardenas,3,,,,33 Valeria Cardenas,,
7/1/2024 21:00,2,3,0,1,0.042962987,0.8577075,20 Yina Cartagena,4,00 Genny De Jesus,33 Valeria Cardenas,96 Nina Finley,,,
7/1/2024 21:03,3,1,0,0,0.8607407,0.6370224,31 Eli Presberg,6,,,,31 Eli Presberg,,
7/1/2024 21:04,3,2,0,0,0.17481479,0.16666667,31 Eli Presberg,1,,,,31 Eli Presberg,,
7/1/2024 21:05,3,3,0,0,0.92444444,0.39855072,09 Cassandra Brown,2,,,,31 Eli Presberg,,
7/1/2024 21:06,3,4,0,1,0.87259257,0.33992094,09 Cassandra Brown,4,09 Cassandra Brown,08 Manuela Cardenas,26 Mariabelen Restrepo,,,
7/1/2024 21:08,4,1,0,0,0.07259264,0.6640316,96 Nina Finley,2,,,,33 Valeria Cardenas,,
7/1/2024 21:09,5,1,1,1,0.91555554,0.5085639,33 Valeria Cardenas,8,00 Genny De Jesus,20 Yina Cartagena,33 Valeria Cardenas,,,
7/1/2024 21:10,6,1,0,0,0.037037082,0.6607378,33 Valeria Cardenas,8,,,,33 Valeria Cardenas,,
7/1/2024 21:12,6,2,0,0,0.8681482,0.4367589,09 Cassandra Brown,2,,,,08 Manuela Cardenas,,
7/1/2024 21:13,7,1,1,0,0.8059259,0.5698287,33 Valeria Cardenas,2,,,,20 Yina Cartagena,,
7/1/2024 21:14,7,2,1,1,0.8711111,0.4347826,20 Yina Cartagena,7,33 Valeria Cardenas,24 Jolie Krebs,33 Valeria Cardenas,,,
7/1/2024 21:16,8,1,0,1,0.5422222,0.39393938,09 Cassandra Brown,2,09 Cassandra Brown,31 Eli Presberg,62 Casey Banta-Ryan,,,
7/1/2024 21:18,9,1,0,0,0.09481486,0.8577075,96 Nina Finley,5,,,,33 Valeria Cardenas,,
7/1/2024 21:19,9,2,0,1,0.026666667,0.6073781,96 Nina Finley,10,24 Jolie Krebs,33 Valeria Cardenas,66 Janine Hlavaty,,,
7/1/2024 21:24,10,1,0,0,0.1659259,0.5362319,09 Cassandra Brown,4,,,,31 Eli Presberg,,
7/1/2024 21:25,10,2,0,0,0.23851848,0.6488801,09 Cassandra Brown,7,,,,09 Cassandra Brown,,
7/1/2024 21:26,10,3,0,1,0.52740735,0.4538867,09 Cassandra Brown,7,08 Manuela Cardenas,09 Cassandra Brown,31 Eli Presberg,,,
7/1/2024 21:29,12,1,1,0,0.7925926,0.57378125,33 Valeria Cardenas,5,,,,20 Yina Cartagena,,
7/1/2024 21:30,12,2,1,0,0.7688889,0.6146245,33 Valeria Cardenas,1,,,,33 Valeria Cardenas,,
7/1/2024 21:31,12,3,1,0,0.63555557,0.67193675,33 Valeria Cardenas,8,,,,96 Nina Finley,,
7/1/2024 21:32,12,4,1,0,0.06962959,0.5105402,33 Valeria Cardenas,5,,,,,24 Jolie Krebs,
7/1/2024 21:34,12,5,1,0,0.95111114,0.6363636,09 Cassandra Brown,1,,,,09 Cassandra Brown,,
7/1/2024 21:36,13,1,1,0,0.09481486,0.8333334,20 Yina Cartagena,4,,,,66 Janine Hlavaty,,
7/1/2024 21:37,14,1,1,0,0.52,0.5777339,33 Valeria Cardenas,8,,,,24 Jolie Krebs,,
7/1/2024 21:38,14,2,1,1,0.88,0.5513834,20 Yina Cartagena,6,33 Valeria Cardenas,24 Jolie Krebs,20 Yina Cartagena,,,
7/1/2024 21:41,15,1,0,1,0.7911111,0.69631094,20 Yina Cartagena,14,08 Manuela Cardenas,33 Valeria Cardenas,24 Jolie Krebs,,,
7/1/2024 21:44,16,1,0,1,0.48444444,0.6943346,09 Cassandra Brown,6,08 Manuela Cardenas,33 Valeria Cardenas,96 Nina Finley,,,
7/1/2024 21:49,17,1,0,0,0.065185204,0.6205534,31 Eli Presberg,3,,,,09 Cassandra Brown,,
7/1/2024 21:50,18,1,1,0,0.24740736,0.6330698,33 Valeria Cardenas,7,,,,02 Jolene Zheng,,
7/1/2024 21:52,18,2,1,1,0.2948148,0.33926216,96 Nina Finley,1,,96 Nina Finley,66 Janine Hlavaty,,,
7/1/2024 21:54,19,1,0,0,0.11851854,0.44993412,08 Manuela Cardenas,6,,,,08 Manuela Cardenas,,
7/1/2024 21:57,20,1,0,0,0.057777777,0.64295125,96 Nina Finley,4,,,,21 Montana Roberts,,
7/1/2024 21:59,20,2,0,1,0.46222222,0.38932806,33 Valeria Cardenas,4,08 Manuela Cardenas,33 Valeria Cardenas,11 Emma Berrigan,,,
7/1/2024 22:02,21,1,0,0,0.2459259,0.5836627,19 Eastelle Ding,1,,,,19 Eastelle Ding,,
7/1/2024 22:04,22,1,1,1,0.93777776,0.38735178,33 Valeria Cardenas,6,24 Jolie Krebs,20 Yina Cartagena,96 Nina Finley,,,
7/1/2024 22:08,24,1,1,1,0.6577778,0.7555995,33 Valeria Cardenas,5,24 Jolie Krebs,33 Valeria Cardenas,24 Jolie Krebs,,,
7/1/2024 22:10,25,1,0,0,0.7007407,0.6515151,33 Valeria Cardenas,1,,,,,08 Manuela Cardenas,
7/1/2024 22:10,25,2,0,0,0.86814815,0.588274,09 Cassandra Brown,1,,,,09 Cassandra Brown,,
7/1/2024 22:11,25,3,0,0,0.63555557,0.7944664,33 Valeria Cardenas,1,,,,33 Valeria Cardenas,,
7/1/2024 22:13,26,1,1,0,0.43703708,0.8359684,33 Valeria Cardenas,5,,,,24 Jolie Krebs,,
7/1/2024 22:15,27,1,1,0,0.5629629,0.54347825,33 Valeria Cardenas,5,,,,20 Yina Cartagena,,
7/1/2024 22:18,27,2,1,1,0.87259257,0.41831356,33 Valeria Cardenas,3,20 Yina Cartagena,66 Janine Hlavaty,00 Genny De Jesus,,,
