Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-24 16:41:49,1,1,36 Carolyn Normile,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,6.3658543,2.235206,-5.960533,0.45833334,0.7271605,0.58055556,0.7067901
2024-06-24 16:41:51,1,1,16 Margaret Walker,36 Carolyn Normile,0,0,0,0,0,0,0,1,0,0,0,17.375946,3.589865,17.00107,0.58055556,0.7067901,0.2319444,0.67407405
2024-06-24 16:41:58,1,1,36 Carolyn Normile,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,10.7380295,10.634132,1.4901322,0.2319444,0.67407405,0.20138887,0.5771605
2024-06-24 16:42:07,1,1,37 Claire Trop,16 Margaret Walker,0,0,0,0,0,0,0,0,1,0,0,13.922456,-2.912532,-13.614401,0.20138887,0.5771605,0.48055553,0.6037037
2024-06-24 16:42:18,1,1,16 Margaret Walker,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,1,21.325134,9.48266,-19.1008,0.48055553,0.6037037,0.8722222,0.517284
2024-06-24 16:42:37,1,1,05 Marie Perivier,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,1,1,13.834195,13.817603,-0.67733365,0.8722222,0.517284,0.8861111,0.39135802
2024-06-24 16:43:16,1,1,08 Kathryn Ritzman,23 Lisa Dang,0,0,0,0,0,0,0,1,0,1,0,17.765902,-6.163734,16.662401,0.8861111,0.39135802,0.5444444,0.44753087
2024-06-24 16:43:21,1,1,23 Lisa Dang,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,0,9.4346485,8.195733,-4.6736016,0.5444444,0.44753087,0.64027774,0.3728395
2024-06-24 16:43:27,1,1,05 Marie Perivier,23 Lisa Dang,0,0,0,0,0,0,0,1,0,0,0,17.241161,1.8965361,17.136534,0.64027774,0.3728395,0.28888887,0.35555553
2024-06-24 16:43:31,1,1,23 Lisa Dang,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,0,6.066198,6.028265,-0.6773322,0.28888887,0.35555553,0.30277774,0.30061728
2024-06-24 16:43:36,1,1,08 Kathryn Ritzman,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,8.867894,4.809068,7.4506645,0.30277774,0.30061728,0.15,0.2567901
2024-06-24 16:43:41,1,1,16 Margaret Walker,37 Claire Trop,0,0,0,0,0,1,0,0,0,0,1,7.2579026,6.705598,2.7770681,0.15,0.2567901,0.09305553,0.19567901
2024-06-24 16:43:44,1,1,37 Claire Trop,05 Marie Perivier,0,0,0,1,1,0,0,0,0,1,1,13.634772,13.6144,-0.7450679,0.09305553,0.19567901,0.108333334,0.07160493
2024-06-24 16:47:35,2,1,09 Annalise Peters,22 Erin McCann,0,0,0,0,0,0,0,0,0,0,0,9.991526,7.586131,6.5024,0.37777779,0.50987655,0.24444446,0.44074076
2024-06-24 16:47:39,2,1,22 Erin McCann,01 Ashleigh Jentilet,0,0,0,0,0,0,0,0,0,0,0,12.994392,1.2191999,-12.93707,0.24444446,0.44074076,0.5097223,0.42962965
2024-06-24 16:47:43,2,1,01 Ashleigh Jentilet,42 Lisi Lohre,1,1,0,1,0,0,0,0,0,0,0,36.22676,35.018135,-9.279463,0.5097223,0.42962965,0.7,0.110493824
2024-06-24 16:48:47,2,2,21 Jess Oh,26 Jessica Sourbeer,0,0,0,0,0,0,0,0,1,1,0,11.065434,-2.2351992,10.83733,0.9,0.3160494,0.6777778,0.33641976
2024-06-24 16:48:54,2,2,26 Jessica Sourbeer,33 Amanda Murphy,0,0,0,0,0,0,0,0,0,0,0,8.80455,8.737599,-1.0837303,0.6777778,0.33641976,0.7,0.25679013
2024-06-24 16:49:00,2,2,33 Amanda Murphy,09 Annalise Peters,0,0,0,0,0,1,0,0,0,0,0,11.75383,1.5578647,11.650132,0.7,0.25679013,0.46111113,0.24259262
2024-06-24 16:49:06,2,2,09 Annalise Peters,01 Ashleigh Jentilet,0,0,0,1,1,0,0,0,0,0,1,26.742662,17.542936,-20.184534,0.46111113,0.24259262,0.875,0.08271605
2024-06-24 16:51:04,4,1,36 Carolyn Normile,37 Claire Trop,0,0,0,0,0,0,0,1,0,0,0,20.842176,3.9962661,-20.455467,0.24166666,0.6006173,0.6611111,0.56419754
2024-06-24 16:51:14,4,1,37 Claire Trop,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,0,13.075166,10.837333,-7.3152018,0.6611111,0.56419754,0.81111115,0.4654321
2024-06-24 16:51:29,4,1,05 Marie Perivier,16 Margaret Walker,0,0,0,0,0,0,0,0,1,0,0,13.636456,-3.1157327,13.275734,0.81111115,0.4654321,0.53888893,0.49382716
2024-06-24 16:51:53,4,1,16 Margaret Walker,36 Carolyn Normile,0,0,0,0,0,0,0,0,0,0,0,14.758565,2.7770662,14.494935,0.53888893,0.49382716,0.24166666,0.46851853
2024-06-24 16:51:56,4,1,36 Carolyn Normile,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,11.660564,4.4703984,-10.769601,0.24166666,0.46851853,0.4625,0.4277778
2024-06-24 16:52:00,4,1,16 Margaret Walker,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,23.801786,19.845867,13.140265,0.4625,0.4277778,0.1930556,0.2469136
2024-06-24 16:52:08,4,1,37 Claire Trop,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,0,8.04859,-0.9482664,-7.9925327,0.1930556,0.2469136,0.35694447,0.25555557
2024-06-24 16:52:17,4,1,08 Kathryn Ritzman,23 Lisa Dang,0,0,0,0,0,0,0,0,1,0,0,9.5465555,-2.5061312,-9.211733,0.35694447,0.25555557,0.54583335,0.27839506
2024-06-24 16:52:23,4,1,23 Lisa Dang,37 Claire Trop,1,1,0,1,0,0,0,0,0,0,0,26.208248,19.033066,18.017067,0.54583335,0.27839506,0.17638893,0.10493827
2024-06-24 16:53:31,4,2,23 Lisa Dang,37 Claire Trop,0,0,0,0,0,1,0,0,0,1,0,7.486911,4.9445376,5.621866,0.8611111,0.5962963,0.74583334,0.55123454
2024-06-24 16:53:34,4,2,37 Claire Trop,05 Marie Perivier,0,0,0,1,1,0,1,0,0,0,0,48.80227,48.767994,-1.8288013,0.74583334,0.55123454,0.78333336,0.106790125
