Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
37 Claire Trop,16,"1,4,7,9,11,14,17,19,20,21,23,24,27,30,31,33",9,7,7,5,23,11,21,23,0,5,2,2,5,4,1,1,0,0,259.13,154.79,15.24,9.11,342.27,199.06,14.88,8.65
07 Kami Groom,16,"3,6,9,10,13,16,19,21,22,24,25,26,27,29,31,32",6,10,4,5,20,11,18,19,1,3,2,2,2,1,1,0,0,0,195.98,70.07,11.53,4.12,283.52,170.77,14.92,8.99
08 Kathryn Ritzman,12,"1,4,7,11,13,14,17,20,23,30,31,33",7,5,7,3,19,9,18,19,0,0,2,1,0,0,0,0,0,0,195.40,45.71,11.49,2.69,219.18,126.19,11.54,6.64
16 Margaret Walker,12,"1,4,7,11,14,17,20,23,24,30,31,33",7,5,7,3,25,11,25,22,3,2,1,0,0,0,0,0,0,0,364.36,161.34,14.57,6.45,249.62,-8.22,11.35,-0.37
05 Marie Perivier,12,"1,4,7,11,14,17,20,23,24,30,31,33",7,5,7,3,17,10,12,17,0,0,2,5,1,0,1,1,0,0,140.93,42.48,12.81,3.86,276.00,211.11,16.24,12.42
21 Jess Oh,11,"2,5,8,9,12,15,18,19,21,28,34",2,9,0,5,8,7,8,5,3,1,1,0,2,2,0,0,0,0,95.18,46.98,15.86,7.83,47.83,19.37,9.57,3.87
19 Allie Wallace,11,"3,6,10,13,16,19,22,26,27,29,32",5,6,3,1,7,4,7,7,0,0,1,0,0,0,0,0,0,0,99.30,29.72,14.19,4.25,125.33,61.26,17.90,8.75
66 Jackie Wang,11,"3,6,9,12,13,16,19,22,27,29,32",5,6,3,3,22,8,20,12,10,0,2,2,2,2,0,1,0,0,246.50,100.66,15.41,6.29,152.12,82.50,12.68,6.87
33 Amanda Murphy,10,"2,5,8,12,15,18,21,27,28,34",2,8,0,4,6,5,6,5,1,1,2,0,1,0,1,2,0,0,75.25,28.16,12.54,4.69,57.89,48.13,11.58,9.63
01 Ashleigh Jentilet,10,"2,8,9,12,15,18,19,21,27,28",3,7,0,5,11,6,8,10,1,0,1,3,3,2,1,1,0,0,62.40,43.05,10.40,7.17,229.01,169.53,22.90,16.95
23 Lisa Dang,10,"1,4,7,11,14,17,20,23,30,33",6,4,6,2,17,8,17,14,3,2,1,0,1,1,0,0,0,0,183.64,119.07,11.48,7.44,172.01,25.98,12.29,1.86
36 Carolyn Normile,10,"1,4,7,14,17,20,23,24,31,33",6,4,6,3,17,9,16,9,8,1,0,1,0,0,0,0,0,0,224.18,101.45,14.01,6.34,109.50,5.56,12.17,0.62
09 Annalise Peters,9,"2,5,8,12,15,18,21,28,34",1,8,0,4,10,6,10,4,6,2,0,0,2,2,0,0,0,0,163.77,142.13,23.40,20.30,39.49,3.44,9.87,0.86
00 Emma Jones,9,"3,10,13,16,22,25,26,29,32",2,7,2,2,2,2,2,0,2,0,0,0,1,1,0,0,0,0,14.79,9.28,14.79,9.28,0.00,0.00,0.00,0.00
26 Jessica Sourbeer,9,"2,5,8,15,18,22,25,29,31",3,6,2,3,11,6,10,7,4,0,2,1,1,1,0,0,0,0,133.64,89.20,16.71,11.15,83.24,12.73,11.89,1.82
46 Graham Cunningham,8,"6,10,13,16,22,25,26,32",2,6,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,33.05,21.47,11.02,7.16,79.47,16.66,26.49,5.55
12 Clare Frantz,8,"1,7,11,14,17,23,30,33",4,4,4,2,6,5,5,6,0,0,0,1,0,0,0,0,0,0,64.17,21.50,12.83,4.30,91.56,79.02,15.26,13.17
22 Erin McCann,8,"2,5,9,18,19,27,28,34",2,6,0,2,4,4,3,3,1,0,0,1,0,0,0,1,0,0,39.60,25.60,13.20,8.53,42.10,35.03,14.03,11.68
04 Ellen Mueller,8,"3,6,10,16,25,26,32,34",2,6,2,1,3,2,3,3,0,2,0,0,0,0,0,0,0,0,74.62,56.12,24.87,18.71,56.02,41.71,18.67,13.90
42 Lisi Lohre,7,"2,8,12,15,21,28,34",1,6,0,4,4,3,4,4,0,0,0,0,1,1,0,0,0,0,35.98,27.38,11.99,9.13,54.64,48.84,13.66,12.21
06 Laureen Johnson,5,"3,6,13,16,29",3,2,3,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,14.20,13.55,14.20,13.55,11.54,10.43,11.54,10.43
15 Florence Brooks,4,"5,8,12,28",0,4,0,2,3,2,2,3,0,0,0,1,0,0,0,1,0,0,18.44,5.81,9.22,2.91,37.77,34.49,12.59,11.50
13 Sami Smalling,1,6,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,35.19,34.07,35.19,34.07,9.61,-4.00,9.61,-4.00
28 Eva Turner,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11 Tayara Romero Pena,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
