Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-06-24 16:39:17,1,0,0,1,1,1,13,0,0,0,0,0,16 Margaret Walker,37 Claire Trop,05 Marie Perivier
2024-06-24 16:43:46,2,1,0,0,1,2,7,1,1,0,1,1,33 Amanda Murphy,09 Annalise Peters,01 Ashleigh Jentilet
2024-06-24 16:49:08,3,2,0,0,0,0,0,0,0,0,0,0,,,
2024-06-24 16:50:30,4,2,1,1,1,2,11,1,1,0,1,0,23 Lisa Dang,37 Claire Trop,05 Marie Perivier
2024-06-24 16:53:38,5,3,1,0,0,0,0,0,0,0,0,0,,,
2024-06-24 16:54:45,6,3,2,1,1,1,4,0,0,0,0,0,07 Kami Groom,13 Sami Smalling,66 Jackie Wang
2024-06-24 16:56:17,7,4,2,0,1,1,13,0,0,0,0,1,05 Marie Perivier,16 Margaret Walker,05 Marie Perivier
2024-06-24 16:59:53,8,5,2,0,1,2,11,1,1,0,0,2,01 Ashleigh Jentilet,09 Annalise Peters,15 Florence Brooks
2024-06-24 17:05:02,9,6,2,0,1,1,6,0,0,0,1,0,37 Claire Trop,07 Kami Groom,22 Erin McCann
2024-06-24 17:17:42,10,7,2,0,0,0,0,0,0,0,0,0,,,
2024-06-24 17:18:53,11,7,3,1,1,1,10,0,0,0,0,0,05 Marie Perivier,23 Lisa Dang,12 Clare Frantz
2024-06-24 17:21:58,12,8,3,0,1,1,7,0,0,0,1,0,33 Amanda Murphy,21 Jess Oh,01 Ashleigh Jentilet
2024-06-24 17:30:05,13,9,3,0,1,2,4,1,0,1,0,2,66 Jackie Wang,07 Kami Groom,66 Jackie Wang
2024-06-24 17:32:08,14,10,3,0,0,0,0,0,0,0,0,0,,,
2024-06-24 17:34:10,15,10,4,1,0,1,1,1,0,1,0,0,,,
2024-06-24 17:36:19,16,10,5,1,1,1,14,0,0,0,0,0,66 Jackie Wang,04 Ellen Mueller,07 Kami Groom
2024-06-24 17:39:12,17,11,5,0,1,1,14,0,0,0,0,1,08 Kathryn Ritzman,23 Lisa Dang,05 Marie Perivier
2024-06-24 17:43:17,18,12,5,0,0,0,0,0,0,0,0,0,,,
2024-06-24 17:46:15,19,12,6,1,0,3,6,3,3,0,1,1,,,
2024-06-24 17:52:34,20,12,7,1,1,3,9,2,0,2,0,2,,36 Carolyn Normile,37 Claire Trop
2024-06-24 18:11:14,21,13,7,0,1,2,4,1,1,0,1,1,21 Jess Oh,33 Amanda Murphy,01 Ashleigh Jentilet
2024-06-24 18:16:11,22,14,7,0,0,0,0,0,0,0,0,0,,,
2024-06-24 18:19:27,23,14,8,1,1,1,15,0,0,0,0,0,08 Kathryn Ritzman,37 Claire Trop,36 Carolyn Normile
2024-06-24 18:23:32,24,15,8,0,1,2,9,1,0,1,1,1,07 Kami Groom,37 Claire Trop,05 Marie Perivier
2024-06-24 18:32:30,25,16,8,0,1,1,2,0,0,0,0,1,26 Jessica Sourbeer,04 Ellen Mueller,07 Kami Groom
2024-06-24 18:34:22,26,17,8,0,0,0,0,0,0,0,0,0,,,
2024-06-24 18:37:21,27,17,9,1,0,2,15,2,2,0,0,1,,,
2024-06-24 18:47:17,28,17,10,0,0,0,0,0,0,0,0,0,,,
2024-06-24 18:54:45,29,17,11,1,1,3,15,2,1,1,1,1,19 Allie Wallace,07 Kami Groom,26 Jessica Sourbeer
2024-06-24 19:01:59,30,18,11,0,0,0,0,0,0,0,0,0,,,
2024-06-24 19:03:39,31,18,12,1,1,5,11,4,4,0,0,4,26 Jessica Sourbeer,37 Claire Trop,08 Kathryn Ritzman
2024-06-24 19:20:35,32,19,12,0,0,2,9,2,2,0,0,2,,,
2024-06-24 19:26:33,33,19,13,1,1,2,10,1,1,0,0,1,37 Claire Trop,16 Margaret Walker,37 Claire Trop
2024-06-24 19:31:29,34,20,13,0,0,0,0,0,0,0,0,0,,,
2024-06-24 19:33:21,35,20,14,1,0,0,0,0,0,0,0,0,,,
