Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-06-24 16:40:49,1,1,1,1,0.45833334,0.7271605,36 Carolyn Normile,13,16 Margaret Walker,37 Claire Trop,05 Marie Perivier,,,
2024-06-24 16:47:32,2,1,0,0,0.37777779,0.50987655,09 Annalise Peters,3,,,,01 Ashleigh Jentilet,,
2024-06-24 16:48:26,2,2,0,1,0.9,0.3160494,21 Jess Oh,4,33 Amanda Murphy,09 Annalise Peters,01 Ashleigh Jentilet,,,
2024-06-24 16:51:01,4,1,1,0,0.24166666,0.6006173,36 Carolyn Normile,9,,,,23 Lisa Dang,,
2024-06-24 16:53:08,4,2,1,1,0.8611111,0.5962963,23 Lisa Dang,2,23 Lisa Dang,37 Claire Trop,05 Marie Perivier,,,
2024-06-24 16:55:46,6,1,1,1,0.8875,0.53641975,66 Jackie Wang,4,07 Kami Groom,13 Sami Smalling,66 Jackie Wang,,,
2024-06-24 16:57:16,7,1,0,1,0.83611107,0.6759259,36 Carolyn Normile,13,05 Marie Perivier,16 Margaret Walker,05 Marie Perivier,,,
2024-06-24 17:01:25,8,1,0,0,0.5305556,0.7802469,22 Erin McCann,2,,,,42 Lisi Lohre,,
2024-06-24 17:03:02,8,2,0,1,0.6458333,0.81790125,09 Annalise Peters,9,01 Ashleigh Jentilet,09 Annalise Peters,15 Florence Brooks,,,
2024-06-24 17:06:10,9,1,0,1,0.2347222,0.37654322,66 Jackie Wang,6,37 Claire Trop,07 Kami Groom,22 Erin McCann,,,
2024-06-24 17:20:03,11,1,1,1,0.45138893,0.69382715,23 Lisa Dang,10,05 Marie Perivier,23 Lisa Dang,12 Clare Frantz,,,
2024-06-24 17:25:12,12,1,0,1,0.6361111,0.5753086,33 Amanda Murphy,7,33 Amanda Murphy,21 Jess Oh,01 Ashleigh Jentilet,,,
2024-06-24 17:31:13,13,1,0,0,0.13194446,0.52962965,07 Kami Groom,2,,,,,07 Kami Groom,
2024-06-24 17:31:54,13,2,0,1,0.78888893,0.31296298,66 Jackie Wang,2,66 Jackie Wang,07 Kami Groom,66 Jackie Wang,,,
2024-06-24 17:35:38,15,1,1,0,0.46944445,0.54691356,26 Jessica Sourbeer,1,,,,,01 Ashleigh Jentilet,
2024-06-24 17:37:27,16,1,1,1,0.6,0.7555555,00 Emma Jones,14,66 Jackie Wang,04 Ellen Mueller,07 Kami Groom,,,
2024-06-24 17:41:48,17,1,0,1,0.93333334,0.7407408,36 Carolyn Normile,14,08 Kathryn Ritzman,23 Lisa Dang,05 Marie Perivier,,,
2024-06-24 17:47:27,19,1,1,0,0.53194445,0.6796296,00 Emma Jones,1,,,,00 Emma Jones,,
2024-06-24 17:48:07,19,2,1,0,0.84166664,0.658642,66 Jackie Wang,1,,,,66 Jackie Wang,,
2024-06-24 17:51:08,19,3,1,0,0.46111113,0.6728395,66 Jackie Wang,4,,,,21 Jess Oh,,
2024-06-24 18:08:18,20,1,1,0,0.49275362,0.5353824,16 Margaret Walker,2,,,,,37 Claire Trop,
2024-06-24 18:09:37,20,2,1,0,0.4830918,0.5389564,16 Margaret Walker,6,,,,,05 Marie Perivier,
2024-06-24 18:11:03,20,3,1,1,0.49597424,0.21229449,36 Carolyn Normile,1,,36 Carolyn Normile,37 Claire Trop,,,
2024-06-24 18:13:42,21,1,0,0,0.057971016,0.80343103,09 Annalise Peters,2,,,,01 Ashleigh Jentilet,,
2024-06-24 18:15:53,21,2,0,1,0.46215782,0.43602574,21 Jess Oh,2,21 Jess Oh,33 Amanda Murphy,01 Ashleigh Jentilet,,,
2024-06-24 18:20:05,23,1,1,1,0.4589372,0.6904932,16 Margaret Walker,15,08 Kathryn Ritzman,37 Claire Trop,36 Carolyn Normile,,,
2024-06-24 18:26:57,24,1,0,0,0.56199676,0.77483916,01 Ashleigh Jentilet,4,,,,,33 Amanda Murphy,
2024-06-24 18:29:34,24,2,0,1,0.9661836,0.7762688,09 Annalise Peters,5,07 Kami Groom,37 Claire Trop,05 Marie Perivier,,,
2024-06-24 18:33:59,25,1,0,1,0.58132046,0.66404575,26 Jessica Sourbeer,2,26 Jessica Sourbeer,04 Ellen Mueller,07 Kami Groom,,,
2024-06-24 18:41:44,27,1,1,0,0.84863126,0.75768405,36 Carolyn Normile,8,,,,37 Claire Trop,,
2024-06-24 18:46:31,27,2,1,0,0.49275362,0.47676912,66 Jackie Wang,7,,,,37 Claire Trop,,
2024-06-24 18:56:40,29,1,1,0,0.5097222,0.68888885,26 Jessica Sourbeer,6,,,,26 Jessica Sourbeer,,
2024-06-24 18:59:32,29,2,1,0,0.5222222,0.71358025,66 Jackie Wang,1,,,,,06 Laureen Johnson,
2024-06-24 19:00:17,29,3,1,1,0.5319444,0.8154321,66 Jackie Wang,8,19 Allie Wallace,07 Kami Groom,26 Jessica Sourbeer,,,
2024-06-24 19:04:40,31,1,1,0,0.14027773,0.75617284,21 Jess Oh,1,,,,21 Jess Oh,,
2024-06-24 19:05:52,31,2,1,0,0.84027773,0.7222222,09 Annalise Peters,1,,,,09 Annalise Peters,,
2024-06-24 19:07:19,31,3,1,0,0.109722205,0.7796296,09 Annalise Peters,1,,,,09 Annalise Peters,,
2024-06-24 19:07:53,31,4,1,0,0.1972222,0.67777777,36 Carolyn Normile,6,,,,37 Claire Trop,,
2024-06-24 19:11:06,31,5,1,1,0.49027774,0.3345679,26 Jessica Sourbeer,2,26 Jessica Sourbeer,37 Claire Trop,08 Kathryn Ritzman,,,
2024-06-24 19:22:56,32,1,0,0,0.5541667,0.79691356,66 Jackie Wang,4,,,,66 Jackie Wang,,
2024-06-24 19:24:52,32,2,0,0,0.6430556,0.49629632,66 Jackie Wang,5,,,,07 Kami Groom,,
2024-06-24 19:28:14,33,1,1,0,0.12638886,0.7808642,36 Carolyn Normile,3,,,,37 Claire Trop,,
2024-06-24 19:30:11,33,2,1,1,0.5097222,0.7950617,23 Lisa Dang,7,37 Claire Trop,16 Margaret Walker,37 Claire Trop,,,
