Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-23 00:00:29,15,05 Lindsay McKenna,0,0,0,0,0.30112723,0.6697641
2024-06-23 00:11:55,19,21 Linda Morse,0,0,0,0,0.23510467,0.5804146
2024-06-23 00:21:39,21,23 Natalie Bova,1,0,0,0,0.74396133,0.85704076
2024-06-23 00:29:10,24,03 Rachel Alfano,0,0,0,0,0.42028984,0.71908504
2024-06-23 00:40:59,27,21 Linda Morse,1,0,0,0,0.9549114,0.9085061
2024-06-23 00:44:25,27,01 Emily Shields,0,0,0,0,0.6167472,0.7877055
2024-06-23 00:58:19,31,66 Jess Brand,0,0,0,0,0.6698873,0.70335954
2024-06-23 01:00:03,31,15 Layne Dodge,0,0,0,0,0.76650566,0.41029307
2024-06-23 01:01:44,31,13 Kat Harper,0,0,0,0,0.8325282,0.69692636
2024-06-23 01:06:46,32,22 Liz Hart,0,0,0,0,0.41384864,0.66833454
