Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-22 23:27:19,2,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,1,0,1,0,15.714307,1.6470957,-15.6277485,0.017713366,0.74195856,0.33816424,0.72694784
2024-06-22 23:27:23,2,1,20 Danielle Walsh,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,14.912591,3.6863606,-14.4497795,0.33816424,0.72694784,0.63446057,0.6933524
2024-06-22 23:27:27,2,1,22 Liz Hart,20 Danielle Walsh,0,0,0,0,0,0,0,0,1,0,0,7.2196274,-5.7256193,4.397761,0.63446057,0.6933524,0.5442834,0.7455325
2024-06-22 23:27:35,2,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,0,0,0,12.185523,7.529584,-9.580832,0.5442834,0.7455325,0.7407407,0.67691207
2024-06-22 23:27:39,2,1,10 Andrea DeSabato,21 Linda Morse,0,0,0,0,0,0,0,1,0,0,0,16.725645,6.902114,15.235091,0.7407407,0.67691207,0.4283414,0.61401004
2024-06-22 23:27:42,2,1,21 Linda Morse,01 Emily Shields,0,0,0,0,0,0,0,0,0,0,0,16.353043,10.27475,12.722087,0.4283414,0.61401004,0.16747183,0.5203717
2024-06-22 23:27:50,2,1,01 Emily Shields,20 Danielle Walsh,0,0,0,0,0,0,0,0,1,0,0,8.778948,-6.509958,-5.8898544,0.16747183,0.5203717,0.28824475,0.5796998
2024-06-22 23:27:52,2,1,20 Danielle Walsh,01 Emily Shields,0,0,0,0,0,0,0,0,0,0,0,7.9092617,5.098156,-6.046919,0.28824475,0.5796998,0.41223833,0.53323805
2024-06-22 23:27:56,2,1,01 Emily Shields,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,10.166236,5.0981593,-8.795517,0.41223833,0.53323805,0.5925926,0.48677626
2024-06-22 23:27:59,2,1,22 Liz Hart,03 Rachel Alfano,0,0,0,0,0,0,0,0,0,0,0,9.844712,6.039354,-7.77461,0.5925926,0.48677626,0.7520129,0.43173695
