Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Sara Liang,19,"1,3,4,6,9,11,13,15,16,18,19,20,23,24,26,28,29,31,33",7,12,4,2,12,9,11,11,1,0,2,1,3,2,1,0,0,0,172.61,128.94,19.18,14.33,129.32,58.75,11.76,5.34
01 Emily Shields,18,"2,5,7,8,9,10,12,14,17,19,21,22,25,27,28,30,32,34",16,2,8,1,12,8,12,12,0,2,1,0,1,1,0,1,0,0,116.89,37.02,10.63,3.37,153.99,122.67,12.83,10.22
05 Lindsay McKenna,18,"1,3,6,8,9,10,11,13,15,19,20,21,23,24,26,29,31,34",9,9,4,2,27,11,26,24,3,2,2,1,6,4,2,1,0,0,357.57,214.04,17.03,10.19,309.37,137.73,12.89,5.74
21 Linda Morse,18,"2,5,7,8,10,12,14,17,19,21,22,24,27,28,30,31,32,34",15,3,8,1,17,13,14,17,0,1,1,3,5,5,0,2,0,0,121.91,17.8,13.55,1.98,304.19,192.16,17.89,11.3
10 Andrea DeSabato,17,"2,5,7,8,10,12,14,17,19,21,22,25,27,28,30,32,34",15,2,8,1,29,17,29,13,16,0,1,0,1,1,0,0,0,0,344.47,180.63,12.3,6.45,149.84,16.31,11.53,1.25
20 Danielle Walsh,16,"2,5,7,8,10,12,14,17,19,22,25,27,28,30,32,34",14,2,8,1,39,15,39,33,6,2,3,0,2,2,0,0,0,0,511.07,309.73,14.2,8.6,330.44,40.71,10.01,1.23
23 Natalie Bova,16,"3,5,7,8,9,12,14,17,21,22,25,27,28,31,32,34",14,2,7,0,15,6,14,15,0,1,0,1,2,2,0,1,0,0,139.62,80.71,11.64,6.73,204.45,92.71,13.63,6.18
04 Raha Mozaffari,15,"1,3,4,6,9,11,13,16,18,20,23,24,26,29,31",6,9,3,0,21,10,21,9,12,1,1,0,3,3,0,0,0,0,259.06,137.1,15.24,8.06,94.13,2.82,10.46,0.31
18 Sumi Onoe,15,"1,3,4,6,9,11,13,15,17,18,20,23,24,26,29",7,8,3,1,10,5,10,10,0,0,1,0,1,1,0,0,0,0,98.79,-0.78,10.98,-0.09,133.57,6.51,13.36,0.65
13 Kat Harper,14,"1,3,4,6,9,13,15,16,18,20,24,26,29,31",6,8,3,1,8,6,7,8,0,1,0,1,0,0,0,1,0,0,63.97,-13.02,10.66,-2.17,127.4,98.36,15.92,12.29
09 Sarah Hirannet,13,"2,7,10,12,14,19,21,22,25,27,30,32,34",11,2,6,1,7,7,6,7,0,0,0,1,1,0,1,0,0,0,69.96,-0.39,11.66,-0.07,126.1,108,18.01,15.43
22 Liz Hart,12,"2,5,7,10,13,14,17,21,22,25,28,30",12,0,6,0,13,8,11,13,0,2,0,2,3,2,1,1,0,0,125.29,99.85,13.92,11.09,211.99,162.04,16.31,12.46
15 Layne Dodge,10,"1,3,6,11,13,16,18,20,26,33",4,6,3,0,6,3,6,5,1,1,0,0,1,1,0,1,0,0,73.75,29.65,14.75,5.93,57.34,30.2,11.47,6.04
33 Jana Graham,10,"1,4,6,11,15,20,24,29,31,33",1,9,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,20.66,0.31,10.33,0.16,31.82,13.18,15.91,6.59
03 Rachel Alfano,7,"2,5,8,12,27,30,32",6,1,3,0,7,5,5,6,1,0,1,2,0,0,0,1,0,0,59.82,37.41,11.96,7.48,111.07,93.88,18.51,15.65
66 Jess Brand,6,"4,15,16,18,23,26",2,4,2,1,4,4,3,4,0,0,0,1,0,0,0,1,0,0,24.25,-6.2,8.08,-2.07,103.2,78.04,25.8,19.51
06 Gwen Rauch,5,"11,15,16,23,33",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Casey Gorman,3,"4,16,23",0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.67,9.41,9.67,9.41,9.23,9.18,9.23,9.18
48 Caroline Weinberg,3,"18,29,33",1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
07 Nikki Ross,2,"25,33",1,1,0,0,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
25 Sabrina Bonaci,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
