Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-06-22 23:25:12,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-06-22 23:25:57,2,0,1,1,0,2,20,2,2,0,0,1,,,
2024-06-22 23:30:36,3,0,2,1,1,1,12,0,0,0,0,0,18 Sumi Onoe,05 Lindsay McKenna,23 Natalie Bova
2024-06-22 23:33:33,4,1,2,0,0,1,6,1,1,0,0,1,,,
2024-06-22 23:36:10,5,1,3,1,1,1,3,0,0,0,0,0,03 Rachel Alfano,22 Liz Hart,03 Rachel Alfano
2024-06-22 23:38:03,6,2,3,0,0,0,0,0,0,0,0,0,,,
2024-06-22 23:39:18,7,2,4,1,0,1,3,1,1,1,0,0,,,
2024-06-22 23:41:35,8,2,5,1,0,2,4,2,2,0,0,1,,,
2024-06-22 23:46:54,9,2,6,1,0,1,3,1,1,0,0,0,,,
2024-06-22 23:49:30,10,2,7,1,1,1,5,0,0,0,0,0,10 Andrea DeSabato,01 Emily Shields,09 Sarah Hirannet
2024-06-22 23:51:12,11,3,7,0,0,0,0,0,0,0,0,0,,,
2024-06-22 23:52:53,12,3,8,1,0,1,4,1,1,0,0,0,,,
2024-06-22 23:54:47,13,3,9,1,0,2,4,2,2,0,0,1,,,
2024-06-22 23:56:43,14,3,10,1,1,1,7,0,0,0,0,0,21 Linda Morse,20 Danielle Walsh,22 Liz Hart
2024-06-22 23:59:17,15,4,10,0,1,1,6,0,0,0,1,0,05 Lindsay McKenna,13 Kat Harper,11 Sara Liang
2024-06-23 00:01:26,16,5,10,0,0,0,0,0,0,0,0,0,,,
2024-06-23 00:02:48,17,5,11,1,0,1,16,1,0,1,0,0,,,
2024-06-23 00:06:47,18,5,12,1,1,1,2,0,0,0,0,0,04 Raha Mozaffari,15 Layne Dodge,66 Jess Brand
2024-06-23 00:08:28,19,6,12,0,1,3,20,2,2,0,1,2,05 Lindsay McKenna,20 Danielle Walsh,05 Lindsay McKenna
2024-06-23 00:13:50,20,7,12,0,0,2,12,2,2,0,0,2,,,
2024-06-23 00:19:33,21,7,13,1,0,2,8,2,2,0,1,0,,,
2024-06-23 00:22:32,22,7,14,1,1,1,10,0,0,0,0,0,20 Danielle Walsh,01 Emily Shields,22 Liz Hart
2024-06-23 00:24:25,23,8,14,0,0,0,0,0,0,0,0,0,,,
2024-06-23 00:26:09,24,8,15,1,0,2,11,2,2,0,1,0,,,
2024-06-23 00:31:16,25,8,16,1,0,1,1,1,1,0,0,0,,,
2024-06-23 00:33:13,26,8,17,1,1,1,7,0,0,0,0,0,11 Sara Liang,04 Raha Mozaffari,13 Kat Harper
2024-06-23 00:38:37,27,9,17,0,0,2,3,1,1,0,2,0,,,
2024-06-23 00:46:10,28,9,18,1,1,1,4,0,0,0,0,0,11 Sara Liang,22 Liz Hart,21 Linda Morse
2024-06-23 00:49:18,29,10,18,0,0,2,4,2,1,1,0,2,,,
2024-06-23 00:52:38,30,10,19,1,1,1,6,0,0,0,0,0,20 Danielle Walsh,21 Linda Morse,03 Rachel Alfano
2024-06-23 00:54:52,31,11,19,0,0,4,19,4,2,2,3,1,,,
2024-06-23 01:02:53,32,11,20,1,1,3,13,2,2,1,1,1,20 Danielle Walsh,23 Natalie Bova,21 Linda Morse
2024-06-23 01:09:13,33,12,20,0,0,1,1,1,1,0,0,1,,,
2024-06-23 01:11:43,34,12,21,1,1,1,6,0,0,0,0,0,01 Emily Shields,05 Lindsay McKenna,21 Linda Morse
2024-06-23 01:14:33,35,13,21,0,0,0,0,0,0,0,0,0,,,
