Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-06-22 23:27:16,2,1,1,0,0.017713366,0.74195856,10 Andrea DeSabato,17,,,,21 Linda Morse,,
2024-06-22 23:29:29,2,2,1,0,0.33494365,0.8463188,10 Andrea DeSabato,3,,,,01 Emily Shields,,
2024-06-22 23:31:55,3,1,1,1,0.36553946,0.66047174,04 Raha Mozaffari,12,18 Sumi Onoe,05 Lindsay McKenna,23 Natalie Bova,,,
2024-06-22 23:35:16,4,1,0,0,0.96457326,0.83416724,04 Raha Mozaffari,6,,,,04 Raha Mozaffari,,
2024-06-22 23:37:36,5,1,1,1,0.88727856,0.5025018,10 Andrea DeSabato,3,03 Rachel Alfano,22 Liz Hart,03 Rachel Alfano,,,
2024-06-22 23:40:03,7,1,1,0,0.9452496,0.6919228,10 Andrea DeSabato,3,,,,21 Linda Morse,22 Liz Hart,
2024-06-22 23:43:16,8,1,1,0,0.273752,0.7312366,10 Andrea DeSabato,3,,,,21 Linda Morse,,
2024-06-22 23:44:43,8,2,1,0,0.77133656,0.45675483,20 Danielle Walsh,1,,,,20 Danielle Walsh,,
2024-06-22 23:48:47,9,1,1,0,0.7600644,0.72122943,04 Raha Mozaffari,3,,,,05 Lindsay McKenna,,
2024-06-22 23:50:54,10,1,1,1,0.24798712,0.43102217,20 Danielle Walsh,5,10 Andrea DeSabato,01 Emily Shields,09 Sarah Hirannet,,,
2024-06-22 23:53:49,12,1,1,0,0.79710144,0.47390994,10 Andrea DeSabato,4,,,,23 Natalie Bova,,
2024-06-22 23:55:39,13,1,1,0,0.4347826,0.7090779,04 Raha Mozaffari,2,,,,11 Sara Liang,,
2024-06-22 23:56:09,13,2,1,0,0.29951692,0.8327377,04 Raha Mozaffari,2,,,,05 Lindsay McKenna,,
2024-06-22 23:58:46,14,1,1,1,0.6876007,0.6997856,20 Danielle Walsh,7,21 Linda Morse,20 Danielle Walsh,22 Liz Hart,,,
2024-06-23 00:00:37,15,1,0,1,0.37520128,0.698356,05 Lindsay McKenna,6,05 Lindsay McKenna,13 Kat Harper,11 Sara Liang,,,
2024-06-23 00:03:41,17,1,1,0,0.39130434,0.7691208,10 Andrea DeSabato,16,,,,,05 Lindsay McKenna,
2024-06-23 00:07:57,18,1,1,1,0.8115942,0.5982845,04 Raha Mozaffari,2,04 Raha Mozaffari,15 Layne Dodge,66 Jess Brand,,,
2024-06-23 00:09:27,19,1,0,0,0.28180355,0.39313796,04 Raha Mozaffari,8,,,,18 Sumi Onoe,,
2024-06-23 00:11:23,19,2,0,0,0.4380032,0.68334526,20 Danielle Walsh,2,,,,11 Sara Liang,,
