Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-26 02:04:45,2,77 Kerry Younts,1,0,0,0,0.1362379,0.9130301
2024-06-26 02:12:14,3,27 Jocelyn Jessop,0,0,0,0,0.5387275,0.50061464
2024-06-26 02:47:04,7,73 Clara Stewart,0,0,0,0,0.8430152,0.45881993
2024-06-26 03:13:08,12,73 Clara Stewart,0,0,0,0,0.8499308,0.5915796
2024-06-26 03:19:00,12,77 Kerry Younts,1,0,0,0,0.71161824,0.83681625
2024-06-26 03:21:30,13,17 Olympia Walker,0,0,0,0,0.77662516,0.43300554
2024-06-26 03:23:50,13,08 Mandy Radike,0,0,0,0,0.24273859,0.53196067
2024-06-26 04:07:23,18,10 Gaby Cuina,1,0,0,0,0.17634855,0.86201596
2024-06-26 04:10:19,18,42 Meg Duffy,0,0,0,0,0.22614108,0.38567916
2024-06-26 04:18:40,21,22 Sydney Loughran,0,0,0,0,0.9896265,0.37707436
2024-06-26 04:24:50,21,22 Sydney Loughran,0,0,0,0,0.114107884,0.5682237
2024-06-26 04:32:17,23,22 Sydney Loughran,0,0,0,0,0.038035963,0.70221263
2024-06-26 04:38:13,27,16 Kinsey Neas,0,0,0,0,0.3008299,0.3365089
2024-06-26 04:38:50,27,25 Jasmine Anand,1,0,0,0,0.9121715,0.8429625
2024-06-26 04:53:28,31,22 Sydney Loughran,0,0,0,0,0.81811893,0.5829748
