Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
6/26/2024 2:00,1,1,09 Summer Wilson,02 Elise Bjork,0,0,0,0,0,0,0,0,0,0,0,16.263424,7.620932,14.367335,0.7904564,0.7292563,0.49585062,0.65980333
6/26/2024 2:01,1,1,02 Elise Bjork,69 Jaime Estes,0,0,0,0,0,0,0,1,0,0,0,16.094135,6.5418677,14.704597,0.49585062,0.65980333,0.19432919,0.6001844
6/26/2024 2:01,1,1,69 Jaime Estes,02 Elise Bjork,0,0,0,0,0,0,0,1,0,0,0,15.285612,-1.8209302,-15.176764,0.19432919,0.6001844,0.5055325,0.6167793
6/26/2024 2:01,1,1,02 Elise Bjork,27 Jocelyn Jessop,0,0,0,0,0,0,0,0,0,0,0,20.555855,14.6348915,14.434788,0.5055325,0.6167793,0.20954357,0.48340505
6/26/2024 2:01,1,1,27 Jocelyn Jessop,31 Nikki Gilbert,0,0,0,0,0,0,0,1,0,0,0,16.715767,7.8232627,-14.772049,0.20954357,0.48340505,0.51244813,0.41210818
6/26/2024 2:01,1,1,31 Nikki Gilbert,02 Elise Bjork,0,0,0,0,0,0,0,0,1,0,0,6.3398995,-6.3395405,-0.06745228,0.51244813,0.41210818,0.51383126,0.46988323
6/26/2024 2:01,1,1,02 Elise Bjork,09 Summer Wilson,0,0,0,0,0,0,0,0,0,0,0,14.371292,0.33721125,-14.367335,0.51383126,0.46988323,0.80843705,0.46681008
6/26/2024 2:01,1,1,09 Summer Wilson,73 Clara Stewart,0,0,0,0,0,0,0,0,0,0,1,7.2100215,2.3604655,-6.8126802,0.80843705,0.46681008,0.94813275,0.4452981
6/26/2024 2:02,1,1,73 Clara Stewart,09 Summer Wilson,0,0,0,0,0,1,0,0,0,1,1,18.227299,18.209318,0.8094274,0.94813275,0.4452981,0.93153524,0.2793485
6/26/2024 2:02,1,1,09 Summer Wilson,27 Jocelyn Jessop,0,0,0,1,1,0,0,0,0,1,1,14.64049,14.634895,-0.4047137,0.93153524,0.2793485,0.939834,0.14597419
6/26/2024 2:05,2,1,08 Mandy Radike,07 Shiru Liu,0,0,0,0,0,0,0,0,0,0,0,14.373033,-0.4046548,-14.367335,0.20401107,0.8325138,0.49861687,0.8362016
6/26/2024 2:06,2,1,07 Shiru Liu,15 Elise Franke,0,0,0,0,0,0,0,0,0,0,0,22.39421,17.400013,14.097527,0.49861687,0.8362016,0.20954357,0.67762756
6/26/2024 2:06,2,1,15 Elise Franke,07 Shiru Liu,0,0,0,0,0,0,0,0,1,0,0,5.675145,-5.665115,-0.3372614,0.20954357,0.67762756,0.2164592,0.7292563
6/26/2024 2:06,2,1,07 Shiru Liu,42 Meg Duffy,0,0,0,0,0,0,0,0,0,0,1,9.629024,6.137213,7.4197507,0.2164592,0.7292563,0.06431536,0.6733251
6/26/2024 2:06,2,1,42 Meg Duffy,08 Mandy Radike,1,1,0,0,0,0,0,0,0,1,0,9.473739,7.216284,-6.1381574,0.06431536,0.6733251,0.19017981,0.6075599
6/26/2024 2:11,3,1,02 Elise Bjork,73 Clara Stewart,0,0,0,0,0,0,0,0,0,0,1,17.081047,16.65815,-3.7773278,0.84163207,0.5872772,0.9190871,0.43546405
6/26/2024 2:11,3,1,73 Clara Stewart,69 Jaime Estes,1,1,0,1,0,0,0,0,0,1,1,38.443592,38.30701,3.2377095,0.9190871,0.43546405,0.8526971,0.086355254
6/26/2024 2:12,3,2,27 Jocelyn Jessop,31 Nikki Gilbert,0,0,0,0,0,0,0,0,0,0,0,6.5037374,4.2488427,-4.9240165,0.5387275,0.50061464,0.6396957,0.46189305
6/26/2024 2:13,3,2,31 Nikki Gilbert,69 Jaime Estes,0,0,0,0,0,0,0,0,0,0,1,11.271693,2.7651172,-10.927269,0.6396957,0.46189305,0.8637621,0.4366933
6/26/2024 2:13,3,2,69 Jaime Estes,27 Jocelyn Jessop,0,0,0,0,0,0,0,0,0,1,1,10.724115,10.723267,-0.13490456,0.8637621,0.4366933,0.86652833,0.3389674
6/26/2024 2:13,3,2,27 Jocelyn Jessop,31 Nikki Gilbert,0,0,0,0,0,0,0,0,0,1,0,5.3712387,0.6744192,5.32873,0.86652833,0.3389674,0.7572614,0.33282113
6/26/2024 2:13,3,2,31 Nikki Gilbert,02 Elise Bjork,0,0,0,0,0,0,0,0,0,0,0,9.797983,9.509309,-2.3608298,0.7572614,0.33282113,0.8056708,0.24615857
6/26/2024 2:13,3,2,02 Elise Bjork,,0,0,0,0,0,0,0,0,1,0,0,10.298856,-5.0581455,8.971153,0.8056708,0.24615857,0.62171507,0.2922557
6/26/2024 2:14,3,2,,69 Jaime Estes,0,0,0,0,0,0,0,0,0,0,0,23.031126,12.476755,19.358805,0.62171507,0.2922557,0.22475795,0.17854948
6/26/2024 2:14,3,2,69 Jaime Estes,73 Clara Stewart,0,0,0,0,0,0,0,0,1,0,0,6.174289,-5.7325616,-2.2933784,0.22475795,0.17854948,0.27178425,0.23079287
6/26/2024 2:14,3,2,73 Clara Stewart,44 Anastasia Foster,0,0,0,0,0,0,0,1,0,0,0,16.728708,0.13488384,-16.728165,0.27178425,0.23079287,0.61479944,0.22956361
6/26/2024 2:15,3,2,44 Anastasia Foster,73 Clara Stewart,0,0,0,0,0,1,0,0,0,0,0,6.664487,5.395352,-3.9122322,0.61479944,0.22956361,0.69502074,0.18039337
6/26/2024 2:15,3,2,73 Clara Stewart,44 Anastasia Foster,0,0,0,1,1,0,0,0,0,0,0,17.182379,17.062805,2.0235684,0.69502074,0.18039337,0.65352696,0.02489244
6/26/2024 2:23,5,1,09 Summer Wilson,73 Clara Stewart,0,0,0,0,0,0,0,0,0,1,0,13.5797615,3.1023252,13.220647,0.86652833,0.7034419,0.5954357,0.67516905
6/26/2024 2:23,5,1,73 Clara Stewart,69 Jaime Estes,0,0,0,0,0,0,0,0,0,0,0,18.810497,12.679081,13.89517,0.5954357,0.67516905,0.31051177,0.55961895
6/26/2024 2:23,5,1,69 Jaime Estes,31 Nikki Gilbert,1,1,0,0,0,0,0,0,0,0,0,14.573076,14.567455,-0.4047137,0.31051177,0.55961895,0.31881052,0.42685926
6/26/2024 2:36,6,1,12 Annie Ortiz,81 Mckenzie Bailey,0,0,0,0,0,0,0,0,0,0,0,13.895311,10.993038,8.498987,0.67980635,0.8269822,0.5055325,0.72679776
