Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
31 Nikki Gilbert,12,"1,3,5,8,13,16,17,20,24,26,28,30",11,1,5,1,8,6,8,8,0,0,0,0,0,0,0,0,0,0,78.45,-9.17,11.21,-1.31,91.75,66.97,11.47,8.37
81 Mckenzie Bailey,11,"4,6,9,12,13,14,15,19,21,23,27,31",7,4,3,1,9,6,9,7,2,1,0,0,2,2,0,0,0,0,104.23,37.23,14.89,5.32,107.43,47.82,15.35,6.83
77 Kerry Younts,11,"2,6,7,10,11,12,15,21,22,25,29",5,6,2,0,1,1,1,0,1,0,0,0,1,0,1,2,0,0,24.36,3.71,24.36,3.71,0,0,0,0
27 Jocelyn Jessop,11,"1,3,5,8,16,17,20,24,26,28,30",11,0,5,0,10,6,9,9,1,0,2,1,1,1,0,1,0,0,117.79,56.72,14.72,7.09,131.88,85.18,14.65,9.46
69 Jaime Estes,11,"1,3,5,8,16,17,20,24,26,28,30",11,0,5,0,16,10,16,16,0,1,0,0,3,3,0,0,0,0,143.93,-11.73,11.07,-0.9,293.26,195.92,18.33,12.24
02 Elise Bjork,11,"1,3,5,8,16,17,20,24,26,28,30",11,0,5,0,17,10,16,14,3,0,0,1,2,1,1,0,0,0,192.33,57.87,12.82,3.86,170.99,59.96,12.21,4.28
12 Annie Ortiz,10,"4,6,9,12,13,14,19,21,23,27,31",6,4,3,1,12,6,12,7,5,0,0,0,1,1,0,0,0,0,138.93,76.21,13.89,7.62,129.46,13.69,18.49,1.96
22 Sydney Loughran,10,"4,6,9,12,13,14,19,21,23,27,31",6,4,3,1,8,7,7,7,1,0,0,1,2,1,1,4,0,0,104.59,41.48,17.43,6.91,109.91,72.43,15.7,10.35
44 Anastasia Foster,11,"1,3,5,8,16,17,20,24,26,28,30",11,0,5,0,4,3,1,4,0,0,1,3,0,0,0,0,0,0,6.66,5.4,6.66,5.4,84.69,60.9,21.17,15.23
09 Summer Wilson,11,"1,3,5,8,16,17,20,24,26,28,30",11,0,5,0,24,12,24,13,11,3,0,0,4,4,0,0,0,0,290.26,188.3,14.51,9.41,237.05,111.68,18.23,8.59
26 Amy Broome,10,"4,6,9,12,13,14,19,21,23,27,31",6,4,3,1,17,8,17,13,4,2,0,0,6,6,0,0,0,0,185.57,121.6,18.56,12.16,167.8,70.14,12.91,5.4
73 Clara Stewart,11,"1,3,5,8,16,17,20,24,26,28,30",11,0,5,0,27,12,27,21,6,1,2,0,5,5,0,2,0,0,419.57,271.59,19.07,12.34,243.3,1.55,11.59,0.07
19 Vanessa Bacorn,10,"2,7,10,11,15,18,21,22,25,29",4,6,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.57,6.34,12.57,6.34,20.52,16.59,20.52,16.59
10 Gaby Cuina,9,"4,6,9,12,13,14,19,23,27,31",5,4,2,1,7,5,5,6,1,0,1,2,1,1,0,1,0,0,31.69,1.15,7.92,0.29,90.44,66.09,15.07,11.02
88 Maddy Easton,9,"4,6,9,12,13,14,19,23,27,31",5,4,2,1,5,4,5,5,0,0,1,0,1,0,1,0,0,0,48.87,18.01,12.22,4.5,85.15,50.99,17.03,10.2
16 Kinsey Neas,9,"2,7,10,11,15,18,22,25,29",3,6,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,19.57,16.19,9.78,8.09,21.66,6.74,10.83,3.37
07 Shiru Liu,9,"2,7,10,11,15,18,22,25,29",3,6,1,0,12,5,12,7,5,0,1,0,5,4,1,0,0,0,100.79,44.58,12.6,5.57,72.32,3.37,10.33,0.48
15 Elise Franke,9,"2,7,9,11,15,18,22,25,29",4,5,2,0,4,2,3,4,0,0,0,1,0,0,0,0,0,0,26.68,9.51,8.89,3.17,65.66,47.95,16.42,11.99
17 Olympia Walker,7,"4,10,14,18,21,23,27,31",4,3,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,5.78,5.73,5.78,5.73,0,0,0,0
08 Mandy Radike,8,"2,7,10,11,18,22,25,29",2,6,1,0,6,4,6,4,2,1,1,0,1,1,0,1,0,0,74.25,28.6,18.56,7.15,42.16,7.42,10.54,1.85
42 Meg Duffy,6,"2,10,11,15,18,25",2,4,1,0,4,2,4,3,1,0,0,0,1,1,0,1,0,0,33.49,2.7,11.16,0.9,23.95,13.22,7.98,4.41
25 Jasmine Anand,4,"7,19,22,29",1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,16.28,9.1,16.28,9.1,0,0,0,0
