Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
6/26/2024 0:14,1,0,0,1,1,1,10,0,0,0,0,0,73 Clara Stewart,09 Summer Wilson,27 Jocelyn Jessop
6/26/2024 2:02,2,1,0,0,0,1,5,1,1,0,1,0,,,
6/26/2024 2:07,3,1,1,1,1,2,13,1,1,0,1,0,44 Anastasia Foster,73 Clara Stewart,44 Anastasia Foster
6/26/2024 2:15,4,2,1,0,0,0,0,0,0,0,0,0,,,
6/26/2024 2:22,5,2,2,1,0,1,3,1,1,0,0,0,,,
6/26/2024 2:24,6,2,3,1,0,1,7,1,1,0,0,0,,,
6/26/2024 2:45,7,2,4,1,0,2,6,2,2,0,1,0,,,
6/26/2024 2:48,8,2,5,1,0,1,2,1,1,0,0,0,,,
6/26/2024 2:52,9,2,6,1,1,1,4,0,0,0,0,0,88 Maddy Easton,81 Mckenzie Bailey,10 Gaby Cuina
6/26/2024 3:02,10,3,6,0,0,0,0,0,0,0,0,0,,,
6/26/2024 3:06,11,3,7,0,0,0,0,0,0,0,0,0,,,
6/26/2024 3:08,12,3,8,1,1,4,20,3,2,1,2,1,10 Gaby Cuina,26 Amy Broome,10 Gaby Cuina
6/26/2024 3:20,13,4,8,0,1,3,6,2,2,0,2,1,08 Mandy Radike,26 Amy Broome,22 Sydney Loughran
6/26/2024 3:29,14,5,8,0,0,0,0,0,0,0,0,0,,,
6/26/2024 3:32,15,5,9,1,0,1,11,1,1,0,0,0,,,
6/26/2024 3:36,16,5,10,1,0,1,14,1,1,0,0,0,,,
6/26/2024 3:39,17,5,11,1,0,3,9,3,3,0,0,2,,,
6/26/2024 3:49,18,5,12,1,1,5,18,4,4,0,2,2,07 Shiru Liu,08 Mandy Radike,15 Elise Franke
6/26/2024 4:11,19,6,12,0,0,0,0,0,0,0,0,0,,,
6/26/2024 4:13,20,6,13,1,0,1,1,1,1,0,0,0,,,
6/26/2024 4:24,22,7,14,0,0,0,0,0,0,0,0,0,,,
6/26/2024 4:27,23,7,15,1,0,2,4,2,1,1,1,0,,,
6/26/2024 4:32,24,7,16,1,1,1,5,0,0,0,0,0,27 Jocelyn Jessop,09 Summer Wilson,44 Anastasia Foster
6/26/2024 4:33,25,8,16,0,0,0,0,0,0,0,0,0,,,
6/26/2024 4:35,26,8,17,1,0,1,3,1,1,0,0,0,,,
6/26/2024 4:36,27,8,18,1,0,4,13,4,3,1,2,1,,,
6/26/2024 4:47,28,8,19,1,1,1,6,0,0,0,0,0,73 Clara Stewart,69 Jaime Estes,02 Elise Bjork
6/26/2024 4:49,29,9,19,0,0,1,1,1,1,0,0,1,,,
6/26/2024 4:50,30,9,20,1,1,2,10,1,1,0,0,1,27 Jocelyn Jessop,09 Summer Wilson,44 Anastasia Foster
6/26/2024 4:52,31,10,20,0,0,2,5,2,2,0,1,1,,,
