Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
6/26/2024 2:00,1,1,1,1,0.7904564,0.7292563,09 Summer Wilson,10,73 Clara Stewart,09 Summer Wilson,27 Jocelyn Jessop,,,
6/26/2024 2:05,2,1,0,0,0.20401107,0.8325138,08 Mandy Radike,5,,,,42 Meg Duffy,,
6/26/2024 2:11,3,1,1,0,0.84163207,0.5872772,02 Elise Bjork,2,,,,73 Clara Stewart,,
6/26/2024 2:12,3,2,1,1,0.5387275,0.50061464,27 Jocelyn Jessop,11,44 Anastasia Foster,73 Clara Stewart,44 Anastasia Foster,,,
6/26/2024 2:23,5,1,1,0,0.86652833,0.7034419,09 Summer Wilson,3,,,,69 Jaime Estes,,
6/26/2024 2:35,6,1,1,0,0.67980635,0.8269822,12 Annie Ortiz,7,,,,26 Amy Broome,,
6/26/2024 2:46,7,1,1,0,0.7130014,0.46681008,02 Elise Bjork,4,,,,73 Clara Stewart,,
6/26/2024 2:47,7,2,1,0,0.8443983,0.44161034,73 Clara Stewart,2,,,,69 Jaime Estes,,
6/26/2024 2:51,8,1,1,0,0.43222684,0.8663184,09 Summer Wilson,2,,,,02 Elise Bjork,,
6/26/2024 3:01,9,1,1,1,0.77524203,0.48647818,81 Mckenzie Bailey,4,88 Maddy Easton,81 Mckenzie Bailey,10 Gaby Cuina,,,
6/26/2024 3:11,12,1,1,0,0.29806364,0.74154884,09 Summer Wilson,3,,,,69 Jaime Estes,,
6/26/2024 3:12,12,2,1,0,0.2856155,0.65611553,73 Clara Stewart,3,,,,,02 Elise Bjork,
6/26/2024 3:13,12,3,1,0,0.8692946,0.5915796,73 Clara Stewart,5,,,,81 Mckenzie Bailey,,
6/26/2024 3:19,12,4,1,1,0.71161824,0.83681625,77 Kerry Younts,9,10 Gaby Cuina,26 Amy Broome,10 Gaby Cuina,,,
6/26/2024 3:22,13,1,0,0,0.79875517,0.44161034,17 Olympia Walker,3,,,,07 Shiru Liu,,
6/26/2024 3:22,13,2,0,0,0.8983402,0.45082974,07 Shiru Liu,1,,,,07 Shiru Liu,,
6/26/2024 3:24,13,3,0,1,0.5096819,0.5786724,08 Mandy Radike,2,08 Mandy Radike,26 Amy Broome,22 Sydney Loughran,,,
6/26/2024 3:32,15,1,1,0,0.89972335,0.5940381,09 Summer Wilson,11,,,,73 Clara Stewart,,
6/26/2024 3:36,16,1,1,0,0.3340249,0.78272897,09 Summer Wilson,14,,,,73 Clara Stewart,,
6/26/2024 3:45,17,1,1,0,0.047717843,0.91979104,09 Summer Wilson,1,,,,09 Summer Wilson,,
6/26/2024 3:46,17,2,1,0,0.014522822,0.8325138,73 Clara Stewart,7,,,,09 Summer Wilson,,
6/26/2024 3:48,17,3,1,0,0.024204703,0.7550707,73 Clara Stewart,1,,,,73 Clara Stewart,,
