Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-26 20:26:56,2,31 Eli Presberg,0,0,0,0,0.8429629,0.33794466
2024-06-26 20:31:53,5,44 Kayla Seeger,0,0,0,0,0.69037044,0.60474306
2024-06-26 20:35:01,6,20 Yina Cartagena,0,0,0,0,0.9274074,0.5013175
2024-06-26 20:36:41,7,18 Kylie Sterling,0,0,0,0,0.2888889,0.66007906
2024-06-26 20:49:00,12,31 Eli Presberg,0,0,0,0,0.52148145,0.37417653
2024-06-26 20:55:26,13,20 Yina Cartagena,1,0,0,0,0.17481486,0.88142294
2024-06-26 21:01:08,15,09 Cassandra Brown,0,0,0,0,0.5555556,0.62450594
2024-06-26 21:05:49,16,21 Montana Roberts,0,0,0,0,0.72740734,0.5836627
2024-06-26 21:14:00,17,08 Manuela Cardenas,0,0,0,0,0.72,0.7233202
2024-06-26 21:16:30,18,33 Valeria Cardenas,0,0,0,0,0.43703708,0.38669303
2024-06-26 21:19:43,18,08 Manuela Cardenas,0,0,0,0,0.3540741,0.65546775
2024-06-26 21:24:25,20,09 Cassandra Brown,0,0,0,0,0.70370376,0.4367589
2024-06-26 21:27:02,21,33 Valeria Cardenas,1,0,0,0,0.6148148,0.8761528
2024-06-26 21:31:36,23,19 Eastelle Ding,0,0,0,0,0.45333335,0.5217391
2024-06-26 21:38:29,26,18 Kylie Sterling,0,0,0,0,0.8755556,0.3682477
2024-06-26 21:39:36,27,09 Cassandra Brown,0,0,0,0,0.362963,0.7971015
2024-06-26 21:44:06,27,08 Manuela Cardenas,1,0,0,0,0.10962965,0.86166006
2024-06-26 21:47:44,29,00 Genny De Jesus,0,0,0,0,0.16296299,0.6772069
2024-06-26 21:49:22,30,65 Anna Lieberman,1,0,0,0,0.44740736,0.85704875
2024-06-26 21:51:26,31,24 Jolie Krebs,0,0,0,0,0.50222224,0.61067194
2024-06-26 21:52:33,31,20 Yina Cartagena,0,0,0,0,0.1940741,0.70092225
