Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-06-26 20:26:12,2,1,33 Valeria Cardenas,02 Jolene Zheng,0,0,0,0,0,0,0,0,0,1,1,34.263203,34.262897,0.14449409,0.97629625,0.6350461,0.97333336,0.32279313
2024-06-26 20:26:22,2,1,02 Jolene Zheng,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,1,1,7.3730254,7.3730254,0.0,0.97333336,0.32279313,0.97333336,0.25559947
2024-06-26 20:26:27,2,1,33 Valeria Cardenas,24 Jolie Krebs,1,1,0,1,0,0,0,0,0,1,1,19.771877,19.733692,1.2282332,0.97333336,0.25559947,0.94814813,0.07575756
2024-06-26 20:27:07,2,2,20 Yina Cartagena,66 Janine Hlavaty,0,0,0,0,0,1,0,0,0,1,1,12.868131,12.505234,-3.0344543,0.8622222,0.3201581,0.92444444,0.20619234
2024-06-26 20:27:10,2,2,66 Janine Hlavaty,33 Valeria Cardenas,0,0,0,1,1,0,0,0,0,1,1,15.83296,15.830322,0.2889969,0.92444444,0.20619234,0.9185185,0.061923575
2024-06-26 20:28:39,3,1,33 Valeria Cardenas,08 Manuela Cardenas,0,0,0,0,0,0,0,0,0,1,1,18.367249,18.360285,0.5057442,0.13037041,0.86890644,0.12,0.701581
2024-06-26 20:28:46,3,1,08 Manuela Cardenas,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,1,1,8.241427,7.951302,2.1674666,0.12,0.701581,0.075555556,0.62911725
2024-06-26 20:28:57,3,1,33 Valeria Cardenas,08 Manuela Cardenas,1,1,0,0,0,0,0,0,0,1,0,39.022476,28.696978,-26.443092,0.075555556,0.62911725,0.61777776,0.36758894
2024-06-26 20:30:02,4,1,20 Yina Cartagena,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,8.789253,6.216475,-6.2134056,0.49037033,0.58761525,0.61777776,0.53096175
2024-06-26 20:30:06,4,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,5.838769,5.638195,1.5172272,0.61777776,0.53096175,0.58666664,0.47957838
2024-06-26 20:30:19,4,1,20 Yina Cartagena,24 Jolie Krebs,0,0,0,0,0,0,0,1,0,0,1,17.127932,2.746811,-16.906242,0.58666664,0.47957838,0.93333334,0.45454547
2024-06-26 20:30:20,4,1,24 Jolie Krebs,02 Jolene Zheng,0,0,0,0,0,0,0,0,0,1,1,15.280943,15.25205,0.9392392,0.93333334,0.45454547,0.914074,0.31554675
2024-06-26 20:30:38,4,1,02 Jolene Zheng,00 Genny De Jesus,0,0,0,0,0,0,0,0,1,1,1,14.615674,-14.312347,2.9622002,0.914074,0.31554675,0.85333335,0.44598153
