Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Valeria Cardenas,20,"2,3,4,6,7,8,9,10,11,12,14,15,19,20,21,22,25,27,29,30,31",9,11,9,7,51,20,49,33,18,3,3,2,6,6,0,2,0,0,688.95,317.40,16.02,7.38,356.28,141.03,10.80,4.27
08 Manuela Cardenas,19,"1,3,5,6,8,9,12,13,15,16,17,20,21,23,24,26,27,28,30",1,18,0,11,30,13,26,25,5,1,4,4,2,2,0,3,0,0,379.21,179.41,15.80,7.48,447.82,243.17,17.91,9.73
20 Yina Cartagena,15,"2,4,6,7,10,11,12,14,15,19,22,24,25,27,29,31",9,6,9,4,43,15,42,36,7,3,4,1,3,3,0,3,0,0,620.45,377.25,16.33,9.93,480.06,59.56,13.34,1.65
09 Cassandra Brown,15,"1,3,5,9,13,15,16,17,18,20,21,23,26,28,30",1,14,0,8,25,11,25,13,12,4,1,0,2,2,0,3,0,0,407.74,266.30,17.73,11.58,191.12,29.56,14.70,2.27
31 Eli Presberg,14,"2,4,7,8,10,11,14,15,19,21,22,24,25,29,31",9,5,9,4,20,8,19,16,4,0,1,1,4,3,1,2,0,0,173.74,59.42,11.58,3.96,236.05,83.05,14.75,5.19
00 Genny De Jesus,13,"2,4,7,8,10,11,14,15,19,22,25,27,29,31",9,4,9,4,5,5,4,5,0,0,0,1,1,0,1,1,0,0,54.42,-30.43,13.61,-7.61,83.05,13.52,16.61,2.70
24 Jolie Krebs,12,"2,4,7,10,11,14,15,16,19,22,25,29,31",9,3,9,3,21,12,18,21,0,3,1,3,1,1,0,1,0,0,258.07,150.50,15.18,8.85,283.12,164.88,13.48,7.85
02 Jolene Zheng,10,"2,4,7,10,11,14,19,22,25,29,31",9,1,9,1,8,6,6,8,0,0,2,2,2,1,1,0,0,0,59.89,13.16,11.98,2.63,176.26,137.99,22.03,17.25
66 Janine Hlavaty,10,"2,4,7,10,11,14,19,22,25,29,31",9,1,9,1,10,10,8,10,0,4,1,2,0,0,0,0,0,0,117.74,74.67,16.82,10.67,219.31,196.54,21.93,19.65
62 Casey Banta-Ryan,10,"5,6,12,13,17,18,23,24,27,28",1,9,0,5,7,5,7,7,0,1,2,0,0,0,0,0,0,0,88.05,64.41,12.58,9.20,170.45,113.05,24.35,16.15
11 Emma Berrigan,10,"5,6,8,12,13,17,23,24,27,28",1,9,0,6,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,12.62,7.73,12.62,7.73
26 Mariabelen Restrepo,9,"1,5,13,17,18,20,23,26,28",1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21 Montana Roberts,9,"3,6,8,9,12,16,21,24,30",0,9,0,4,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05 Emily Wang,8,"1,3,9,16,18,20,26,30",0,8,0,3,6,5,6,6,0,0,0,0,1,1,0,0,0,0,63.76,-9.54,12.75,-1.91,96.67,41.06,16.11,6.84
19 Eastelle Ding,8,"1,5,13,17,18,23,26,28",1,7,0,4,7,4,6,7,0,0,0,1,2,2,0,1,0,0,45.23,-6.79,11.31,-1.70,110.56,60.43,15.79,8.63
88 Nikki Hair,8,"1,6,8,12,18,24,26,27",0,8,0,4,3,3,1,3,0,0,0,2,0,0,0,0,0,0,13.73,4.41,13.73,4.41,97.81,88.33,32.60,29.44
97 Hannah Glick,6,"3,9,16,20,21,30",0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65 Anna Lieberman,6,"3,9,16,20,21,30",0,6,0,3,2,2,2,2,0,0,0,0,0,0,0,1,0,0,29.66,-20.89,14.83,-10.45,19.49,16.77,9.75,8.39
44 Kayla Seeger,5,"5,13,17,23,28",1,4,0,3,3,2,3,3,0,1,0,0,1,1,0,1,0,0,32.88,7.81,16.44,3.90,45.77,34.70,15.26,11.57
18 Kylie Sterling,3,"1,18,26",0,3,0,1,2,2,2,2,0,0,0,0,1,1,0,2,0,0,17.77,-8.10,17.77,-8.10,24.87,7.59,12.44,3.79
