Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-06-26 20:23:28,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-06-26 20:25:06,2,0,1,1,1,2,5,1,1,0,1,0,20 Yina Cartagena,66 Janine Hlavaty,33 Valeria Cardenas
2024-06-26 20:27:12,3,1,1,0,0,1,3,1,1,0,0,1,,,
2024-06-26 20:29:30,4,1,2,1,1,1,8,0,0,0,0,0,20 Yina Cartagena,66 Janine Hlavaty,02 Jolene Zheng
2024-06-26 20:30:57,5,2,2,0,1,1,9,0,0,0,1,0,08 Manuela Cardenas,09 Cassandra Brown,08 Manuela Cardenas
2024-06-26 20:34:09,6,3,2,0,1,1,6,0,0,0,1,0,08 Manuela Cardenas,20 Yina Cartagena,88 Nikki Hair
2024-06-26 20:35:31,7,4,2,0,1,2,14,1,1,0,1,1,66 Janine Hlavaty,20 Yina Cartagena,31 Eli Presberg
2024-06-26 20:40:26,8,5,2,0,1,1,2,0,0,0,0,1,,,
2024-06-26 20:41:43,9,6,2,0,0,0,0,0,0,0,0,0,,,
2024-06-26 20:42:45,10,6,3,1,1,1,10,0,0,0,0,0,02 Jolene Zheng,66 Janine Hlavaty,24 Jolie Krebs
2024-06-26 20:45:06,11,7,3,1,1,1,12,0,0,0,0,0,20 Yina Cartagena,33 Valeria Cardenas,24 Jolie Krebs
2024-06-26 20:47:26,12,8,3,0,0,3,12,3,3,1,1,2,,,
2024-06-26 20:53:32,13,8,4,1,0,3,12,3,2,1,1,1,,,
2024-06-26 20:58:08,14,8,5,1,1,1,2,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,24 Jolie Krebs
2024-06-26 20:58:55,15,9,5,0,1,1,10,0,0,0,1,0,08 Manuela Cardenas,33 Valeria Cardenas,20 Yina Cartagena
2024-06-26 21:03:39,16,10,5,0,1,1,5,0,0,0,1,0,09 Cassandra Brown,24 Jolie Krebs,08 Manuela Cardenas
2024-06-26 21:07:17,17,11,5,0,1,3,12,2,2,0,1,2,62 Casey Banta-Ryan,44 Kayla Seeger,19 Eastelle Ding
2024-06-26 21:14:26,18,12,5,0,0,4,14,4,4,0,2,2,,,
2024-06-26 21:21:41,19,12,6,1,1,1,4,0,0,0,0,0,02 Jolene Zheng,24 Jolie Krebs,33 Valeria Cardenas
2024-06-26 21:23:08,20,13,6,0,1,1,6,0,0,0,1,0,33 Valeria Cardenas,09 Cassandra Brown,08 Manuela Cardenas
2024-06-26 21:24:52,21,14,6,0,0,3,10,3,3,0,2,2,,,
2024-06-26 21:29:49,22,15,6,1,1,1,2,0,0,0,0,0,31 Eli Presberg,24 Jolie Krebs,66 Janine Hlavaty
2024-06-26 21:30:49,23,16,6,0,1,2,9,1,1,0,1,1,62 Casey Banta-Ryan,09 Cassandra Brown,08 Manuela Cardenas
2024-06-26 21:34:19,24,17,6,0,0,0,0,0,0,0,0,0,,,
2024-06-26 21:35:45,25,17,7,1,1,1,20,0,0,0,0,0,24 Jolie Krebs,33 Valeria Cardenas,66 Janine Hlavaty
2024-06-26 21:37:50,26,18,7,0,1,1,1,0,0,0,1,0,,09 Cassandra Brown,88 Nikki Hair
2024-06-26 21:38:43,27,19,7,0,1,4,9,3,3,0,2,2,08 Manuela Cardenas,62 Casey Banta-Ryan,11 Emma Berrigan
2024-06-26 21:44:47,28,20,7,0,0,0,0,0,0,0,0,0,,,
2024-06-26 21:46:26,29,20,8,1,1,2,12,1,0,1,1,0,20 Yina Cartagena,66 Janine Hlavaty,02 Jolene Zheng
2024-06-26 21:48:27,30,21,8,0,0,1,1,1,1,1,1,0,,,
2024-06-26 21:50:28,31,21,9,1,0,2,14,2,1,1,2,0,,,
