Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-06-26 20:26:09,2,1,1,0,0.97629625,0.6350461,33 Valeria Cardenas,3,,,,33 Valeria Cardenas,,
2024-06-26 20:27:00,2,2,1,1,0.8622222,0.3201581,20 Yina Cartagena,2,20 Yina Cartagena,66 Janine Hlavaty,33 Valeria Cardenas,,,
2024-06-26 20:28:33,3,1,0,0,0.13037041,0.86890644,33 Valeria Cardenas,3,,,,33 Valeria Cardenas,,
2024-06-26 20:29:58,4,1,1,1,0.49037033,0.58761525,20 Yina Cartagena,8,20 Yina Cartagena,66 Janine Hlavaty,02 Jolene Zheng,,,
2024-06-26 20:31:58,5,1,0,1,0.72,0.6363636,09 Cassandra Brown,9,08 Manuela Cardenas,09 Cassandra Brown,08 Manuela Cardenas,,,
2024-06-26 20:35:04,6,1,0,1,0.91555554,0.5131752,20 Yina Cartagena,6,08 Manuela Cardenas,20 Yina Cartagena,88 Nikki Hair,,,
2024-06-26 20:36:55,7,1,0,0,0.01629632,0.657444,09 Cassandra Brown,6,,,,19 Eastelle Ding,,
2024-06-26 20:39:00,7,2,0,1,0.10666667,0.85441375,20 Yina Cartagena,8,66 Janine Hlavaty,20 Yina Cartagena,31 Eli Presberg,,,
2024-06-26 20:41:31,8,1,0,1,0.060740694,0.3181818,33 Valeria Cardenas,2,33 Valeria Cardenas,08 Manuela Cardenas,00 Genny De Jesus,,,
2024-06-26 20:43:00,10,1,1,1,0.98074067,0.5408432,33 Valeria Cardenas,10,02 Jolene Zheng,66 Janine Hlavaty,24 Jolie Krebs,,,
2024-06-26 20:45:54,11,1,1,1,0.5422222,0.7509881,33 Valeria Cardenas,12,20 Yina Cartagena,33 Valeria Cardenas,24 Jolie Krebs,,,
