match,week,team,opponent,Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:21:49,1,1,0,0,0.2634855,0.83558697,31 María Vargas,1,NA,NA,NA,31 María Vargas,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:22:24,1,2,0,0,0.16113417,0.7556853,18 Naomi Anderson,4,NA,NA,NA,18 Naomi Anderson,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:30:45,2,1,1,0,0.060165975,0.70221263,29 Charlotte Doran,13,NA,NA,NA,03 Alex Krueger,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:34:13,3,1,1,1,0.99654216,0.6573448,18 Naomi Anderson,12,55 Trystan Grzyll,26 Morgan Lally,18 Naomi Anderson,NA,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:40:19,4,1,0,0,0.25242049,0.5104487,10 Mia Griner,3,NA,NA,NA,NA,44 Jordan Harn,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:41:03,4,2,0,0,0.984094,0.6745544,31 María Vargas,2,NA,NA,NA,27 Therese Doebler,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:42:17,4,3,0,0,0.5428769,0.8318992,10 Mia Griner,9,NA,NA,NA,12 Emma Jaschke,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:46:53,5,1,1,0,0.51798064,0.74523664,29 Charlotte Doran,5,NA,NA,NA,NA,20 Soju Hokari,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:48:30,5,2,1,0,0.49861687,0.67393976,29 Charlotte Doran,5,NA,NA,NA,03 Alex Krueger,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 01:51:11,5,3,1,1,0.36445367,0.3647818,29 Charlotte Doran,2,29 Charlotte Doran,19 Elle Mayer,45 Jennifer Lin,NA,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 02:00:07,6,1,0,1,0.719917,0.16666667,13 Hannah Abraham,1,NA,13 Hannah Abraham,18 Naomi Anderson,NA,NA,NA
ATL @ ATX,Week 1,original stats,ATLATX,2024-04-10 02:04:45,7,1,1,0,0.20677732,0.74093425,29 Charlotte Doran,11,NA,NA,NA,29 Charlotte Doran,NA,NA
