Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-09 14:53:46,1,1,1,0,0.87897646,0.749539,00 Maggie Rowell,10,,,,02 Elise Bjork,,
2024-04-09 15:00:10,1,2,1,0,0.10857538,0.28856793,07 Shiru Liu,5,,,,02 Elise Bjork,,
2024-04-09 15:02:29,1,3,1,1,0.056016598,0.46803933,69 Jaime Estes,8,00 Maggie Rowell,02 Elise Bjork,69 Jaime Estes,,,
2024-04-09 18:24:57,2,1,0,1,0.026970955,0.8386601,95 Megan Mendieta,21,95 Megan Mendieta,05 Dre Esparza,19 Vanessa Bacorn,,,
2024-04-09 18:51:40,4,1,1,0,0.80843705,0.6893055,07 Shiru Liu,5,,,,00 Maggie Rowell,,
2024-04-09 18:53:55,4,2,1,0,0.45435685,0.5633067,02 Elise Bjork,2,,,,07 Shiru Liu,,
2024-04-09 18:57:32,4,3,1,0,0.08921162,0.75814384,07 Shiru Liu,5,,,,07 Shiru Liu,,
2024-04-09 19:01:19,4,4,1,1,0.66459197,0.3100799,02 Elise Bjork,6,02 Elise Bjork,00 Maggie Rowell,69 Jaime Estes,,,
2024-04-09 19:07:27,5,1,0,0,0.31327802,0.41641057,05 Dre Esparza,5,,,,16 Kinsey Neas,,
2024-04-09 19:10:16,5,2,0,0,0.04218534,0.5786724,12 Annie Ortiz,2,,,,,19 Vanessa Bacorn,
2024-04-09 19:41:55,6,1,1,0,0.6673582,0.7329441,26 Amy Broome,18,,,,88 Maddy Easton,,
2024-04-09 20:00:43,7,1,0,0,0.40594745,0.5547019,95 Megan Mendieta,6,,,,16 Kinsey Neas,,
2024-04-09 20:04:09,7,2,0,0,0.0062240665,0.8380455,05 Dre Esparza,4,,,,,19 Vanessa Bacorn,
2024-04-09 20:09:32,8,1,1,0,0.5,0.6665642,07 Shiru Liu,7,,,,07 Shiru Liu,,
2024-04-09 20:12:45,8,2,1,0,0.69640386,0.6364474,22 Sydney Loughran,3,,,,07 Shiru Liu,,
2024-04-09 20:14:03,8,3,1,1,0.0186722,0.44837123,42 Meg Duffy,12,03 Madi Cannon,26 Amy Broome,31 Nikki Gilbert,,,
2024-04-09 20:27:43,10,1,1,1,0.49723375,0.66472036,02 Elise Bjork,25,42 Meg Duffy,73 Clara Stewart,22 Sydney Loughran,,,
2024-04-09 20:47:17,11,1,0,1,0.48063624,0.8325138,73 Clara Stewart,14,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon,,,
2024-04-09 20:57:02,12,1,0,0,0.48755187,0.8349723,95 Megan Mendieta,9,,,,16 Kinsey Neas,,
2024-04-09 21:09:47,13,1,1,0,0.86237895,0.68869084,07 Shiru Liu,4,,,,42 Meg Duffy,,
2024-04-09 21:12:11,13,2,1,0,0.30774552,0.42194223,69 Jaime Estes,2,,,,00 Maggie Rowell,,
2024-04-09 21:14:52,13,3,1,0,0.5857538,0.64874,02 Elise Bjork,5,,,,42 Meg Duffy,,
2024-04-09 21:40:28,14,1,1,1,0.77524203,0.7378611,26 Amy Broome,11,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon,,,
2024-04-09 21:46:01,15,1,0,0,0.8167358,0.6929932,95 Megan Mendieta,18,,,,05 Dre Esparza,,
2024-04-09 21:52:42,15,2,0,1,0.4515906,0.76060236,31 Nikki Gilbert,6,88 Maddy Easton,31 Nikki Gilbert,88 Maddy Easton,,,
2024-04-09 21:56:00,16,1,0,1,0.5207469,0.47295636,42 Meg Duffy,8,02 Elise Bjork,42 Meg Duffy,22 Sydney Loughran,,,
2024-04-09 21:59:19,17,1,0,1,0.49031812,0.79748005,05 Dre Esparza,39,31 Nikki Gilbert,03 Madi Cannon,31 Nikki Gilbert,,,
2024-04-09 22:14:45,19,1,1,0,0.49031812,0.66472036,07 Shiru Liu,2,,,,69 Jaime Estes,,
2024-04-09 22:16:51,20,1,1,1,0.87344396,0.6985249,26 Amy Broome,5,88 Maddy Easton,73 Clara Stewart,03 Madi Cannon,,,
2024-04-09 22:20:34,21,1,0,1,0.98547715,0.56269205,12 Annie Ortiz,8,12 Annie Ortiz,95 Megan Mendieta,16 Kinsey Neas,,,
2024-04-09 22:25:00,23,1,1,1,0.97441214,0.6628765,26 Amy Broome,4,88 Maddy Easton,69 Jaime Estes,71 Wren Vogel,,,
2024-04-09 22:31:34,25,1,1,1,0.9190871,0.4889367,42 Meg Duffy,2,42 Meg Duffy,69 Jaime Estes,22 Sydney Loughran,,,
2024-04-09 22:34:56,26,1,0,0,0.78769016,0.7089736,26 Amy Broome,4,,,,71 Wren Vogel,,
2024-04-09 22:37:44,26,2,0,1,0.22475795,0.23448063,02 Elise Bjork,1,,02 Elise Bjork,42 Meg Duffy,,,
2024-04-09 22:38:55,27,1,0,0,0.17081605,0.81591886,27 Jocelyn Jessop,6,,,,15 Elise Franke,,
2024-04-09 22:40:51,27,2,0,0,0.21784233,0.8073141,05 Dre Esparza,4,,,,95 Megan Mendieta,,
