Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-06 17:39:18,1,1,36 Carolyn Normile,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,11.630628,3.657603,-11.040536,0.52361107,0.6932099,0.75,0.6598765
2024-04-06 17:39:32,1,1,16 Margaret Walker,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,1,11.666857,8.805334,-7.6538644,0.75,0.6598765,0.9069444,0.5796296
2024-04-06 17:40:09,1,1,37 Claire Trop,16 Margaret Walker,0,0,0,0,0,0,0,0,1,1,0,11.769437,-7.653869,8.940801,0.9069444,0.5796296,0.72361106,0.6493827
2024-04-06 17:41:18,1,1,16 Margaret Walker,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,1,30.844336,9.9567995,29.193066,0.72361106,0.6493827,0.125,0.55864197
2024-04-06 17:41:30,1,1,05 Marie Perivier,08 Kathryn Ritzman,0,0,0,0,0,0,0,1,0,1,0,18.956259,3.8608034,-18.558931,0.125,0.55864197,0.5055555,0.52345675
2024-04-06 17:42:03,1,1,08 Kathryn Ritzman,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,9.346707,3.31893,8.737599,0.5055555,0.52345675,0.32638887,0.49320987
2024-04-06 17:42:10,1,1,16 Margaret Walker,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,13.60159,11.243734,7.653868,0.32638887,0.49320987,0.1694444,0.39074072
2024-04-06 17:42:18,1,1,37 Claire Trop,08 Kathryn Ritzman,0,0,0,0,0,0,0,0,0,0,0,11.606339,11.5824,-0.7450679,0.1694444,0.39074072,0.1847222,0.28518516
2024-04-06 17:42:27,1,1,08 Kathryn Ritzman,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,13.850102,0.9482648,-13.817602,0.1847222,0.28518516,0.46805555,0.2765432
2024-04-06 17:42:34,1,1,37 Claire Trop,36 Carolyn Normile,0,0,0,0,0,1,0,1,0,0,0,18.17337,2.8447976,-17.949333,0.46805555,0.2765432,0.83611107,0.2506173
