Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
07 Kami Groom,18,"2,3,4,5,6,8,9,11,13,14,15,17,18,20,21,22,23,24",2,16,1,10,19,11,16,18,1,1,2,4,2,2,0,2,0,0,190.65,78.64,13.62,5.62,286.05,134.11,15.89,7.45
21 Jess Oh,13,"2,4,5,6,9,11,13,15,17,18,22,24,25",1,12,0,6,13,6,13,11,2,0,1,0,1,1,0,0,0,0,158.22,86.43,13.19,7.2,135.12,10.16,12.28,0.92
01 Ashleigh Jentilet,11,"2,3,4,8,10,13,14,15,20,22,25",1,10,0,7,9,7,9,7,2,5,0,0,1,1,0,1,0,0,156.84,108.24,19.61,13.53,145.36,120.36,20.77,17.19
22 Erin McCann,11,"2,3,4,5,6,9,11,14,17,22,24",1,10,0,7,6,4,5,6,0,1,1,1,0,0,0,2,0,0,56.62,20.52,11.32,4.1,78.71,38.68,13.12,6.45
09 Annalise Peters,11,"2,4,5,6,9,11,13,15,16,20,24",1,10,0,5,18,8,17,10,8,0,1,1,5,5,0,1,0,0,192.84,104.51,16.07,8.71,136.28,23.44,13.63,2.34
66 Jackie Wang,11,"3,5,6,8,11,14,17,18,20,23,25",1,10,0,5,16,7,16,9,7,0,1,0,1,1,0,0,0,0,223.23,59.88,14.88,3.99,99.4,-13.07,11.04,-1.45
37 Claire Trop,10,"1,5,6,8,11,12,19,21,24,25",5,5,4,2,23,9,20,22,1,1,1,3,4,4,0,0,0,0,200.58,22.22,12.54,1.39,343.43,244.99,15.61,11.14
46 Graham Cunningham,10,"2,5,6,9,14,16,17,18,22,24",0,10,0,6,10,6,9,10,0,1,1,1,0,0,0,0,0,0,124.46,71.32,13.83,7.92,174.44,97.27,17.44,9.73
19 Allie Wallace,10,"1,7,9,10,11,12,17,18,21,25",6,4,4,1,13,6,11,13,0,1,0,2,0,0,0,0,0,0,172.45,69.63,15.68,6.33,183.51,104.24,14.12,8.02
04 Ellen Mueller,8,"3,4,9,14,16,17,20,23",0,8,0,6,7,3,6,7,0,1,1,1,0,0,0,0,0,0,86.38,37.19,14.4,6.2,127.58,100.52,18.23,14.36
23 Lisa Dang,7,"1,7,10,12,19,21,25",6,1,5,0,19,7,19,13,6,0,1,0,5,5,0,0,0,0,200.13,104.17,14.29,7.44,158.7,2.84,12.21,0.22
15 Florence Brooks,7,"3,8,13,15,16,22,23",0,7,0,6,6,4,4,5,1,1,0,2,1,0,1,1,0,0,56.27,19.57,14.07,4.89,96.94,84.53,19.39,16.91
12 Clare Frantz,6,"7,12,16,19,20,24",3,3,3,2,5,2,4,5,0,0,2,1,1,1,0,0,0,0,35.98,9.62,11.99,3.21,82.7,62.92,16.54,12.58
16 Margaret Walker,6,"1,7,10,12,19,21",6,0,5,0,17,4,17,13,4,0,0,0,2,2,0,1,0,0,214.69,127.07,14.31,8.47,149.79,23.91,11.52,1.84
24 Jamie Eriksson,6,"2,4,8,13,15,16",0,6,0,5,5,4,5,5,0,0,1,0,1,1,0,1,0,0,105.14,78.98,26.29,19.74,64.11,36.17,12.82,7.23
05 Marie Perivier,6,"1,7,10,19,23,25",4,2,3,1,8,5,8,7,1,1,0,0,1,1,0,2,0,0,126.55,56.49,18.08,8.07,126.31,69.77,18.04,9.97
36 Carolyn Normile,6,"1,7,10,12,19,21",6,0,5,0,16,6,16,8,8,1,1,0,2,2,0,0,0,0,175.24,70.65,13.48,5.43,114.39,51.82,14.3,6.48
08 Kathryn Ritzman,5,"1,10,12,19,21",5,0,4,0,5,2,5,5,0,0,0,0,2,1,1,0,0,0,53.81,18.49,13.45,4.62,75.32,30.07,15.06,6.01
00 Emma Jones,5,"3,8,14,16,23",0,5,0,5,6,5,6,6,0,0,0,0,0,0,0,1,0,0,87.77,22.69,14.63,3.78,89.21,-16.93,14.87,-2.82
13 Sami Smalling,4,"7,13,15,22",1,3,1,2,9,3,9,7,2,1,1,0,0,0,0,0,0,0,131.46,48.02,14.61,5.34,81.97,8.53,11.71,1.22
