Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
4/6/24 17:38,1,1,1,1,0.52361107,0.6932099,36 Carolyn Normile,11,37 Claire Trop,36 Carolyn Normile,19 Allie Wallace,,,
4/6/24 17:48,2,1,0,1,0.24861106,0.71358025,09 Annalise Peters,2,09 Annalise Peters,46 Graham Cunningham,07 Kami Groom,,,
4/6/24 17:53,3,1,0,0,0.75555557,0.6148148,66 Jackie Wang,1,,,,66 Jackie Wang,,
4/6/24 17:55,3,2,0,1,0.7902778,0.31358024,66 Jackie Wang,9,07 Kami Groom,01 Ashleigh Jentilet,22 Erin McCann,,,
4/6/24 18:00,4,1,0,1,0.7402777,0.80370367,09 Annalise Peters,8,07 Kami Groom,01 Ashleigh Jentilet,07 Kami Groom,,,
4/6/24 18:05,5,1,0,0,0.84722227,0.80987656,16 Margaret Walker,1,,,,16 Margaret Walker,,
4/6/24 18:06,5,2,0,0,0.2625,0.8135803,05 Marie Perivier,1,,,,05 Marie Perivier,,
4/6/24 18:07,5,3,0,0,0.5,0.80987656,23 Lisa Dang,2,,,,36 Carolyn Normile,,
4/6/24 18:09,5,4,0,0,0.84583336,0.7407408,16 Margaret Walker,2,,,,37 Claire Trop,,
4/6/24 18:31,7,1,1,0,0.11666667,0.69876546,13 Sami Smalling,9,,,,12 Clare Frantz,,
4/6/24 18:35,7,2,1,0,0.6430556,0.7111111,36 Carolyn Normile,12,,,,23 Lisa Dang,,
4/6/24 18:38,7,3,1,0,0.50416666,0.732716,23 Lisa Dang,1,,,,23 Lisa Dang,,
4/6/24 18:38,7,4,1,1,0.84722227,0.7308642,23 Lisa Dang,7,12 Clare Frantz,13 Sami Smalling,12 Clare Frantz,,,
4/6/24 18:42,8,1,0,0,0.8736111,0.46296296,66 Jackie Wang,5,,,,37 Claire Trop,,
4/6/24 18:43,8,2,0,0,0.5222222,0.48518518,66 Jackie Wang,4,,,,24 Jamie Eriksson,15 Florence Brooks,
4/6/24 18:45,8,3,0,0,0.79583335,0.5462963,01 Ashleigh Jentilet,1,,,,01 Ashleigh Jentilet,,
4/6/24 18:50,10,1,1,0,0.49722221,0.73888886,36 Carolyn Normile,3,,,,23 Lisa Dang,,
4/6/24 18:51,10,2,1,0,0.17361107,0.7882716,36 Carolyn Normile,2,,,,23 Lisa Dang,,
4/6/24 18:54,11,1,1,0,0.4902778,0.6092593,09 Annalise Peters,3,,,,37 Claire Trop,,
4/6/24 18:56,11,2,1,0,0.1305556,0.5277778,66 Jackie Wang,2,,,,09 Annalise Peters,,
4/6/24 18:57,11,3,1,0,0.2555556,0.6006173,09 Annalise Peters,7,,,,09 Annalise Peters,,
4/6/24 19:07,12,1,1,0,0.48194447,0.7777778,36 Carolyn Normile,6,,,,37 Claire Trop,,
4/6/24 19:09,12,2,1,0,0.38333333,0.65925926,16 Margaret Walker,9,,,,08 Kathryn Ritzman,,
4/6/24 19:11,12,3,1,0,0.73194444,0.7160494,36 Carolyn Normile,1,,,,36 Carolyn Normile,,
4/6/24 19:12,12,4,1,0,0.23472227,0.7882716,36 Carolyn Normile,4,,,,23 Lisa Dang,,
4/6/24 19:14,12,5,1,0,0.5013889,0.6314815,37 Claire Trop,4,,,,16 Margaret Walker,,
4/6/24 19:16,12,6,1,1,0.2277778,0.80493826,16 Margaret Walker,11,12 Clare Frantz,19 Allie Wallace,37 Claire Trop,,,
4/6/24 19:21,13,1,0,1,0.50416666,0.7962963,09 Annalise Peters,3,24 Jamie Eriksson,01 Ashleigh Jentilet,15 Florence Brooks,,,
4/6/24 19:25,14,1,0,1,0.62361115,0.79444444,66 Jackie Wang,14,22 Erin McCann,01 Ashleigh Jentilet,04 Ellen Mueller,,,
4/6/24 19:32,15,1,0,0,0.52361107,0.7796296,01 Ashleigh Jentilet,5,,,,07 Kami Groom,,
4/6/24 19:34,15,2,0,0,0.79583335,0.3574074,15 Florence Brooks,5,,,,07 Kami Groom,,
4/6/24 21:39,16,1,0,0,0.90972227,0.8117284,09 Annalise Peters,6,,,,09 Annalise Peters,,
4/6/24 21:42,16,2,0,1,0.1375,0.52592593,09 Annalise Peters,7,46 Graham Cunningham,04 Ellen Mueller,09 Annalise Peters,,,
4/6/24 21:46,17,1,0,1,0.16666667,0.45,21 Jess Oh,3,66 Jackie Wang,07 Kami Groom,46 Graham Cunningham,,,
4/6/24 21:52,19,1,1,1,0.6930555,0.5604938,23 Lisa Dang,2,23 Lisa Dang,05 Marie Perivier,37 Claire Trop,,,
4/6/24 21:55,20,1,0,0,0.9125,0.70246917,09 Annalise Peters,1,,,,09 Annalise Peters,,
4/6/24 21:57,21,1,1,0,0.79305553,0.54753083,23 Lisa Dang,5,,,,,08 Kathryn Ritzman,
4/6/24 22:00,21,2,1,1,0.68333334,0.2148148,36 Carolyn Normile,2,36 Carolyn Normile,37 Claire Trop,19 Allie Wallace,,,
4/6/24 22:02,22,1,0,1,0.7388889,0.79691356,13 Sami Smalling,13,13 Sami Smalling,01 Ashleigh Jentilet,15 Florence Brooks,,,
4/6/24 22:12,23,1,0,1,0.8819444,0.54135805,66 Jackie Wang,5,04 Ellen Mueller,15 Florence Brooks,07 Kami Groom,,,
4/6/24 22:16,24,1,0,0,0.72083336,0.6623457,07 Kami Groom,2,,,,09 Annalise Peters,,
4/6/24 22:18,24,2,0,1,0.8847223,0.48580247,21 Jess Oh,10,21 Jess Oh,22 Erin McCann,37 Claire Trop,,,
