Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-07 18:06:58,2,1,32 Annie Bocko,44 Chloe Greene,0,0,0,0,0,0,0,0,0,0,0,8.961886,2.4864078,-8.610064,0.27044025,0.61616164,0.5031447,0.59129757
2024-04-07 18:08:16,2,1,44 Chloe Greene,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,0,0,10.083223,1.2431979,10.00629,0.5031447,0.59129757,0.2327044,0.5788656
2024-04-07 18:08:36,2,1,02 Claire Bidigaire-Curtis,12 Katie Backus Meilstrup,0,0,0,0,0,0,0,0,0,0,1,13.97875,13.286713,4.3438153,0.2327044,0.5788656,0.115303986,0.44599846
2024-04-07 18:08:39,2,1,12 Katie Backus Meilstrup,27 Mary Rippe,0,0,0,0,0,0,0,0,0,1,0,9.219463,9.013212,-1.939203,0.115303986,0.44599846,0.16771488,0.35586634
2024-04-07 18:08:50,2,1,27 Mary Rippe,44 Chloe Greene,0,0,0,0,0,0,0,0,1,0,0,5.9824524,-5.2059054,-2.9475892,0.16771488,0.35586634,0.24737945,0.4079254
2024-04-07 18:09:01,2,1,44 Chloe Greene,27 Mary Rippe,0,0,0,0,0,0,0,1,0,0,0,11.5147295,2.7972012,-11.16981,0.24737945,0.4079254,0.5492662,0.37995338
2024-04-07 18:09:30,2,1,27 Mary Rippe,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,0,0,14.117132,10.878012,-8.997904,0.5492662,0.37995338,0.7924528,0.27117327
2024-04-07 18:09:38,2,1,02 Claire Bidigaire-Curtis,44 Chloe Greene,0,0,0,0,0,0,0,0,1,0,0,9.278669,-4.5843034,8.067085,0.7924528,0.27117327,0.5744235,0.3170163
2024-04-07 18:09:46,2,1,44 Chloe Greene,02 Claire Bidigaire-Curtis,0,0,0,0,0,0,0,0,0,0,0,5.5116587,2.9526024,-4.6540866,0.5744235,0.3170163,0.7002096,0.28749028
2024-04-07 18:10:00,2,1,02 Claire Bidigaire-Curtis,32 Annie Bocko,0,0,0,0,0,0,0,0,1,0,0,7.0763063,-1.5540034,6.9035635,0.7002096,0.28749028,0.5136268,0.3030303
2024-04-07 18:10:15,2,1,32 Annie Bocko,27 Mary Rippe,0,0,0,0,0,0,0,0,1,0,0,6.3191442,-5.905205,2.249475,0.5136268,0.3030303,0.4528302,0.36208236
2024-04-07 18:10:21,2,1,27 Mary Rippe,44 Chloe Greene,0,0,0,0,0,0,0,0,0,0,0,9.644376,3.263402,9.075472,0.4528302,0.36208236,0.20754717,0.32944834
2024-04-07 18:10:31,2,1,44 Chloe Greene,27 Mary Rippe,0,0,0,0,0,0,0,0,1,0,0,4.914985,-4.1958036,-2.5597482,0.20754717,0.32944834,0.27672955,0.37140638
2024-04-07 18:10:39,2,1,27 Mary Rippe,44 Chloe Greene,0,0,0,0,0,0,0,0,0,0,0,9.933899,4.817405,-8.687632,0.27672955,0.37140638,0.5115304,0.32323232
