Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-07 17:52:25,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-04-07 17:57:00,2,0,1,1,0,1,15,1,0,1,0,0,,,
2024-04-07 18:10:55,3,0,2,1,0,2,8,2,2,1,0,1,,,
2024-04-07 18:25:56,4,0,3,1,0,1,4,1,1,0,0,0,,,
2024-04-07 18:29:44,5,0,4,1,0,5,34,5,4,1,1,3,,,
2024-04-07 18:51:06,6,0,5,1,1,1,10,0,0,0,0,0,59 Audrey Lyman,01 Lindsay Soo,03 Grace Conerly
2024-04-07 19:05:40,7,1,5,0,0,3,9,3,3,0,2,1,,,
2024-04-07 19:12:47,8,1,6,1,0,4,14,4,4,1,2,1,,,
2024-04-07 19:19:07,9,1,7,1,1,1,3,0,0,0,0,0,06 Jenny Wei,11 Dawn Culton,01 Lindsay Soo
2024-04-07 19:20:59,10,2,7,0,1,2,10,1,0,1,2,0,,90 Qxhna Titcomb,28 Claire Revere
2024-04-07 19:26:14,11,3,7,0,0,3,23,3,3,0,2,1,,,
2024-04-07 20:55:24,12,3,8,0,0,5,22,5,5,0,3,2,,,
2024-04-07 21:04:43,13,3,9,1,0,1,13,1,1,1,0,0,,,
2024-04-07 21:10:09,14,3,10,1,0,1,4,1,1,0,0,0,,,
2024-04-07 21:13:37,15,3,11,1,0,3,11,3,3,0,2,0,,,
2024-04-07 21:22:25,16,3,12,1,0,2,16,2,2,0,1,0,,,
2024-04-14 18:46:26,17,3,13,1,0,1,1,1,1,0,0,0,,,
2024-04-14 18:48:29,18,3,14,1,1,1,4,0,0,0,0,0,03 Grace Conerly,11 Dawn Culton,22 Julia Zwierzynski
2024-04-14 18:52:28,19,4,14,0,0,0,0,0,0,0,0,0,,,
2024-04-14 18:53:09,20,4,15,1,1,2,14,1,1,1,1,0,02 Claire Bidigaire-Curtis,33 Erica Birdsong,45 Caitlin Gross
2024-04-14 18:57:28,21,5,15,0,0,1,2,1,1,1,0,1,,,
2024-04-14 19:02:13,22,5,16,1,0,1,5,1,1,0,0,0,,,
2024-04-14 19:04:52,23,5,17,1,0,1,5,1,1,1,0,0,,,
2024-04-14 19:07:13,24,5,18,1,0,2,11,2,2,0,0,1,,,
2024-04-14 19:10:55,25,5,19,1,0,1,4,1,1,0,0,0,,,
2024-04-14 19:12:41,26,5,20,1,0,0,0,0,0,0,0,0,,,
