Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
17 Kristin Dudley,15,"1,3,6,9,12,13,15,16,17,18,21,22,24,27,28",10,5,9,4,21,11,19,13,8,0,0,2,1,1,0,0,0,0,235.04,98.55,13.83,5.80,157.20,43.21,12.09,3.32
11 Tracey Lo,12,"1,6,7,9,13,15,16,18,21,22,27,28",7,5,6,4,18,11,16,10,8,0,1,2,2,2,0,0,0,0,196.25,89.48,14.02,6.39,175.72,75.86,17.57,7.59
32 Shani Rosenthal,12,"1,3,7,9,13,15,16,17,18,22,24,27",8,4,8,3,15,11,12,15,0,3,1,3,2,2,0,0,0,0,195.61,114.88,19.56,11.49,240.16,164.80,16.01,10.99
66 Mya Hernandez,12,"1,3,7,9,13,15,16,17,18,22,24,27",8,4,8,3,12,8,11,12,0,1,1,1,2,1,1,1,0,0,126.10,54.25,12.61,5.43,172.96,107.15,14.41,8.93
40 Claire Milton,11,"3,6,9,12,15,17,19,21,22,24,28",8,3,7,2,13,9,12,13,0,4,4,1,0,0,0,0,0,0,255.58,194.26,21.30,16.19,211.81,158.83,16.29,12.22
02 Maketa Mattatore,11,"2,4,5,10,11,14,17,19,20,23,26",3,8,1,1,16,8,16,12,4,0,0,0,1,1,0,0,0,0,172.21,44.84,11.48,2.99,123.28,-33.05,10.27,-2.75
24 Abby Swensen,11,"1,6,7,12,13,16,18,21,22,27,28",6,5,5,4,11,9,6,11,0,3,0,5,0,0,0,1,0,0,101.40,95.30,20.28,19.06,260.71,209.03,23.70,19.00
14 Briana Burriss,11,"2,4,5,8,10,14,19,20,25,26,29",2,9,0,1,10,7,9,7,3,0,0,1,1,1,0,1,0,0,84.93,15.58,10.62,1.95,92.51,-8.47,13.22,-1.21
18 Laura Gerencser,11,"1,3,7,9,12,15,16,18,22,24,27",8,3,8,2,10,7,10,8,2,0,1,0,0,0,0,1,0,0,156.57,72.88,15.66,7.29,75.33,-33.93,9.42,-4.24
04 Rachel Mast,10,"1,6,7,12,13,16,18,21,27,28",6,4,5,3,16,10,16,15,1,2,2,0,2,1,1,1,0,0,183.07,69.22,13.08,4.94,218.45,135.33,14.56,9.02
34 Lauren Kitten,9,"3,6,7,12,13,17,21,24,28",7,2,6,2,13,10,13,9,4,0,1,0,3,2,1,1,0,0,124.11,52.70,11.28,4.79,94.76,-11.58,10.53,-1.29
29 Emily Schloneger,9,"3,6,9,12,15,17,21,24,28",8,1,7,1,6,5,6,6,0,1,2,0,0,0,0,0,0,0,99.51,85.75,16.58,14.29,95.28,74.44,15.88,12.41
21 Elizabeth Burkhardt,8,"4,8,10,14,19,25,26,29",1,7,0,1,3,3,3,1,2,0,0,0,1,1,0,0,0,0,20.19,-4.61,10.09,-2.30,8.85,-2.98,8.85,-2.98
06 Risa Umeno,8,"2,5,8,11,20,23,25,29",1,7,0,0,13,8,13,7,6,0,0,0,3,3,0,0,0,0,122.24,12.94,12.22,1.29,75.83,-6.71,10.83,-0.96
03 Mary Timmons,8,"2,5,8,11,20,23,25,29",1,7,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,21.26,-2.78,10.63,-1.39,36.25,30.14,12.08,10.05
42 Kelly Kerker,8,"2,5,8,11,20,23,25,29",1,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.32,1.35,10.32,1.35,12.42,11.18,12.42,11.18
33 Jalyn Baumgartner,8,"2,5,8,11,20,23,25,29",1,7,0,0,3,1,3,3,0,0,0,0,2,1,1,1,0,0,20.54,-1.29,10.27,-0.64,34.65,14.56,11.55,4.85
59 Maple Adkins-Threats,8,"4,8,10,14,19,25,26,29",1,7,0,1,3,3,3,2,1,0,1,0,1,1,0,1,0,0,42.01,23.30,21.01,11.65,21.05,13.14,10.53,6.57
16 Riely Kuznicki,7,"4,5,10,11,14,23,26",1,6,0,1,2,2,2,2,0,0,0,0,1,1,0,3,0,0,8.85,-2.98,8.85,-2.98,19.96,17.81,9.98,8.91
20 Shirley Saunders,7,"2,4,10,14,19,20,26",2,5,0,1,2,2,2,2,0,0,0,0,1,1,0,1,0,0,13.30,-5.89,13.30,-5.89,24.92,11.04,12.46,5.52
23 Lili Hobday,7,"4,10,11,14,19,23,26",1,6,0,1,8,4,8,7,1,1,0,0,2,2,0,1,0,0,61.64,22.89,10.27,3.82,102.62,59.74,14.66,8.53
