Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-07 12:59:17,1,1,1,0,0.104166664,0.5685185,17 Kristin Dudley,3,,,,32 Shani Rosenthal,,
2024-04-07 13:01:55,1,2,1,0,0.06111107,0.4722222,18 Laura Gerencser,3,,,,,66 Mya Hernandez,
2024-04-07 13:03:26,1,3,1,1,0.42777774,0.21728395,04 Rachel Mast,1,,04 Rachel Mast,32 Shani Rosenthal,,,
2024-04-07 13:11:28,3,1,1,1,0.40555555,0.5388889,34 Lauren Kitten,5,40 Claire Milton,66 Mya Hernandez,32 Shani Rosenthal,,,
2024-04-07 13:18:15,4,1,0,1,0.26944447,0.55864197,02 Maketa Mattatore,12,59 Maple Adkins-Threats,23 Lili Hobday,14 Briana Burriss,,,
2024-04-07 13:24:40,6,1,1,0,0.89166665,0.61975306,11 Tracey Lo,2,,,,34 Lauren Kitten,,
2024-04-07 13:27:09,7,1,1,1,0.4819444,0.5648148,11 Tracey Lo,3,04 Rachel Mast,32 Shani Rosenthal,24 Abby Swensen,,,
2024-04-07 13:30:43,8,1,0,0,0.033333335,0.49567902,21 Elizabeth Burkhardt,1,,,,21 Elizabeth Burkhardt,,
2024-04-07 13:32:18,8,2,0,0,0.7652778,0.8228395,06 Risa Umeno,1,,,,06 Risa Umeno,,
2024-04-07 13:34:20,9,1,1,1,0.4569444,0.6154321,11 Tracey Lo,2,11 Tracey Lo,32 Shani Rosenthal,40 Claire Milton,,,
2024-04-07 13:38:17,10,1,0,0,0.31111112,0.83271605,02 Maketa Mattatore,6,,,,23 Lili Hobday,,
2024-04-07 13:45:06,11,1,0,0,0.53055555,0.5611111,06 Risa Umeno,3,,,,06 Risa Umeno,,
2024-04-07 13:45:46,11,2,0,0,0.9486111,0.8191358,02 Maketa Mattatore,2,,,,06 Risa Umeno,,
2024-04-07 13:48:14,12,1,1,1,0.75555557,0.6740741,18 Laura Gerencser,5,40 Claire Milton,04 Rachel Mast,24 Abby Swensen,,,
2024-04-07 13:51:42,13,1,0,1,0.21527773,0.57098764,14 Briana Burriss,12,32 Shani Rosenthal,24 Abby Swensen,11 Tracey Lo,,,
2024-04-07 14:07:31,14,1,0,0,0.71944445,0.77839506,14 Briana Burriss,2,,,,20 Shirley Saunders,,
2024-04-07 14:08:47,15,1,1,0,0.64166665,0.6345679,11 Tracey Lo,6,,,,66 Mya Hernandez,,
2024-04-07 14:11:27,15,2,1,1,0.051388867,0.60123456,17 Kristin Dudley,4,29 Emily Schloneger,40 Claire Milton,11 Tracey Lo,,,
2024-04-07 14:12:54,16,1,0,0,0.9180556,0.5339506,14 Briana Burriss,9,,,,32 Shani Rosenthal,,
2024-04-07 14:17:27,17,1,1,1,0.3125,0.6228395,17 Kristin Dudley,7,29 Emily Schloneger,40 Claire Milton,17 Kristin Dudley,,,
2024-04-07 19:10:52,18,1,0,1,0.975,0.5901235,11 Tracey Lo,5,04 Rachel Mast,24 Abby Swensen,32 Shani Rosenthal,,,
2024-04-07 19:16:14,20,1,1,0,0.52916664,0.5895062,34 Lauren Kitten,10,,,,,34 Lauren Kitten,
2024-04-07 19:19:56,20,2,1,0,0.3430556,0.8518519,17 Kristin Dudley,1,,,,17 Kristin Dudley,,
2024-04-07 19:20:31,20,3,1,0,0.33611113,0.7358025,34 Lauren Kitten,1,,,,34 Lauren Kitten,,
2024-04-07 19:21:07,20,4,1,0,0.51944447,0.33827162,17 Kristin Dudley,3,,,,,04 Rachel Mast,
2024-04-07 19:23:30,20,5,1,0,0.2305556,0.8006173,06 Risa Umeno,2,,,,14 Briana Burriss,,
2024-04-07 19:24:51,21,1,1,0,0.0875,0.7185185,17 Kristin Dudley,7,,,,11 Tracey Lo,,
2024-04-07 19:26:24,21,2,1,0,0.925,0.73148143,11 Tracey Lo,2,,,,04 Rachel Mast,,
2024-04-07 19:27:13,21,3,1,1,0.76805556,0.72037035,11 Tracey Lo,4,40 Claire Milton,29 Emily Schloneger,24 Abby Swensen,,,
2024-04-07 19:30:15,22,1,0,1,0.36388892,0.8351852,17 Kristin Dudley,11,18 Laura Gerencser,40 Claire Milton,24 Abby Swensen,,,
2024-04-07 22:18:01,23,1,0,0,0.7402778,0.5240741,06 Risa Umeno,3,,,,23 Lili Hobday,,
2024-04-07 22:18:57,23,2,0,0,0.7444445,0.8104938,06 Risa Umeno,12,,,,33 Jalyn Baumgartner,,
2024-04-07 22:22:33,24,1,1,1,0.47638887,0.737037,17 Kristin Dudley,5,40 Claire Milton,32 Shani Rosenthal,66 Mya Hernandez,,,
2024-04-07 22:25:16,25,1,0,0,0.56111115,0.45617285,59 Maple Adkins-Threats,3,,,,,33 Jalyn Baumgartner,
2024-04-07 22:27:42,26,1,1,0,0.28888887,0.73086417,34 Lauren Kitten,3,,,,11 Tracey Lo,,
2024-04-07 22:30:03,26,2,1,0,0.026388867,0.7339506,21 Elizabeth Burkhardt,4,,,,59 Maple Adkins-Threats,,
2024-04-07 22:32:02,27,1,1,1,0.49583334,0.5895062,11 Tracey Lo,8,66 Mya Hernandez,24 Abby Swensen,17 Kristin Dudley,,,
2024-04-07 22:35:26,28,1,0,0,0.6458333,0.5753086,06 Risa Umeno,3,,,,16 Riely Kuznicki,,
2024-04-07 22:36:57,28,2,0,0,0.18333334,0.43888888,02 Maketa Mattatore,1,,,,02 Maketa Mattatore,,
2024-04-07 22:38:04,28,3,0,1,0.54861104,0.56790125,23 Lili Hobday,8,34 Lauren Kitten,40 Claire Milton,24 Abby Swensen,,,
