Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
27 Katharine Gilbert,15,"1,2,4,8,10,11,13,15,17,19,20,23,25,26,29",10,5,7,2,49,14,47,38,11,0,1,2,4,4,0,0,0,0,625.85,135.13,14.90,3.22,462.30,95.23,12.17,2.51
10 Tori Taylor,14,"2,4,8,10,11,13,15,17,19,20,23,25,26,29",10,4,7,2,28,13,26,27,1,2,3,2,5,5,0,4,0,0,254.06,68.82,12.10,3.28,426.46,223.25,15.79,8.27
22 Rebecca Henley,14,"2,4,8,10,11,13,15,17,19,20,23,25,26,29",10,4,7,2,9,6,8,9,0,0,1,1,1,1,0,2,0,0,69.72,-6.91,9.96,-0.99,131.70,104.04,14.63,11.56
45 Sylvia Brown,13,"1,5,6,9,12,13,14,16,17,18,24,27,28",5,8,3,1,24,6,23,22,2,1,2,1,2,2,0,0,0,0,294.40,80.20,14.02,3.82,237.91,34.88,10.81,1.59
24 Mia Letterie,13,"1,3,5,7,12,13,14,16,18,20,22,24,27",5,8,3,1,19,6,19,15,4,3,0,0,2,2,0,0,0,0,244.82,77.89,14.40,4.58,151.27,-49.38,10.08,-3.29
08 Grace Robinson,13,"2,4,8,10,11,13,15,19,20,23,25,26,29",10,3,7,2,23,10,22,22,1,0,2,1,3,3,0,1,0,0,264.70,73.69,13.93,3.88,326.04,98.96,14.82,4.50
28 Margie Quinn,13,"2,4,8,10,11,15,17,19,21,23,25,26,29",9,4,7,1,48,12,47,39,9,4,0,1,1,1,0,0,0,0,704.64,205.64,15.32,4.47,400.73,-66.24,10.28,-1.70
72 Grace Castro,13,"2,4,8,10,11,13,15,19,20,23,25,26,29",10,3,7,2,12,11,11,12,0,0,1,1,1,1,0,0,0,0,98.70,35.15,9.87,3.52,263.28,186.00,21.94,15.50
16 Emily Branson,12,"2,4,8,10,11,15,19,20,23,25,26,29",9,3,7,2,21,9,20,17,4,2,1,1,4,3,1,0,0,0,271.02,118.60,15.94,6.98,331.70,19.24,19.51,1.13
06 Micah Roberts,12,"1,3,5,7,12,14,16,17,18,21,24,27",3,9,3,0,3,3,2,3,0,0,0,1,1,1,0,0,0,0,9.58,5.49,9.58,5.49,59.93,50.39,19.98,16.80
21 Elena Rubino,10,"1,6,9,12,17,18,21,22,27,28",2,8,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,19.77,18.63,19.77,18.63
25 Nadine Rowen,8,"3,5,9,12,14,16,22,28",5,3,3,0,11,5,11,10,1,0,0,0,1,1,0,1,0,0,183.27,85.28,18.33,8.53,178.93,81.96,17.89,8.20
20 Noel Holmes,8,"1,3,6,7,14,16,22,28",4,4,2,1,12,4,12,10,2,0,1,0,1,1,0,0,0,0,124.55,40.64,11.32,3.69,121.06,37.52,12.11,3.75
82 Mary Turner,8,"1,5,7,14,16,22,24,27",4,4,3,0,3,2,3,2,1,0,0,0,0,0,0,1,0,0,27.16,14.36,9.05,4.79,19.59,13.82,9.80,6.91
09 Emma Patterson,8,"3,5,7,9,18,21,27,28",2,6,1,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,26.04,2.57,13.02,1.29,19.20,5.42,19.20,5.42
11 Jamie Ferrie,7,"3,6,9,18,21,22,27",1,6,0,1,4,3,4,3,1,0,0,0,0,0,0,1,0,0,30.68,-13.21,7.67,-3.30,45.27,31.43,15.09,10.48
12 Meaghan Creamer,6,"5,7,14,21,22,24",3,3,2,0,2,2,1,2,0,0,1,1,0,0,0,0,0,0,12.19,12.19,12.19,12.19,26.30,19.03,13.15,9.52
02 Sierra Rimmer,5,"6,9,12,21,24",0,5,0,1,8,3,8,6,2,1,0,0,1,1,0,0,0,0,85.42,27.03,12.20,3.86,64.15,-3.59,10.69,-0.60
71 Mattea Swegles,4,"6,12,16,28",2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.76,-4.20,9.76,-4.20,58.60,51.00,58.60,51.00
19 Bethany Bailey,4,"6,9,18,28",1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,17.77,-0.95,17.77,-0.95,10.11,5.83,10.11,5.83
23 Breanna Snipes,3,"3,7,24",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
