Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-08 11:42:13,1,0,0,0,0,2,4,2,2,0,0,2,,,
2024-04-08 11:51:39,2,0,1,1,1,1,16,0,0,0,0,0,08 Grace Robinson,28 Margie Quinn,27 Katharine Gilbert
2024-04-08 12:01:57,3,1,1,0,0,0,0,0,0,0,0,0,,,
2024-04-08 12:05:41,4,1,2,1,0,1,1,1,1,0,0,0,,,
2024-04-08 12:08:19,5,1,3,1,1,1,7,0,0,0,0,0,12 Meaghan Creamer,45 Sylvia Brown,06 Micah Roberts
2024-04-08 12:12:35,6,2,3,0,1,1,10,0,0,0,1,0,45 Sylvia Brown,02 Sierra Rimmer,21 Elena Rubino
2024-04-08 12:18:36,7,3,3,0,0,0,0,0,0,0,0,0,,,
2024-04-08 12:19:38,8,3,4,1,1,3,27,2,2,0,1,1,10 Tori Taylor,28 Margie Quinn,10 Tori Taylor
2024-04-08 12:25:49,9,4,4,0,0,0,0,0,0,0,0,0,,,
2024-04-08 12:28:08,10,4,5,1,0,2,7,2,2,0,1,0,,,
2024-04-08 12:30:43,11,4,6,1,1,3,30,2,2,0,2,0,08 Grace Robinson,28 Margie Quinn,16 Emily Branson
2024-04-08 12:38:09,12,5,6,0,0,0,0,0,0,0,0,0,,,
2024-04-08 12:40:17,13,5,7,1,0,1,7,1,1,0,0,0,,,
2024-04-08 12:45:08,14,5,8,1,1,2,22,1,1,0,0,1,45 Sylvia Brown,24 Mia Letterie,12 Meaghan Creamer
2024-04-08 12:52:05,15,6,8,0,0,1,5,1,1,0,1,0,,,
2024-04-08 12:56:40,16,6,9,1,1,2,14,1,1,0,1,0,20 Noel Holmes,24 Mia Letterie,45 Sylvia Brown
2024-04-08 13:01:04,17,7,9,0,0,0,0,0,0,0,0,0,,,
2024-04-08 15:33:13,18,7,10,0,0,0,0,0,0,0,0,0,,,
2024-04-08 15:35:32,19,7,11,1,1,1,4,0,0,0,0,0,27 Katharine Gilbert,10 Tori Taylor,22 Rebecca Henley
2024-04-08 15:37:28,20,8,11,0,1,5,27,4,3,1,1,4,22 Rebecca Henley,24 Mia Letterie,72 Grace Castro
2024-04-08 15:49:21,21,9,11,0,0,2,11,2,2,0,0,2,,,
2024-04-08 15:54:50,22,9,12,1,0,1,13,1,1,0,0,0,,,
2024-04-08 15:59:20,23,9,13,1,1,3,22,2,2,0,2,0,10 Tori Taylor,16 Emily Branson,28 Margie Quinn
2024-04-08 16:06:52,24,10,13,0,0,0,0,0,0,0,0,0,,,
2024-04-08 16:09:19,25,10,14,1,1,2,11,1,1,0,0,1,16 Emily Branson,28 Margie Quinn,10 Tori Taylor
2024-04-08 16:12:34,26,11,14,0,1,2,11,1,1,0,0,2,72 Grace Castro,10 Tori Taylor,27 Katharine Gilbert
2024-04-08 16:18:14,27,12,14,0,0,0,0,0,0,0,0,0,,,
2024-04-08 16:20:30,28,12,15,1,0,3,15,3,3,0,1,1,,,
2024-04-08 16:26:22,29,12,16,1,1,1,4,0,0,0,0,0,10 Tori Taylor,16 Emily Branson,08 Grace Robinson
2024-04-08 16:27:57,30,13,16,0,0,0,0,0,0,0,0,0,,,
