Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-13 17:24:54,1,0,0,0,1,4,12,3,1,2,2,2,22 Alex Ballinger,72 Jacqueline Jarik,97 Eileen Bequette
2024-04-13 17:42:01,2,1,0,0,0,1,5,1,0,1,1,0,,,
2024-04-13 17:47:54,3,1,1,1,0,1,5,1,1,0,0,0,,,
2024-04-13 17:53:23,4,1,2,1,0,3,7,3,2,1,0,2,,,
2024-04-13 18:00:35,5,1,3,1,0,1,3,1,1,0,0,0,,,
2024-04-13 18:03:50,6,1,4,1,1,1,3,0,0,0,0,0,19 Emily Cohen,08 Manhua Zhu,21 Annie Shriver
2024-04-13 18:05:36,7,2,4,0,1,2,15,1,1,1,0,2,00 Donna Johnston,12 Sydney French,72 Jacqueline Jarik
2024-04-13 18:13:46,8,3,4,0,1,1,1,0,0,0,0,1,,52 Erynn Schroeder,10 Chelsea Twohig
2024-04-13 18:16:23,9,4,4,1,0,4,17,4,4,0,2,2,,,
2024-04-13 18:29:04,10,4,5,1,0,4,9,4,3,1,2,1,,,
2024-04-13 18:36:14,11,4,6,1,1,2,3,1,1,0,0,1,,08 Manhua Zhu,13 Erin Newman
2024-04-13 18:38:21,12,5,6,0,0,0,0,0,0,0,0,0,,,
2024-04-13 18:40:04,13,5,7,1,0,2,5,2,2,0,0,1,,,
2024-04-13 18:43:26,14,5,8,1,1,2,7,1,0,1,0,1,,10 Chelsea Twohig,12 Sydney French
2024-04-13 18:47:45,15,6,8,0,1,3,8,2,1,1,2,1,22 Alex Ballinger,72 Jacqueline Jarik,07 Sydney Stelzer
2024-04-13 18:53:32,16,7,8,0,0,0,0,0,0,0,0,0,,,
2024-04-13 18:55:22,17,7,9,1,1,2,23,1,1,0,1,0,17 Caitlin Duffner,52 Erynn Schroeder,27 Stef Bugasch
2024-04-13 19:03:46,18,8,9,0,0,0,0,0,0,0,0,0,,,
2024-04-13 20:06:41,19,8,10,1,0,1,4,1,1,0,0,0,,,
2024-04-13 20:11:47,20,8,11,1,0,1,2,1,0,1,0,0,,,
2024-04-13 20:13:48,21,8,12,1,1,2,10,1,1,0,1,0,05 Rose Glinka,21 Annie Shriver,88 Claire Kelley
2024-04-13 20:17:10,22,9,12,0,1,2,7,1,1,0,1,1,22 Alex Ballinger,72 Jacqueline Jarik,97 Eileen Bequette
2024-04-13 20:21:28,23,10,12,0,1,1,5,0,0,0,0,1,12 Sydney French,72 Jacqueline Jarik,12 Sydney French
2024-04-13 20:26:06,24,11,12,0,0,0,0,0,0,0,0,0,,,
2024-04-13 20:28:26,25,11,13,1,1,1,9,0,0,0,0,0,52 Erynn Schroeder,05 Rose Glinka,17 Caitlin Duffner
2024-04-13 20:32:18,26,12,13,0,0,0,0,0,0,0,0,0,,,
2024-04-13 20:34:10,27,12,14,1,1,1,3,0,0,0,0,0,05 Rose Glinka,52 Erynn Schroeder,17 Caitlin Duffner
2024-04-13 20:35:42,28,13,14,0,0,0,0,0,0,0,0,0,,,
2024-04-13 20:36:52,29,13,15,1,1,3,17,2,2,0,1,1,22 Alex Ballinger,52 Erynn Schroeder,21 Annie Shriver
2024-04-13 20:42:46,30,14,15,1,0,1,3,1,1,0,0,0,,,
2024-04-13 20:44:32,31,14,16,1,0,3,6,3,3,0,1,1,,,
2024-04-13 20:48:17,32,14,17,1,1,1,5,0,0,0,0,0,17 Caitlin Duffner,21 Annie Shriver,17 Caitlin Duffner
2024-04-13 20:50:39,33,15,17,0,0,2,3,2,2,1,1,1,,,
2024-04-13 20:55:15,34,15,18,1,1,2,13,1,1,0,0,1,27 Stef Bugasch,52 Erynn Schroeder,05 Rose Glinka
2024-04-13 20:57:55,35,16,18,0,0,1,1,1,1,0,1,0,,,
2024-04-13 20:59:46,36,16,19,1,1,1,3,0,0,0,0,0,52 Erynn Schroeder,97 Eileen Bequette,99 Dana Demmert
2024-04-13 21:01:50,37,17,19,0,0,0,0,0,0,0,0,0,,,
2024-04-13 21:04:33,38,17,20,1,0,2,5,2,2,0,0,1,,,
