Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-15 18:21:15,1,1,,33 Valeria Cardenas,0,0,0,0,0,0,0,1,0,0,0,15.244514,0.0,-15.244514,0.322963,0.68577075,0.63555557,0.68577075
2024-04-15 18:21:18,1,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,1,0,0,0,18.181087,1.3011204,18.13447,0.63555557,0.68577075,0.26370376,0.67391306
2024-04-15 18:21:56,1,1,20 Yina Cartagena,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,21.120466,8.095876,-19.5072,0.26370376,0.67391306,0.66370374,0.60013175
2024-04-15 18:22:02,1,1,33 Valeria Cardenas,,1,1,0,0,0,0,0,1,0,0,0,18.804106,5.927335,17.845478,0.66370374,0.60013175,0.29777777,0.5461133
2024-04-15 18:23:23,1,2,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,19.081076,15.396621,-11.270827,0.2651852,0.91567856,0.49629632,0.7753623
2024-04-15 18:23:32,1,2,20 Yina Cartagena,02 Jolene Zheng,0,0,0,0,0,0,0,0,0,0,0,20.430378,18.143429,-9.392356,0.49629632,0.7753623,0.6888889,0.6100132
2024-04-15 18:24:53,1,2,02 Jolene Zheng,23 Linnea Soo,1,0,1,0,0,0,0,0,0,0,0,20.87434,19.950546,-6.141157,0.6888889,0.6100132,0.81481487,0.428195
2024-04-15 18:26:15,1,3,09 Cassandra Brown,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,12.048951,1.1565536,11.993316,0.45333335,0.5204216,0.20740743,0.50988144
2024-04-15 18:26:57,1,3,20 Yina Cartagena,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,13.007212,4.005086,-12.375251,0.20740743,0.50988144,0.46116504,0.4733813
2024-04-15 18:27:06,1,3,00 Genny De Jesus,,1,1,0,0,0,0,0,0,0,0,0,15.817151,9.630805,12.547107,0.46116504,0.4733813,0.2038835,0.3856115
2024-04-15 18:27:25,1,4,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,1,1,6.138006,-0.86834884,-6.076273,0.012944935,0.7035971,0.13754043,0.7115108
2024-04-15 18:27:27,1,4,20 Yina Cartagena,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,1,0,14.505123,4.183868,-13.888623,0.13754043,0.7115108,0.4223301,0.6733813
2024-04-15 18:27:31,1,4,33 Valeria Cardenas,09 Cassandra Brown,0,0,0,0,0,0,0,1,0,0,0,18.0416,6.9468107,-16.65056,0.4223301,0.6733813,0.763754,0.61007196
2024-04-15 18:27:37,1,4,09 Cassandra Brown,23 Linnea Soo,0,0,0,0,0,0,0,0,0,0,0,17.195578,16.972317,-2.7619448,0.763754,0.61007196,0.8203884,0.4553957
2024-04-15 18:27:44,1,4,23 Linnea Soo,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,12.797203,12.788442,0.47347692,0.8203884,0.4553957,0.8106796,0.33884895
2024-04-15 18:28:00,1,4,20 Yina Cartagena,00 Genny De Jesus,1,0,1,0,0,0,0,0,0,0,0,6.169861,5.9205756,-1.7360772,0.8106796,0.33884895,0.8462783,0.2848921
2024-04-15 18:31:36,2,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,1,0,1,0,18.03166,4.409358,-17.48423,0.08444444,0.6515151,0.4429629,0.6113307
2024-04-15 18:31:39,2,1,20 Yina Cartagena,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,15.459223,10.264409,11.559822,0.4429629,0.6113307,0.2059259,0.51778656
2024-04-15 18:31:41,2,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,1,0,0,0,16.127903,-3.469661,-15.75026,0.2059259,0.51778656,0.5288889,0.5494071
2024-04-15 18:31:47,2,1,20 Yina Cartagena,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,10.869953,6.361045,-8.8143635,0.5288889,0.5494071,0.7096296,0.4914361
2024-04-15 18:31:51,2,1,33 Valeria Cardenas,24 Jolie Krebs,0,0,0,0,0,0,0,0,1,0,0,6.998516,-5.7104816,-4.0459394,0.7096296,0.4914361,0.7925926,0.54347825
2024-04-15 18:31:59,2,1,24 Jolie Krebs,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,1,9.484956,7.228459,-6.1411543,0.7925926,0.54347825,0.9185185,0.4776021
2024-04-15 18:32:13,2,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,1,1,0,20.276838,-9.404481,17.964018,0.9185185,0.4776021,0.55016184,0.5633093
2024-04-15 18:32:38,2,1,20 Yina Cartagena,33 Valeria Cardenas,0,0,0,0,0,0,0,0,0,0,0,8.273708,8.209863,-1.0258647,0.55016184,0.5633093,0.57119745,0.48848918
2024-04-15 18:32:41,2,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,0,1,0,0,9.462341,-8.920336,3.156505,0.57119745,0.48848918,0.5064725,0.56978416
