Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-15 18:21:09,1,1,1,0,0.322963,0.68577075,,4,,,,33 Valeria Cardenas,,
2024-04-15 18:23:15,1,2,1,0,0.2651852,0.91567856,33 Valeria Cardenas,3,,,,,23 Linnea Soo,
2024-04-15 18:26:12,1,3,1,0,0.45333335,0.5204216,09 Cassandra Brown,3,,,,00 Genny De Jesus,,
2024-04-15 18:27:20,1,4,1,0,0.012944935,0.7035971,33 Valeria Cardenas,6,,,,,00 Genny De Jesus,
2024-04-15 18:31:35,2,1,1,0,0.08444444,0.6515151,33 Valeria Cardenas,14,,,,33 Valeria Cardenas,,
2024-04-15 18:33:25,2,2,1,1,1.0,0.46618703,24 Jolie Krebs,1,,24 Jolie Krebs,,,,
2024-04-15 18:36:35,3,1,0,1,0.058252428,0.6107914,96 Nina Finley,7,88 Nikki Hair,65 Anna Lieberman,62 Casey Banta-Ryan,,,
2024-04-15 18:39:08,4,1,0,0,0.77993524,0.3755396,96 Nina Finley,2,,,,26 Mariabelen Restrepo,,
2024-04-15 18:40:01,4,2,0,0,0.2022654,0.8496403,24 Jolie Krebs,11,,,,,33 Valeria Cardenas,
2024-04-15 18:41:04,4,3,0,1,0.89158577,0.5805755,96 Nina Finley,1,,96 Nina Finley,44 Kayla Seeger,,,
2024-04-15 18:44:20,5,1,0,1,0.5323624,0.39208633,20 Yina Cartagena,1,,20 Yina Cartagena,31 Eli Presberg,,,
2024-04-15 18:47:06,7,1,1,0,0.0,0.64100724,20 Yina Cartagena,5,,,,33 Valeria Cardenas,,
2024-04-15 18:49:09,7,2,1,0,0.07119736,0.4640288,20 Yina Cartagena,1,,,,,33 Valeria Cardenas,
2024-04-15 18:51:16,8,1,1,0,0.45954695,0.69352514,20 Yina Cartagena,6,,,,33 Valeria Cardenas,,
2024-04-15 18:54:09,9,1,1,0,0.1278317,0.705036,33 Valeria Cardenas,3,,,,02 Jolene Zheng,,
2024-04-15 18:54:58,9,2,1,0,0.66504854,0.5143885,09 Cassandra Brown,4,,,,09 Cassandra Brown,,
2024-04-15 19:23:59,10,1,0,0,0.58414245,0.2654676,11 Emma Berrigan,3,,,,31 Eli Presberg,,
2024-04-15 19:24:59,10,2,0,1,0.39805827,0.23597123,96 Nina Finley,1,,96 Nina Finley,88 Nikki Hair,,,
2024-04-15 19:26:37,11,1,0,0,0.5210357,0.7496403,20 Yina Cartagena,3,,,,18 Kylie Sterling,44 Kayla Seeger,
2024-04-15 19:27:23,11,2,0,0,0.67313915,0.83093524,33 Valeria Cardenas,4,,,,33 Valeria Cardenas,,
2024-04-15 19:28:02,11,3,0,0,0.48705506,0.51294965,20 Yina Cartagena,3,,,,20 Yina Cartagena,,
2024-04-15 19:28:44,11,4,0,1,0.3074434,0.7568345,26 Mariabelen Restrepo,5,33 Valeria Cardenas,20 Yina Cartagena,33 Valeria Cardenas,,,
2024-04-15 19:32:40,12,1,0,0,0.019417476,0.62446046,96 Nina Finley,2,,,,31 Eli Presberg,96 Nina Finley,
2024-04-15 19:35:29,13,1,1,1,0.27669904,0.61870503,33 Valeria Cardenas,7,02 Jolene Zheng,20 Yina Cartagena,23 Linnea Soo,,,
2024-04-15 19:38:19,14,1,0,0,0.93042064,0.7201439,20 Yina Cartagena,2,,,,24 Jolie Krebs,,
2024-04-15 19:39:03,14,2,0,1,0.158576,0.7309353,24 Jolie Krebs,10,97 Hannah Glick,20 Yina Cartagena,00 Genny De Jesus,,,
2024-04-15 19:41:26,15,1,0,0,0.30258906,0.75755394,33 Valeria Cardenas,3,,,,18 Kylie Sterling,,
2024-04-15 19:43:00,16,1,1,0,0.487055,0.5258993,20 Yina Cartagena,2,,,,23 Linnea Soo,,
2024-04-15 19:43:35,16,2,1,0,0.47572815,0.7230216,09 Cassandra Brown,2,,,,20 Yina Cartagena,,
2024-04-15 19:43:59,16,3,1,0,0.30258897,0.6366907,20 Yina Cartagena,3,,,,33 Valeria Cardenas,20 Yina Cartagena,
2024-04-15 19:45:32,17,1,1,1,0.55825245,0.6892086,33 Valeria Cardenas,8,20 Yina Cartagena,33 Valeria Cardenas,00 Genny De Jesus,,,
2024-04-15 19:49:01,18,1,0,0,0.57281554,0.6374101,23 Linnea Soo,6,,,,96 Nina Finley,,
2024-04-15 19:52:21,19,1,1,1,0.45954695,0.66906476,09 Cassandra Brown,7,20 Yina Cartagena,33 Valeria Cardenas,20 Yina Cartagena,,,
2024-04-15 19:54:40,20,1,0,1,0.30582523,0.4381295,26 Mariabelen Restrepo,5,96 Nina Finley,33 Valeria Cardenas,24 Jolie Krebs,,,
2024-04-15 19:56:04,21,1,0,1,0.2961165,0.5820144,20 Yina Cartagena,4,62 Casey Banta-Ryan,18 Kylie Sterling,26 Mariabelen Restrepo,,,
