Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-16 21:03:37,1,52 Erynn Schroeder,1,0,0,0,0.1222222,0.8919753
2024-04-16 21:04:20,1,17 Caitlin Duffner,0,0,0,0,0.48333332,0.7845679
2024-04-16 21:07:29,2,27 Stef Bugasch,0,0,0,0,0.2930556,0.40370372
2024-04-16 21:10:44,2,52 Erynn Schroeder,0,0,0,0,0.53472227,0.24197531
2024-04-16 21:29:43,5,21 Annie Shriver,0,0,0,0,0.25972226,0.63024694
2024-04-16 22:04:38,11,72 Jacqueline Jarik,0,0,0,0,0.71666664,0.22592591
2024-04-16 22:17:56,15,22 Alex Ballinger,0,0,0,0,0.41527775,0.7067901
2024-04-16 22:22:20,16,21 Annie Shriver,0,0,0,0,0.6652778,0.4555556
2024-04-16 22:27:48,16,22 Alex Ballinger,0,0,0,0,0.26111114,0.7728395
2024-04-16 22:38:42,20,22 Alex Ballinger,0,0,0,0,0.3402778,0.50555557
2024-04-16 22:40:32,20,97 Eileen Bequette,0,0,0,0,0.31388894,0.27901235
