Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-16 21:02:13,1,1,52 Erynn Schroeder,08 Manhua Zhu,0,0,0,0,0,0,0,0,0,0,0,10.905697,10.837333,-1.2191988,0.5111111,0.77098763,0.53611106,0.6722222
2024-04-16 21:02:20,1,1,08 Manhua Zhu,05 Rose Glinka,0,0,0,0,0,0,0,0,0,0,0,14.8119335,7.789332,12.5984,0.53611106,0.6722222,0.27777773,0.60123456
2024-04-16 21:02:28,1,1,05 Rose Glinka,17 Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,0,11.384441,4.402667,-10.498668,0.27777773,0.60123456,0.49305552,0.5611111
2024-04-16 21:02:31,1,1,17 Caitlin Duffner,21 Annie Shriver,0,0,0,0,0,0,0,0,1,0,0,7.2951045,-6.7733355,-2.7093318,0.49305552,0.5611111,0.54861104,0.6228395
2024-04-16 21:02:35,1,1,21 Annie Shriver,05 Rose Glinka,0,0,0,0,0,0,0,1,0,0,0,18.186998,5.486401,17.339731,0.54861104,0.6228395,0.19305554,0.5728395
2024-04-16 21:02:42,1,1,05 Rose Glinka,17 Caitlin Duffner,1,1,0,0,0,0,0,0,0,0,0,12.070985,11.921067,1.8965325,0.19305554,0.5728395,0.15416667,0.46419752
2024-04-16 21:03:52,1,2,52 Erynn Schroeder,17 Caitlin Duffner,1,1,0,0,0,0,0,0,0,1,1,39.627705,39.624,0.54186445,0.077777736,0.81790125,0.06666667,0.45679012
2024-04-16 21:04:56,1,3,52 Erynn Schroeder,88 Claire Kelley,0,0,0,0,0,0,0,0,0,0,0,12.603682,9.211736,-8.602135,0.5194444,0.77592593,0.6958333,0.6919753
2024-04-16 21:04:58,1,3,88 Claire Kelley,52 Erynn Schroeder,0,0,0,0,0,0,0,0,0,0,0,11.606339,-0.74507076,11.582399,0.6958333,0.6919753,0.45833334,0.69876546
2024-04-16 21:05:01,1,3,52 Erynn Schroeder,08 Manhua Zhu,0,0,0,0,0,0,0,0,0,0,1,20.230509,9.9567995,17.610668,0.45833334,0.69876546,0.0972222,0.6080247
2024-04-16 21:05:11,1,3,08 Manhua Zhu,21 Annie Shriver,1,1,0,0,0,0,0,1,0,1,0,16.7241,-3.3189266,-16.391468,0.0972222,0.6080247,0.43333334,0.6382716
2024-04-16 21:07:01,2,1,08 Manhua Zhu,17 Caitlin Duffner,0,0,0,0,0,0,0,1,0,1,0,20.432692,-1.3546659,-20.387735,0.079166666,0.5092593,0.49722227,0.52160496
2024-04-16 21:07:17,2,1,17 Caitlin Duffner,08 Manhua Zhu,0,0,0,0,0,0,0,1,0,0,0,17.574808,7.4506655,-15.917333,0.49722227,0.52160496,0.82361114,0.45370373
2024-04-16 21:07:19,2,1,08 Manhua Zhu,07 Sydney Stelzer,1,0,1,0,0,0,0,0,0,0,0,12.34922,12.192002,1.9642668,0.82361114,0.45370373,0.78333336,0.3425926
2024-04-16 21:07:42,2,2,52 Erynn Schroeder,08 Manhua Zhu,0,0,0,0,0,0,0,1,0,0,0,16.199738,-0.60960156,-16.188265,0.24722226,0.40864196,0.57916665,0.41419753
2024-04-16 21:07:49,2,2,08 Manhua Zhu,52 Erynn Schroeder,1,0,1,0,0,0,0,0,0,0,0,14.000004,5.350932,12.937064,0.57916665,0.41419753,0.31388894,0.3654321
2024-04-16 21:09:01,2,3,52 Erynn Schroeder,21 Annie Shriver,1,1,0,1,0,0,1,0,0,0,0,47.91064,47.887463,1.4901329,0.4777778,0.55864197,0.44722226,0.122222245
2024-04-16 21:10:59,2,4,52 Erynn Schroeder,21 Annie Shriver,1,1,0,1,0,0,0,0,0,0,0,23.764364,13.275732,19.710402,0.68611115,0.24506174,0.28194445,0.124074094
2024-04-16 21:11:49,2,5,21 Annie Shriver,27 Stef Bugasch,0,0,0,0,0,0,0,0,0,0,0,17.443142,12.733866,11.921068,0.49444446,0.5438272,0.25,0.4277778
2024-04-16 21:11:53,2,5,27 Stef Bugasch,52 Erynn Schroeder,0,0,0,0,0,0,0,0,1,0,0,9.295272,-8.602131,3.5221324,0.25,0.4277778,0.1777778,0.50617284
2024-04-16 21:11:57,2,5,52 Erynn Schroeder,07 Sydney Stelzer,1,1,0,1,0,0,1,0,0,0,0,45.731033,43.281597,-14.765868,0.1777778,0.50617284,0.4805556,0.11172841
2024-04-16 21:16:02,3,1,10 Chelsea Twohig,12 Sydney French,0,0,0,0,0,0,0,0,0,0,0,18.073633,9.82133,15.172268,0.5125,0.7641975,0.20138887,0.6746914
2024-04-16 21:16:04,3,1,12 Sydney French,10 Chelsea Twohig,0,0,0,0,0,0,0,1,0,0,0,15.511081,0.06773787,-15.510933,0.20138887,0.6746914,0.5194444,0.67407405
2024-04-16 21:16:07,3,1,10 Chelsea Twohig,22 Alex Ballinger,0,0,0,0,0,0,0,0,0,0,0,14.104809,0.67733294,-14.088536,0.5194444,0.67407405,0.80833334,0.6679012
2024-04-16 21:16:10,3,1,22 Alex Ballinger,12 Sydney French,0,0,0,0,0,0,0,1,0,0,0,15.322715,-0.67733294,15.307736,0.80833334,0.6679012,0.4944444,0.67407405
2024-04-16 21:16:16,3,1,12 Sydney French,10 Chelsea Twohig,1,1,0,0,0,0,0,0,0,0,0,13.366826,13.275733,-1.5578686,0.4944444,0.67407405,0.5263889,0.5530864
2024-04-16 21:17:01,3,2,22 Alex Ballinger,10 Chelsea Twohig,1,1,0,0,0,0,0,0,0,0,1,16.130352,15.375469,4.8768,0.18888886,0.82469136,0.08888887,0.68456787
2024-04-16 21:18:13,3,3,22 Alex Ballinger,12 Sydney French,0,0,0,0,0,0,0,0,0,1,0,12.736751,7.8570695,-10.024533,0.14166667,0.8203704,0.3472222,0.7487654
2024-04-16 21:18:18,3,3,12 Sydney French,99 Dana Demmert,1,0,1,0,0,0,0,0,0,0,0,12.761219,12.5984,2.032001,0.3472222,0.7487654,0.30555552,0.6339506
2024-04-16 21:19:11,3,4,10 Chelsea Twohig,13 Erin Newman,1,1,0,0,0,0,0,0,0,0,0,19.447018,19.439466,-0.54186445,0.15,0.8203704,0.16111107,0.6432099
2024-04-16 21:20:49,4,1,27 Stef Bugasch,52 Erynn Schroeder,0,0,0,0,0,0,0,1,0,0,0,16.057941,-0.40640107,-16.0528,0.1652778,0.6493827,0.49444446,0.6530864
2024-04-16 21:20:55,4,1,52 Erynn Schroeder,05 Rose Glinka,1,0,1,0,0,0,0,0,0,0,0,12.035205,2.4383998,-11.7856,0.49444446,0.6530864,0.7361111,0.6308642
2024-04-16 21:21:33,4,2,52 Erynn Schroeder,05 Rose Glinka,0,0,0,0,0,0,0,0,0,0,0,14.532391,2.2351992,14.359467,0.7513889,0.80864197,0.45694447,0.7882716
2024-04-16 21:21:38,4,2,05 Rose Glinka,17 Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,0,18.73289,15.781864,-10.092268,0.45694447,0.7882716,0.66388893,0.64444447
2024-04-16 21:21:41,4,2,17 Caitlin Duffner,88 Claire Kelley,0,0,0,0,0,0,0,0,0,0,1,20.797552,16.120533,-13.140265,0.66388893,0.64444447,0.93333334,0.49753088
2024-04-16 21:21:45,4,2,88 Claire Kelley,52 Erynn Schroeder,0,0,0,0,0,0,0,0,1,1,0,15.820193,-9.008534,13.0048,0.93333334,0.49753088,0.6666667,0.57962966
2024-04-16 21:21:47,4,2,52 Erynn Schroeder,05 Rose Glinka,0,0,0,0,0,0,0,0,0,0,0,12.937246,6.028271,11.446934,0.6666667,0.57962966,0.43194446,0.52469134
2024-04-16 21:21:50,4,2,05 Rose Glinka,21 Annie Shriver,0,0,0,0,0,0,0,0,0,0,0,12.610046,7.992529,-9.753601,0.43194446,0.52469134,0.6319445,0.45185187
2024-04-16 21:22:13,4,2,21 Annie Shriver,88 Claire Kelley,1,1,0,0,0,0,0,0,0,0,0,17.813997,14.291736,-10.634133,0.6319445,0.45185187,0.85,0.32160494
2024-04-16 21:25:41,4,3,32 Mickela Heilicher,99 Dana Demmert,1,1,0,0,0,0,0,0,1,0,0,16.049227,-14.901332,-5.9605374,0.525,0.1740741,0.6472223,0.30987656
